Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"182 Adair Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/182-Adair-Ave-SE-Atlanta-GA-30315/35883453_zpid/,"$284,900",New construction,3 bds,3 ba,"1,900 sqft",,Single Family,2019,Heat pump,Central,No Data,"10,741 sqft",$150,"$1,399",$254/mo,$100/mo,$0/mo,Not included
"1662 Orlando St SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1662-Orlando-St-SW-Atlanta-GA-30311/35848350_zpid/,"$225,000",House for sale,3 bds,2 ba,"1,132 sqft",,Single Family,1945,Forced air,Central,No Data,"9,147 sqft",$199,"$1,158",$201/mo,$79/mo,$0/mo,Not included
"515 Brownlee Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/515-Brownlee-Rd-SW-Atlanta-GA-30311/35872784_zpid/,"$315,000",House for sale,5 bds,4 ba,"1,856 sqft",,Single Family,1956,Forced air,Central,Attached Garage,1.1 acres,$170,"$1,546",$281/mo,$110/mo,$0/mo,Not included
"1514 May Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1514-May-Ave-SE-Atlanta-GA-30316/14455722_zpid/,"$350,000",Make Me Move®,3 bds,2 ba,"1,457 sqft",,Single Family,1955,Forced air,Other,1 space,0.3 acres,$240,"$1,730",$324/mo,$123/mo,$0/mo,Not included
"1510 Avon Ave SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1510-Avon-Ave-SW-Atlanta-GA-30311/35840711_zpid/,"Est. $75,056",Foreclosed,3 bds,2 ba,"2,281 sqft",,Single Family,1946,Heat pump,Central,1 space,"8,049 sqft",$58,$386,$67/mo,$26/mo,$0/mo,Not included
"1699 Braeburn Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1699-Braeburn-Dr-SE-Atlanta-GA-30316/14455467_zpid/,"Est. $204,932",Pre-foreclosure / Auction,2 bds,1 ba,"1,408 sqft",,Single Family,1948,Forced air,Central,No Data,"8,712 sqft",,"$1,013",$190/mo,$72/mo,$0/mo,Not included
"2900 Clearwater Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/2900-Clearwater-Rd-SW-Atlanta-GA-30331/35874303_zpid/,"$135,987",House for sale,3 bds,2 ba,"1,400 sqft",,Single Family,1960,Forced air,Central,Off street,0.63 acres,$97,$700,$121/mo,$48/mo,$0/mo,Not included
"1163 Oakland Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1163-Oakland-Dr-SW-Atlanta-GA-30310/35841882_zpid/,"$329,000",House for sale,3 bds,2 ba,"1,540 sqft",None,Single Family,1930,"Forced air, Heat pump",Central,4 spaces,"8,476 sqft",$214,"$1,615",$293/mo,$115/mo,$0/mo,Not included
"1592 Elixir Ave SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1592-Elixir-Ave-SW-Atlanta-GA-30314/35846605_zpid/,"$199,500",House for sale,3 bds,2 ba,"1,124 sqft",,Single Family,1920,Forced air,Central,2 spaces,"5,832 sqft",$177,"$1,027",$178/mo,$70/mo,$0/mo,Not included
"0 Shefield Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/0-Shefield-Dr-SW-Atlanta-GA-30311/2082655978_zpid/,"$27,000",For sale by owner,3 acres lot,,,None,,,,,,,,$144,$24/mo,$9/mo,$0/mo,Not included
