Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"979 Dimmock St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/979-Dimmock-St-SW-Atlanta-GA-30310/171447345_zpid/,"$85,000",Lot / Land for sale,"8,581 sqft lot",,,None,,,,,,,,$453,$76/mo,$30/mo,$0/mo,Not included
"990 Stonewall Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/990-Stonewall-Dr-SE-Atlanta-GA-30315/35884525_zpid/,"$179,000",For sale by owner,3 bds,1 ba,"1,008 sqft",,Single Family,1960,Other,Central,Off street,"9,583 sqft",$178,$923,$160/mo,$63/mo,$0/mo,Not included
"3718 Narron Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3718-Narron-Dr-SW-Atlanta-GA-30331/2082193625_zpid/,"$15,000",For sale by owner,0.29 acres lot,,,None,,,,,,,,$80,$13/mo,$5/mo,$0/mo,Not included
"1105 Faith Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1105-Faith-Ave-SE-Atlanta-GA-30316/35836509_zpid/,"$488,696",New construction,5 bds,4 ba,"4,000 sqft",,Single Family,2016,Other,Central,No Data,0.27 acres,$122,"$2,400",$436/mo,$171/mo,$0/mo,Not included
"1767 Russell St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1767-Russell-St-SE-Atlanta-GA-30316/87688641_zpid/,"$499,900",House for sale,4 bds,4 ba,"2,502 sqft",,Single Family,2018,Forced air,Central,4 spaces,0.6 acres,$200,"$2,512",$462/mo,$175/mo,$41/mo,Not included
"406 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/406-E-Side-Ave-SE-Atlanta-GA-30316/14456893_zpid/,"$650,000",House for sale,5 bds,4 ba,"2,943 sqft",,Single Family,2018,Forced air,Central,4 spaces,"4,356 sqft",$221,"$3,304",$601/mo,$228/mo,$0/mo,Not included
"Rockford Plan, The Swift",https://www.zillow.com/community/swift/2092491242_zpid/,"$441,139+",New construction,2 bds,4 ba,"2,074 sqft",None,Townhouse,2019,No Data,No Data,1 space,No Data,$213,"$2,166",,,,
"1012 Custer Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1012-Custer-Ave-SE-Atlanta-GA-30316/35891891_zpid/,"$549,000",New construction,4 bds,4 ba,"2,260 sqft",,Single Family,2019,Gas,Central,No Data,0.41 acres,$243,"$2,696",$490/mo,$192/mo,$0/mo,Not included
"1246 Grape St SE # 16, Atlanta, GA 30315",https://www.zillow.com/homedetails/1246-Grape-St-SE-16-Atlanta-GA-30315/2082204941_zpid/,"$45,900",Lot / Land for sale,"5,227 sqft lot",,,None,,,,,,,,$245,$41/mo,$16/mo,$0/mo,Not included
"659 Auburn Ave NE APT 123, Atlanta, GA 30312",https://www.zillow.com/homedetails/659-Auburn-Ave-NE-APT-123-Atlanta-GA-30312/88825819_zpid/,"$325,000",Condo for sale,1 bd,1 ba,"1,038 sqft",,Condo,1925,Forced air,Central,1 space,$223/month,$313,"$1,819",$290/mo,$114/mo,$223/mo,Not included
"1684 Braeburn Dr SE # .EMPTY, Atlanta, GA 30316",https://www.zillow.com/homedetails/1684-Braeburn-Dr-SE-EMPTY-Atlanta-GA-30316/2082208615_zpid/,"$460,000",House for sale,4 bds,3 ba,"2,000 sqft",,Single Family,1972,Forced air,Central,No Data,"8,712 sqft",$230,"$2,274",$426/mo,$161/mo,$0/mo,Not included
"308 Warren St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/308-Warren-St-SE-Atlanta-GA-30317/14457311_zpid/,"$459,000",House for sale,3 bds,2 ba,"2,000 sqft",,Single Family,2012,"Forced air, Heat pump",Central,2 spaces,0.4 acres,$230,"$2,269",$425/mo,$161/mo,$0/mo,Not included
"427 Formwalt St SW, Atlanta, GA 30312",https://www.zillow.com/homedetails/427-Formwalt-St-SW-Atlanta-GA-30312/69346312_zpid/,"$83,000",For sale by owner,"2,461 sqft lot",,,None,,,,,,,,$442,$74/mo,$29/mo,$0/mo,Not included
"427 Formwalt St SW, Atlanta, GA 30312",https://www.zillow.com/homedetails/427-Formwalt-St-SW-Atlanta-GA-30312/69346312_zpid/,"$83,000",For sale by owner,"2,461 sqft lot",,,None,,,,,,,,$442,$74/mo,$29/mo,$0/mo,Not included
"223 Tennessee Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/223-Tennessee-Ave-SW-Atlanta-GA-30315/35888167_zpid/,"$85,000",For sale by owner,"2,178 sqft lot",,,None,,,,,,,,$453,$76/mo,$30/mo,$0/mo,Not included
"810 Cooper St SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/810-Cooper-St-SW-Atlanta-GA-30315/69346279_zpid/,"$95,000",For sale by owner,"4,791 sqft lot",,,None,,,,,,,,$506,$85/mo,$33/mo,$0/mo,Not included
"726 Windsor St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/726-Windsor-St-SW-Atlanta-GA-30310/2095994750_zpid/,"$95,000",For sale by owner,"8,058 sqft lot",,,None,,,,,,,,$506,$85/mo,$33/mo,$0/mo,Not included
"1960 Billups St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1960-Billups-St-SW-Atlanta-GA-30310/249112652_zpid/,"$75,000",For sale by owner,"10,498 sqft lot",,,None,,,,,,,,$400,$67/mo,$26/mo,$0/mo,Not included
"676 Smith St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/676-Smith-St-SW-Atlanta-GA-30310/2099607323_zpid/,"$99,900",For sale by owner,"5,445 sqft lot",,,None,,,,,,,,$532,$89/mo,$35/mo,$0/mo,Not included
"219 Tennessee Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/219-Tennessee-Ave-SW-Atlanta-GA-30315/249111623_zpid/,"$85,000",For sale by owner,"2,500 sqft lot",,,None,,,,,,,,$453,$76/mo,$30/mo,$0/mo,Not included
"3533 Parc Cir SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/3533-Parc-Cir-SW-Atlanta-GA-30311/71752917_zpid/,"$160,000",Townhouse for sale,3 bds,3 ba,"1,220 sqft",,Townhouse,2005,Forced air,Central,Garage,871 sqft,$131,$825,$143/mo,$56/mo,$0/mo,Not included
"2036 Emery Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/2036-Emery-Pl-NE-Atlanta-GA-30317/14469022_zpid/,"$839,900",New construction,5 bds,5 ba,"3,600 sqft",,Single Family,2019,Other,Other,2 spaces,0.3 acres,$233,"$4,269",$777/mo,$294/mo,$0/mo,Not included
"989 Dimmock St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/989-Dimmock-St-SW-Atlanta-GA-30310/65440626_zpid/,"$98,000",Lot / Land for sale,"9,452 sqft lot",,,None,,,,,,,,$522,$87/mo,$34/mo,$0/mo,Not included
"1892 Sandringham Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1892-Sandringham-Dr-SW-Atlanta-GA-30311/35862167_zpid/,"$204,000",House for sale,3 bds,2 ba,"1,297 sqft",,Single Family,1957,Forced air,Central,3 spaces,0.59 acres,$157,"$1,052",$182/mo,$71/mo,$0/mo,Not included
"395 Morgan Pl SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/395-Morgan-Pl-SE-Atlanta-GA-30317/14457742_zpid/,"$429,000",House for sale,3 bds,3 ba,"1,520 sqft",,Single Family,1950,Forced air,Central,Off street,"8,712 sqft",$282,"$2,121",$397/mo,$150/mo,$0/mo,Not included
"170 Boulevard SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-Atlanta-GA-30312/88811609_zpid/,"$535,000",Condo for sale,2 bds,2 ba,"1,855 sqft",,Condo,2007,Forced air,Central,1 space,$508/month,$288,"$3,135",$477/mo,$187/mo,$508/mo,Not included
"301 Atlanta Ave SE APT 1, Atlanta, GA 30315",https://www.zillow.com/homedetails/301-Atlanta-Ave-SE-APT-1-Atlanta-GA-30315/65461039_zpid/,"$175,000",Condo for sale,2 bds,1 ba,736 sqft,,Condo,1920,Forced air,Central,2 spaces,$300/month,$238,"$1,202",$156/mo,$61/mo,$300/mo,Not included
"2029 Memorial Dr SE # 20, Atlanta, GA",https://www.zillow.com/homedetails/2029-Memorial-Dr-SE-20-Atlanta-GA-30317/2088175474_zpid/,"$469,900",New construction,3 bds,4 ba,"2,605 sqft",,Townhouse,2018,Forced air,Central,Attached Garage,No Data,$180,"$2,323",$435/mo,$164/mo,$0/mo,Not included
"3067 Eastbrook Ter SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3067-Eastbrook-Ter-SW-Atlanta-GA-30331/88817382_zpid/,"$299,950",House for sale,5 bds,3 ba,"2,957 sqft",,Single Family,2007,Forced air,Central,Attached Garage,"10,454 sqft",$101,"$1,523",$267/mo,$105/mo,$50/mo,Not included
"A107 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2085929965_zpid/,"$417,900+",New construction,1 bd,1 ba,879 sqft,,Condo,2019,No Data,No Data,2 spaces,No Data,$475,"$2,052",,,,
"742 Hamilton Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/742-Hamilton-Ave-SE-Atlanta-GA-30312/35869555_zpid/,"$429,900",House for sale,3 bds,2 ba,"1,500 sqft",,Single Family,1928,"Forced air, Heat pump",Central,2 spaces,"4,356 sqft",$287,"$2,111",$383/mo,$150/mo,$0/mo,Not included
"435 Highland Ave NE UNIT 1431, Atlanta, GA 30312",https://www.zillow.com/homedetails/435-Highland-Ave-NE-UNIT-1431-Atlanta-GA-30312/69372550_zpid/,"Est. $212,435",Pre-foreclosure / Auction,2 bds,2 ba,"1,458 sqft",,Condo,2003,Forced air,Central,No Data,$224/month,,"$1,267",$189/mo,$74/mo,$224/mo,Not included
"Sherwood Plan, Cascades",https://www.zillow.com/community/cascades/2084012308_zpid/,"$225,900+",New construction,3 bds,3 ba,"1,754 sqft",,Townhouse,2019,No Data,No Data,2 spaces,No Data,$129,"$1,165",,,,
"2060 Shirley St SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2060-Shirley-St-SW-Atlanta-GA-30311/35855014_zpid/,"$225,000",House for sale,3 bds,2 ba,"1,800 sqft",,Single Family,1955,Forced air,Central,No Data,0.64 acres,$125,"$1,160",$201/mo,$79/mo,$0/mo,Not included
"Meadowbrook Plan, Cascades",https://www.zillow.com/community/cascades/2083205648_zpid/,"$230,900+",New construction,3 bds,3 ba,"1,887 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$122,"$1,190",,,,
"2875 Benjamin E Mays Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2875-Benjamin-E-Mays-Dr-SW-Atlanta-GA-30311/35866560_zpid/,"$429,000",House for sale,5 bds,4 ba,"2,551 sqft",,Single Family,1953,Forced air,Central,2 spaces,2.16 acres,$168,"$2,107",$383/mo,$150/mo,$0/mo,Not included
"3502 Redwine Pkwy SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3502-Redwine-Pkwy-SW-Atlanta-GA-30331/98000614_zpid/,"$268,000",For sale by owner,4 bds,3 ba,"2,490 sqft",,Single Family,2008,Forced air,Central,2 spaces,0.3 acres,$108,"$1,366",$239/mo,$94/mo,$50/mo,Not included
"861 Sylvan Pl SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/861-Sylvan-Pl-SW-Atlanta-GA-30310/35829580_zpid/,"$250,000",House for sale,3 bds,2 ba,"1,648 sqft",,Single Family,1950,"Forced air, Heat pump",Central,Attached Garage,"9,016 sqft",$152,"$1,289",$223/mo,$88/mo,$0/mo,Not included
"210 Walker St SW UNIT 5, Atlanta, GA 30313",https://www.zillow.com/homedetails/210-Walker-St-SW-UNIT-5-Atlanta-GA-30313/35889998_zpid/,"$199,999",Condo for sale,1 bd,1 ba,885 sqft,,Condo,1997,Forced air,Central,2 spaces,$243/month,$226,"$1,274",$178/mo,$70/mo,$243/mo,Not included
"480 John Wesley Dobbs Ave NE UNIT 709, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-709-Atlanta-GA-30312/88818195_zpid/,"$249,000",Condo for sale,1 bd,1 ba,960 sqft,,Condo,2007,Forced air,Central,2 spaces,$358/month,$259,"$1,642",$222/mo,$87/mo,$358/mo,Not included
"843 Stratum Way SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/843-Stratum-Way-SE-Atlanta-GA-30312/71754896_zpid/,"$365,000",Townhouse for sale,3 bds,4 ba,"1,958 sqft",,Townhouse,2005,Forced air,Central,1 space,871 sqft,$186,"$1,927",$325/mo,$128/mo,$135/mo,Not included
"83 83 Martin Se 82 Martin Ave, Atlanta, GA",https://www.zillow.com/homedetails/83-83-Martin-Se-82-Martin-Ave-Atlanta-GA-30315/2082228675_zpid/,"$289,000",New construction,3 bds,3 ba,"1,630 sqft",,Single Family,2019,Forced air,Central,No Data,"3,898 sqft",$177,"$1,419",$258/mo,$101/mo,$0/mo,Not included
"1463 La France St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1463-La-France-St-NE-Atlanta-GA-30307/14468735_zpid/,"$550,000",Townhouse for sale,3 bds,4 ba,"2,124 sqft",,Townhouse,2017,No Data,Central,No Data,1 acre,$259,"$2,719",$509/mo,$193/mo,$0/mo,Not included
"1692 Sandtown Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1692-Sandtown-Rd-SW-Atlanta-GA-30311/35848791_zpid/,"$179,800",House for sale,3 bds,1 ba,"1,120 sqft",,Single Family,1947,Forced air,Central,No Data,"7,405 sqft",$161,$927,$160/mo,$63/mo,$0/mo,Not included
"938 Rebel Forest Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/938-Rebel-Forest-Dr-SE-Atlanta-GA-30315/35881142_zpid/,"$135,000",House for sale,3 bds,1 ba,"1,000 sqft",None,Single Family,1960,Forced air,Central,Off street,"10,454 sqft",$135,$696,$120/mo,$47/mo,$0/mo,Not included
"3380 Oakcliff Rd NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3380-Oakcliff-Rd-NW-Atlanta-GA-30331/35872523_zpid/,"$167,899",House for sale,3 bds,2 ba,"1,200 sqft",None,Single Family,1945,Forced air,Central,No Data,0.3 acres,$140,$866,$150/mo,$59/mo,$0/mo,Not included
"1463 La France St NE APT 12, Atlanta, GA 30307",https://www.zillow.com/homedetails/1463-La-France-St-NE-APT-12-Atlanta-GA-30307/2082230720_zpid/,"$550,000",Townhouse for sale,3 bds,4 ba,"2,124 sqft",,Townhouse,2017,No Data,No Data,4 spaces,No Data,$259,"$2,894",$509/mo,$193/mo,$175/mo,Not included
"1185 Arlington Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1185-Arlington-Ave-SW-Atlanta-GA-30310/35835970_zpid/,"$155,000",House for sale,3 bds,2 ba,975 sqft,,Single Family,1949,Forced air,Central,On street,"9,147 sqft",$159,$799,$138/mo,$54/mo,$0/mo,Not included
"2162 Kipling Cir SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/2162-Kipling-Cir-SE-Atlanta-GA-30315/35884343_zpid/,"$165,000",House for sale,3 bds,2 ba,"1,025 sqft",,Single Family,1962,Forced air,Central,Carport,0.37 acres,$161,$851,$147/mo,$58/mo,$0/mo,Not included
"0 Bakers Ferry Rd SW # 4, Atlanta, GA 30331",https://www.zillow.com/homedetails/0-Bakers-Ferry-Rd-SW-4-Atlanta-GA-30331/2082231818_zpid/,"$15,999",Lot / Land for sale,0.34 acres lot,,,None,,,,,,,,$85,$14/mo,$6/mo,$0/mo,Not included
"840 Beechwood Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/840-Beechwood-Ave-SW-Atlanta-GA-30310/65440449_zpid/,"$379,000",House for sale,3 bds,3 ba,"1,700 sqft",,Single Family,2004,Forced air,Central,2 spaces,"5,797 sqft",$223,"$1,861",$338/mo,$133/mo,$0/mo,Not included
"1683 Emerald Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1683-Emerald-Ave-SW-Atlanta-GA-30310/35846774_zpid/,"$299,900",House for sale,3 bds,2 ba,"1,186 sqft",,Single Family,1948,Heat pump,Central,4 spaces,"9,016 sqft",$253,"$1,473",$267/mo,$105/mo,$0/mo,Not included
"The Glenwood Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390363_zpid/,"$574,900+",New construction,2 bds,4 ba,"2,277 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825",,,,
"The Glenwood Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390363_zpid/,"$574,900+",New construction,2 bds,4 ba,"2,277 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825",,,,
"116 Arcadia Cir NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/116-Arcadia-Cir-NW-Atlanta-GA-30314/35844841_zpid/,"$94,000",House for sale,4 bds,2 ba,864 sqft,,Single Family,1930,None,No Data,2 spaces,"10,750 sqft",$109,$501,$84/mo,$33/mo,$0/mo,Not included
"1375 Graymont Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1375-Graymont-Dr-SW-Atlanta-GA-30310/35841018_zpid/,"$215,000",House for sale,3 bds,2 ba,"1,280 sqft",,Single Family,1950,Forced air,Central,2 spaces,0.4 acres,$168,"$1,108",$192/mo,$75/mo,$0/mo,Not included
"1600 Ezra Church Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1600-Ezra-Church-Dr-NW-Atlanta-GA-30314/35846018_zpid/,"$230,000",House for sale,3 bds,2 ba,"1,624 sqft",,Single Family,1940,Forced air,Central,4 spaces,0.4 acres,$142,"$1,186",$205/mo,$81/mo,$0/mo,Not included
"31 Rockmart Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/31-Rockmart-Dr-NW-Atlanta-GA-30314/35845037_zpid/,"$89,000",Apartment for sale,Studio,-- ba,768 sqft,,Multi Family,1953,Forced air,Central,Detached Garage,$116,,$474,$79/mo,$31/mo,$0/mo,Not included
"1838 Lakewood Ter SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1838-Lakewood-Ter-SE-Atlanta-GA-30315/82629858_zpid/,"$325,000",House for sale,3 bds,3 ba,"2,187 sqft",,Single Family,1920,Forced air,Central,No Data,0.59 acres,$149,"$1,596",$290/mo,$114/mo,$0/mo,Not included
"1282 Centra Villa Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1282-Centra-Villa-Dr-SW-Atlanta-GA-30311/35853880_zpid/,"$179,999",House for sale,3 bds,2 ba,"1,676 sqft",,Single Family,1950,Forced air,Central,1 space,0.52 acres,$107,$928,$160/mo,$63/mo,$0/mo,Not included
"170 Boulevard Se # E309, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-Se-E309-Atlanta-GA-30312/88816428_zpid/,"$500,000",Condo for sale,2 bds,2 ba,"1,865 sqft",,Condo,2005,Forced air,Central,3 spaces,$508/month,$268,"$2,963",$446/mo,$175/mo,$508/mo,Not included
"1823 Jonesboro Rd SE, Atlanta, GA",https://www.zillow.com/homedetails/1823-Jonesboro-Rd-SE-Atlanta-GA-30315/2082244658_zpid/,"$290,000",New construction,3 bds,3 ba,"2,186 sqft",,Single Family,2019,No Data,No Data,No Data,"10,018 sqft",$133,"$1,424",$259/mo,$102/mo,$0/mo,Not included
"999 Oakland Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/999-Oakland-Dr-SW-Atlanta-GA-30310/35841507_zpid/,"$99,900",House for sale,3 bds,1 ba,966 sqft,,Single Family,1935,Other,Other,Off street,"6,316 sqft",$103,$532,$89/mo,$35/mo,$0/mo,Not included
"305 Holderness St SW, Atlanta, GA",https://www.zillow.com/homedetails/305-Holderness-St-SW-Atlanta-GA-30310/35842573_zpid/,"$472,000",New construction,4 bds,4 ba,"1,830 sqft",,Single Family,2018,Forced air,Central,No Data,"7,492 sqft",$258,"$2,318",$421/mo,$165/mo,$0/mo,Not included
"1823 Sylvan Rd SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1823-Sylvan-Rd-SW-Atlanta-GA-30310/35837252_zpid/,"$268,000",House for sale,3 bds,2 ba,"1,326 sqft",,Single Family,1940,Forced air,Central,Detached Garage,"7,405 sqft",$202,"$1,316",$239/mo,$94/mo,$0/mo,Not included
"3359 Oakcliff Rd NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3359-Oakcliff-Rd-NW-Atlanta-GA-30331/35872602_zpid/,"$124,900",House for sale,3 bds,2 ba,"1,247 sqft",,Single Family,1963,Forced air,Other,"Carport, Attached Garage",1.49 acres,$100,$665,$111/mo,$44/mo,$0/mo,Not included
"1311 Douglas St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1311-Douglas-St-SW-Atlanta-GA-30314/35844023_zpid/,"$357,900",House for sale,3 bds,2 ba,"1,776 sqft",None,Single Family,1940,Other,Other,No Data,"5,000 sqft",$202,"$1,757",$319/mo,$125/mo,$0/mo,Not included
"1558 Liberty Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1558-Liberty-Ave-SE-Atlanta-GA-30317/126049444_zpid/,"$419,900",House for sale,3 bds,3 ba,"2,000 sqft",,Single Family,2016,"Forced air, Heat pump",Central,None,"4,356 sqft",$210,"$2,076",$388/mo,$147/mo,$0/mo,Not included
"1405 Athens Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1405-Athens-Ave-SW-Atlanta-GA-30310/35830749_zpid/,"$399,500",House for sale,4 bds,3 ba,"2,300 sqft",None,Single Family,1930,Forced air,Central,2 spaces,"6,098 sqft",$174,"$1,962",$356/mo,$140/mo,$0/mo,Not included
"1838 SE Lakewood Terrace Se Ter SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1838-SE-Lakewood-Terrace-Se-Ter-SE-Atlanta-GA-30315/2082254039_zpid/,"$325,000",House for sale,3 bds,3 ba,-- sqft,,Single Family,1920,Forced air,Central,No Data,No Data,No Data,"$1,596",$290/mo,$114/mo,$0/mo,Not included
"3068 Imperial Cir SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/3068-Imperial-Cir-SW-Atlanta-GA-30311/71504867_zpid/,"$205,000",House for sale,3 bds,3 ba,"2,210 sqft",,Single Family,2005,Forced air,Central,2 spaces,13 sqft,$93,"$1,127",$183/mo,$72/mo,$70/mo,Not included
"2128 Hosea L Williams Dr NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2128-Hosea-L-Williams-Dr-NE-Atlanta-GA-30317/14466282_zpid/,"$425,000",House for sale,6 bds,2 ba,"2,237 sqft",,Single Family,1930,Forced air,Central,1 space,"8,712 sqft",$190,"$2,101",$393/mo,$149/mo,$0/mo,Not included
"3060 Browns Mill Rd SE, Atlanta, GA 30354",https://www.zillow.com/homedetails/3060-Browns-Mill-Rd-SE-Atlanta-GA-30354/35885180_zpid/,"$239,900",House for sale,3 bds,3 ba,"1,700 sqft",,Single Family,1965,Forced air,None,No Data,"10,497 sqft",$141,"$1,237",$214/mo,$84/mo,$0/mo,Not included
"D207 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2085929963_zpid/,"$579,900+",New construction,2 bds,2 ba,"1,172 sqft",,Condo,2019,No Data,No Data,2 spaces,No Data,$495,"$2,850",,,,
"815 Marcus St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/815-Marcus-St-SE-Atlanta-GA-30316/35862669_zpid/,"$440,000",House for sale,2 bds,2 ba,"1,040 sqft",,Single Family,1993,Other,Central,Off street,"5,000 sqft",,"$2,161",$392/mo,$154/mo,$0/mo,Not included
"352 Elvira St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/352-Elvira-St-SE-Atlanta-GA-30315/35876928_zpid/,"$265,000",House for sale,2 bds,1 ba,"1,078 sqft",,Single Family,1945,Forced air,Central,Detached Garage,"9,844 sqft",$246,"$1,301",$236/mo,$93/mo,$0/mo,Not included
"2305 Tiger Flowers Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/2305-Tiger-Flowers-Dr-NW-Atlanta-GA-30314/35857302_zpid/,"$105,000",House for sale,3 bds,1 ba,936 sqft,,Single Family,1950,Other,Central,No Data,"10,367 sqft",$112,$559,$94/mo,$37/mo,$0/mo,Not included
"995 Estes Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/995-Estes-Dr-SW-Atlanta-GA-30310/2109644274_zpid/,"$800,000",Lot / Land for sale,8.05 acres lot,,,None,,,,,,,,"$4,040",$713/mo,$280/mo,$0/mo,Not included
"1424 Beecher St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1424-Beecher-St-SW-Atlanta-GA-30310/35842259_zpid/,"$350,000",Apartment for sale,Studio,-- ba,"2,364 sqft",,Multi Family,1922,Forced air,Other,No Data,$148,,"$1,719",$312/mo,$123/mo,$0/mo,Not included
"919 Smith St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/919-Smith-St-SW-Atlanta-GA-30310/35890609_zpid/,"$64,900",Foreclosure,3 bds,1 ba,979 sqft,,Single Family,1920,Forced air,Central,No Data,"2,613 sqft",$66,$346,$58/mo,$23/mo,$0/mo,Not included
"1331 Miller Reed Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1331-Miller-Reed-Ave-SE-Atlanta-GA-30315/35876974_zpid/,"$525,000",New construction,4 bds,3 ba,"1,850 sqft",None,Single Family,2019,Forced air,Central,4 spaces,"9,321 sqft",$284,"$2,578",$468/mo,$184/mo,$0/mo,Not included
"1594 Jonesboro Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1594-Jonesboro-Rd-SE-Atlanta-GA-30315/35883341_zpid/,"$259,900",House for sale,3 bds,3 ba,"1,460 sqft",,Single Family,1920,Forced air,Central,No Data,"6,969 sqft",$178,"$1,276",$232/mo,$91/mo,$0/mo,Not included
"574 Holderness St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/574-Holderness-St-SW-Atlanta-GA-30310/35835316_zpid/,"$459,900",House for sale,4 bds,4 ba,"2,500 sqft",,Single Family,1915,Forced air,Central,No Data,"6,298 sqft",$184,"$2,258",$410/mo,$161/mo,$0/mo,Not included
"1132 Richland Rd SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1132-Richland-Rd-SW-Atlanta-GA-30310/35835822_zpid/,"$195,000",House for sale,3 bds,2 ba,"1,120 sqft",,Single Family,1925,Other,Central,On street,"8,755 sqft",$174,"$1,005",$174/mo,$68/mo,$0/mo,Not included
"1126 Village Ct SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1126-Village-Ct-SE-Atlanta-GA-30316/65460582_zpid/,"$372,900",Townhouse for sale,2 bds,4 ba,"1,600 sqft",,Townhouse,2001,Forced air,Central,2 spaces,"1,219 sqft",$233,"$2,112",$333/mo,$131/mo,$281/mo,Not included
"2043 Reynolds Dr SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/2043-Reynolds-Dr-SW-Atlanta-GA-30315/69346859_zpid/,"Est. $118,024",Pre-foreclosure / Auction,4 bds,1.5 ba,"1,341 sqft",,Single Family,2005,Forced air,Central,No Data,0.25 acres,,$608,$105/mo,$41/mo,$0/mo,Not included
"2782 Waters Rd SW, Atlanta, GA 30354",https://www.zillow.com/homedetails/2782-Waters-Rd-SW-Atlanta-GA-30354/35884691_zpid/,$--,Pre-foreclosure / Auction,2 bds,1 ba,768 sqft,,Single Family,1940,Other,Central,No Data,0.51 acres,,$0,$0/mo,$0/mo,$0/mo,Not included
