Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"401 E 74th St APT 18S, New York, NY 10021",https://www.zillow.com/homedetails/401-E-74th-St-APT-18S-New-York-NY-10021/2082095486_zpid/,"$599,000",Co-op for sale,1 bd,1 ba,-- sqft,"$582,919",Cooperative,1962,No Data,No Data,1 space,No Data,,,"$3,863","$2,324/mo",$0/mo,$439/mo,$210/mo,$891/mo,Not included
"250 E 65th St # 13DE, New York, NY 10065",https://www.zillow.com/homedetails/250-E-65th-St-13DE-New-York-NY-10065/2108104227_zpid/,"$3,950,000",Condo for sale,4 bds,5 ba,"2,867 sqft","$3,795,795",Condo,1963,No Data,No Data,No Data,"$2,799/month","$1,378",,"$22,835","$15,757/mo",$0/mo,"$2,897/mo","$1,383/mo","$2,799/mo",Not included
"7629 Hewlett St, Queens, NY 11040",https://www.zillow.com/homedetails/7629-Hewlett-St-Queens-NY-11040/32098835_zpid/,"$699,000",House for sale,3 bds,1 ba,"1,217 sqft","$680,011",Single Family,1950,No Data,No Data,No Data,"4,554 sqft",$574,Great solar potentialSun Number™: 95.01,"$3,445","$2,711/mo",$0/mo,$489/mo,$245/mo,$0/mo,Not included
"14447 Charter Rd APT 9A, Briarwood, NY 11435",https://www.zillow.com/homedetails/14447-Charter-Rd-APT-9A-Briarwood-NY-11435/2082095629_zpid/,"$225,000",Co-op for sale,3 bds,1 ba,-- sqft,"$220,693",Cooperative,1948,No Data,No Data,No Data,No Data,,,"$1,175",$938/mo,$0/mo,$158/mo,$79/mo,$0/mo,Not included
"2240 77th St APT B3, Flushing, NY 11370",https://www.zillow.com/homedetails/2240-77th-St-APT-B3-Flushing-NY-11370/31950745_zpid/,"$405,000",Condo for sale,1 bd,1 ba,690 sqft,"$392,727",Condo,1939,Other,No Data,No Data,$503/month,$587,Great solar potentialSun Number™: 78.2,"$2,587","$1,659/mo",$0/mo,$284/mo,$142/mo,$503/mo,Not included
"142-15 Franklin Ave APT 6D, Flushing, NY 11355",https://www.zillow.com/homedetails/142-15-Franklin-Ave-APT-6D-Flushing-NY-11355/94817546_zpid/,"$329,000",Co-op for sale,1 bd,1 ba,-- sqft,"$315,113",Cooperative,1969,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 86.2,"$1,693","$1,348/mo",$0/mo,$230/mo,$115/mo,$0/mo,Not included
"7344 185th St, Queens, NY 11366",https://www.zillow.com/homedetails/7344-185th-St-Queens-NY-11366/32078777_zpid/,"$978,888",House for sale,3 bds,2 ba,"4,998 sqft","$946,519",Single Family,1955,Radiant,No Data,Attached Garage,"4,996 sqft",$196,Great solar potentialSun Number™: 92.61,"$4,933","$3,905/mo",$0/mo,$685/mo,$343/mo,$0/mo,Not included
"17210 107th Ave, Jamaica, NY 11433",https://www.zillow.com/homedetails/17210-107th-Ave-Jamaica-NY-11433/32140680_zpid/,"$550,000",House for sale,3 bds,3 ba,"1,638 sqft","$539,625",Single Family,1920,Other,No Data,Attached Garage,"2,648 sqft",$336,Candidate for a community solar programSun Number™: 23.01,"$2,830","$2,253/mo",$0/mo,$385/mo,$193/mo,$0/mo,Not included
"13511 224th St, Laurelton, NY 11413",https://www.zillow.com/homedetails/13511-224th-St-Laurelton-NY-11413/32203598_zpid/,"$499,999",House for sale,3 bds,2 ba,"1,230 sqft","$490,108",Single Family,1950,No Data,Other,No Data,"1,228 sqft",$407,Great solar potentialSun Number™: 87.01,"$2,573","$2,048/mo",$0/mo,$350/mo,$175/mo,$0/mo,Not included
"11749 Nashville Blvd, Jamaica, NY 11411",https://www.zillow.com/homedetails/11749-Nashville-Blvd-Jamaica-NY-11411/32194189_zpid/,"$799,999",Apartment for sale,5 bds,3 ba,"3,900 sqft","$778,259",Multi Family,1940,No Data,No Data,No Data,$205,,Great solar potentialSun Number™: 95.01,"$3,943","$3,103/mo",$0/mo,$560/mo,$280/mo,$0/mo,Not included
"7616 167th St, Flushing, NY 11366",https://www.zillow.com/homedetails/7616-167th-St-Flushing-NY-11366/32076239_zpid/,"$809,000",House for sale,3 bds,1 ba,"3,800 sqft","$783,069",Single Family,1935,No Data,No Data,Attached Garage,"3,798 sqft",$213,Great solar potentialSun Number™: 93.4,"$3,988","$3,138/mo",$0/mo,$566/mo,$283/mo,$0/mo,Not included
"139-15 83rd Ave APT 324, Jamaica, NY 11435",https://www.zillow.com/homedetails/139-15-83rd-Ave-APT-324-Jamaica-NY-11435/124433042_zpid/,"$324,999",Co-op for sale,2 bds,1 ba,"1,100 sqft","$315,150",Cooperative,1965,No Data,No Data,No Data,$295,,Great solar potentialSun Number™: 75,"$1,672","$1,331/mo",$0/mo,$227/mo,$114/mo,$0/mo,Not included
"461 Milford St, Brooklyn, NY 11208",https://www.zillow.com/homedetails/461-Milford-St-Brooklyn-NY-11208/30649665_zpid/,"$829,000",Apartment for sale,6 bds,5 ba,"1,692 sqft","$818,011",Multi Family,1920,No Data,No Data,No Data,$490,,Great solar potentialSun Number™: 84.59,"$3,955","$3,216/mo",$0/mo,$449/mo,$290/mo,$0/mo,Not included
"2944 Mickle Ave, Bronx, NY 10469",https://www.zillow.com/homedetails/2944-Mickle-Ave-Bronx-NY-10469/29831155_zpid/,"$539,000",House for sale,3 bds,3 ba,"1,116 sqft","$526,064",Single Family,1960,No Data,Central,Attached Garage,"1,755 sqft",$483,Great solar potentialSun Number™: 87,"$2,823","$2,208/mo",$0/mo,$427/mo,$189/mo,$0/mo,Not included
"150 Rivington St APT 2C, New York, NY 10002",https://www.zillow.com/homedetails/150-Rivington-St-APT-2C-New-York-NY-10002/2083551025_zpid/,"$2,595,000",Condo for sale,3 bds,3 ba,"1,378 sqft","$2,491,199",Condo,2019,No Data,Central,No Data,"$1,912/month","$1,883",,"$15,075","$10,352/mo",$0/mo,"$1,903/mo",$908/mo,"$1,912/mo",Not included
"111-01 75th Road Forest Hls, Queens, NY 11375",https://www.zillow.com/homedetails/111-01-75th-Road-Forest-Hls-Queens-NY-11375/2082096532_zpid/,"$1,499,000",Townhouse for sale,3 bds,2 ba,"2,400 sqft",,Townhouse,1935,Gas,Central,2 spaces,"1,986 sqft",$625,,"$7,554","$5,980/mo",$0/mo,"$1,049/mo",$525/mo,$0/mo,Not included
"92 Prospect Park W APT 2D, Brooklyn, NY 11215",https://www.zillow.com/homedetails/92-Prospect-Park-W-APT-2D-Brooklyn-NY-11215/89827667_zpid/,"$700,000",Co-op for sale,1 bd,1 ba,-- sqft,"$700,002",Cooperative,1920,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 87.85,"$4,137","$2,715/mo",$0/mo,$379/mo,$245/mo,$797/mo,Not included
"2541 Tiemann Ave # 73, Bronx, NY 10469",https://www.zillow.com/homedetails/2541-Tiemann-Ave-73-Bronx-NY-10469/2082096744_zpid/,"$599,000",House for sale,4 bds,2 ba,-- sqft,"$590,871",Single Family,No Data,No Data,No Data,No Data,No Data,No Data,,"$3,007","$2,324/mo",$0/mo,$474/mo,$210/mo,$0/mo,Not included
"105 Neptune Ave # 1, Brooklyn, NY 11235",https://www.zillow.com/homedetails/105-Neptune-Ave-1-Brooklyn-NY-11235/143065028_zpid/,"$375,000",Condo for sale,Studio,1 ba,"1,354 sqft","$359,042",Condo,2007,No Data,No Data,No Data,$888/month,$277,Great solar potentialSun Number™: 94.2,"$2,758","$1,536/mo",$0/mo,$203/mo,$131/mo,$888/mo,Not included
"225 Lafayette St APT 6A, New York, NY 10012",https://www.zillow.com/homedetails/225-Lafayette-St-APT-6A-New-York-NY-10012/65322177_zpid/,"$2,850,000",Condo for sale,2 bds,2 ba,"1,283 sqft","$2,725,352",Condo,1909,No Data,No Data,No Data,"$1,628/month","$2,221",Great solar potentialSun Number™: 71.79,"$16,084","$11,369/mo",$0/mo,"$2,090/mo",$998/mo,"$1,628/mo",Not included
"150 Rivington St APT 5E, New York, NY 10002",https://www.zillow.com/homedetails/150-Rivington-St-APT-5E-New-York-NY-10002/2082096791_zpid/,"$2,150,000",Condo for sale,2 bds,2 ba,"1,069 sqft","$2,058,510",Condo,2019,No Data,Central,No Data,"$1,505/month","$2,011",,"$12,411","$8,577/mo",$0/mo,"$1,577/mo",$753/mo,"$1,505/mo",Not included
"555 W 23rd St APT N8Q, New York, NY 10011",https://www.zillow.com/homedetails/555-W-23rd-St-APT-N8Q-New-York-NY-10011/80002857_zpid/,"$835,000",Condo for sale,1 bd,1 ba,490 sqft,"$810,554",Condo,2006,No Data,Central,No Data,$565/month,"$1,704",Great solar potentialSun Number™: 95.02,"$4,709","$3,239/mo",$0/mo,$612/mo,$292/mo,$565/mo,Not included
"3822 Cypress Ave, Brooklyn, NY 11224",https://www.zillow.com/homedetails/3822-Cypress-Ave-Brooklyn-NY-11224/30732497_zpid/,"$1,049,000",Apartment for sale,Studio,4 ba,"2,276 sqft","$980,155",Multi Family,1925,No Data,No Data,6 spaces,$461,,Great solar potentialSun Number™: 90.17,"$5,120","$4,185/mo",$0/mo,$568/mo,$367/mo,$0/mo,Not included
"694 Degraw St # 2, Brooklyn, NY 11217",https://www.zillow.com/homedetails/694-Degraw-St-2-Brooklyn-NY-11217/83043646_zpid/,"$1,795,000",Condo for sale,3 bds,2 ba,"1,450 sqft","$1,728,784",Condo,1901,No Data,No Data,No Data,$380/month,"$1,238",Great solar potentialSun Number™: 86.25,"$9,141","$7,160/mo",$0/mo,$972/mo,$628/mo,$380/mo,Not included
"9 W 131st St # PHB4, New York, NY 10037",https://www.zillow.com/homedetails/9-W-131st-St-PHB4-New-York-NY-10037/2082097111_zpid/,"$1,575,000",Condo for sale,2 bds,3 ba,"1,536 sqft","$1,548,640",Condo,No Data,No Data,No Data,No Data,$636/month,"$1,025",,"$8,625","$6,283/mo",$0/mo,"$1,155/mo",$551/mo,$636/mo,Not included
"150 Rivington St APT 5H, New York, NY 10002",https://www.zillow.com/homedetails/150-Rivington-St-APT-5H-New-York-NY-10002/2083549414_zpid/,"$1,625,000",Condo for sale,2 bds,2 ba,864 sqft,"$1,557,291",Condo,2019,No Data,Central,No Data,"$1,265/month","$1,881",,"$9,508","$6,482/mo",$0/mo,"$1,192/mo",$569/mo,"$1,265/mo",Not included
"6830 Burns St APT C3, Forest Hills, NY 11375",https://www.zillow.com/homedetails/6830-Burns-St-APT-C3-Forest-Hills-NY-11375/2088692964_zpid/,"$388,000",Co-op for sale,1 bd,1 ba,800 sqft,,Cooperative,1920,Radiant,Central,No Data,$485,,,"$2,736","$1,589/mo",$0/mo,$272/mo,$136/mo,$739/mo,Not included
"634 40th St, Brooklyn, NY 11232",https://www.zillow.com/homedetails/634-40th-St-Brooklyn-NY-11232/30581099_zpid/,"$1,799,000",Apartment for sale,7 bds,3 ba,"3,372 sqft","$1,722,446",Multi Family,1899,No Data,No Data,No Data,$534,,Great solar potentialSun Number™: 87,"$8,780","$7,176/mo",$0/mo,$974/mo,$630/mo,$0/mo,Not included
