Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"3641 Canal Ave, Brooklyn, NY 11224",https://www.zillow.com/homedetails/3641-Canal-Ave-Brooklyn-NY-11224/30732415_zpid/,"$529,000",House for sale,3 bds,2 ba,"1,280 sqft","$501,794",Single Family,1970,No Data,Central,No Data,"1,722 sqft",$413,Limited solar potentialSun Number™: 49.37,"$2,634","$2,163/mo",$0/mo,$287/mo,$185/mo,$0/mo,Not included
"599 Fountain Ave, Brooklyn, NY 11208",https://www.zillow.com/homedetails/599-Fountain-Ave-Brooklyn-NY-11208/2082069721_zpid/,"$799,000",House for sale,6 bds,5 ba,"2,400 sqft",,Single Family,1910,No Data,Central,No Data,"2,400 sqft",$333,,"$3,819","$3,106/mo",$0/mo,$433/mo,$280/mo,$0/mo,Not included
"6 Highland Ct, Far Rockaway, NY 11691",https://www.zillow.com/homedetails/6-Highland-Ct-Far-Rockaway-NY-11691/32223221_zpid/,"$419,000",House for sale,3 bds,2 ba,"1,200 sqft","$412,003",Single Family,1910,No Data,No Data,1 space,"2,100 sqft",$349,Great solar potentialSun Number™: 83.84,"$2,153","$1,713/mo",$0/mo,$293/mo,$147/mo,$0/mo,Not included
"21-41 34th Ave APT 2D, Astoria, NY 11106",https://www.zillow.com/homedetails/21-41-34th-Ave-APT-2D-Astoria-NY-11106/111444328_zpid/,"$459,900",Co-op for sale,2 bds,1 ba,825 sqft,"$453,050",Cooperative,No Data,No Data,No Data,No Data,$557,,Great solar potentialSun Number™: 83.78,"$3,263","$1,880/mo",$0/mo,$322/mo,$161/mo,$900/mo,Not included
"(undisclosed Address), Jamaica, NY 11434",https://www.zillow.com/homedetails/(undisclosed-Address)-Jamaica-NY-11434/2082070100_zpid/,"$489,000",House for sale,3 bds,3 ba,-- sqft,,Single Family,1920,No Data,No Data,No Data,"3,645 sqft",No Data,,"$2,513","$1,999/mo",$0/mo,$342/mo,$171/mo,$0/mo,Not included
"7445 Yellowstone Blvd APT 3J, Rego Park, NY 11374",https://www.zillow.com/homedetails/7445-Yellowstone-Blvd-APT-3J-Rego-Park-NY-11374/72650258_zpid/,"$179,000",Co-op for sale,Studio,1 ba,650 sqft,"$174,885",Cooperative,1955,Other,Other,Attached Garage,$275,,Great solar potentialSun Number™: 92.6,"$1,435",$745/mo,$0/mo,$125/mo,$63/mo,$502/mo,Not included
"4950 Horatio Pkwy, Flushing, NY 11364",https://www.zillow.com/homedetails/4950-Horatio-Pkwy-Flushing-NY-11364/32085715_zpid/,"$1,125,000",House for sale,4 bds,3 ba,"2,280 sqft","$1,135,072",Single Family,1960,No Data,No Data,Attached Garage,"7,501 sqft",$493,Great solar potentialSun Number™: 89.41,"$5,673","$4,492/mo",$0/mo,$788/mo,$394/mo,$0/mo,Not included
"835 E 213th St, Bronx, NY 10467",https://www.zillow.com/homedetails/835-E-213th-St-Bronx-NY-10467/29827014_zpid/,"$560,000",House for sale,5 bds,2 ba,"2,658 sqft",,Single Family,1910,No Data,No Data,No Data,"5,000 sqft",$211,Great solar potentialSun Number™: 76.6,"$2,929","$2,289/mo",$0/mo,$443/mo,$196/mo,$0/mo,Not included
"211 Fairbanks Ave, Staten Island, NY 10306",https://www.zillow.com/homedetails/211-Fairbanks-Ave-Staten-Island-NY-10306/32343812_zpid/,"$949,900",For sale by owner,4 bds,3 ba,"1,986 sqft",,Single Family,1965,"Baseboard, Radiant",Central,On street,"3,920 sqft",$478,Great solar potentialSun Number™: 91.02,"$4,814","$3,793/mo",$0/mo,$689/mo,$332/mo,$0/mo,Not included
"247-62 77th Crescent Floor 2 # FL 2ND, Bellerose, NY 11426",https://www.zillow.com/homedetails/247-62-77th-Crescent-Floor-2-FL-2ND-Bellerose-NY-11426/2084326065_zpid/,"$239,900",Co-op for sale,1 bd,1 ba,641 sqft,,Cooperative,1949,No Data,No Data,No Data,$374,,,"$1,873",$998/mo,$0/mo,$168/mo,$84/mo,$623/mo,Not included
"1737 E 55th St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1737-E-55th-St-Brooklyn-NY-11234/30785595_zpid/,"$739,000",For sale by owner,3 bds,2 ba,"2,000 sqft","$696,632",Multi Family,1940,No Data,No Data,No Data,$370,,Great solar potentialSun Number™: 87.05,"$3,532","$2,873/mo",$0/mo,$400/mo,$259/mo,$0/mo,Not included
"21817 133rd Rd, Laurelton, NY 11413",https://www.zillow.com/homedetails/21817-133rd-Rd-Laurelton-NY-11413/2115481239_zpid/,"$649,000",House for sale,4 bds,3 ba,"1,440 sqft","$638,163",Single Family,1930,Other,No Data,"Carport, Off street, Detached Garage","3,998 sqft",$451,Great solar potentialSun Number™: 84.61,"$3,205","$2,523/mo",$0/mo,$454/mo,$227/mo,$0/mo,Not included
"60 E 9th St APT 306, New York, NY 10003",https://www.zillow.com/homedetails/60-E-9th-St-APT-306-New-York-NY-10003/244860916_zpid/,"$925,000",Co-op for sale,1 bd,1 ba,"140,370 sqft","$901,411",Cooperative,1954,No Data,No Data,No Data,$7,,Great solar potentialSun Number™: 81.39,"$6,528","$3,693/mo",$0/mo,$678/mo,$324/mo,"$1,833/mo",Not included
"176 Milford St # A, Brooklyn, NY 11208",https://www.zillow.com/homedetails/176-Milford-St-A-Brooklyn-NY-11208/2082070596_zpid/,"$849,000",Apartment for sale,6 bds,3 ba,-- sqft,,Multi Family,2007,No Data,No Data,No Data,No Data,,,"$4,058","$3,301/mo",$0/mo,$460/mo,$297/mo,$0/mo,Not included
"14037 Cherry Ave APT 5A, Flushing, NY 11355",https://www.zillow.com/homedetails/14037-Cherry-Ave-APT-5A-Flushing-NY-11355/79728676_zpid/,"$620,000",Condo for sale,2 bds,2 ba,725 sqft,"$598,455",Condo,2004,No Data,No Data,No Data,$343/month,$855,Great solar potentialSun Number™: 94.2,"$3,405","$2,411/mo",$0/mo,$434/mo,$217/mo,$343/mo,Not included
"60 E 9th St APT 409, New York, NY 10003",https://www.zillow.com/homedetails/60-E-9th-St-APT-409-New-York-NY-10003/244892003_zpid/,"$465,000",Co-op for sale,Studio,1 ba,"140,370 sqft","$452,360",Cooperative,1954,No Data,No Data,No Data,$3,,Great solar potentialSun Number™: 81.39,"$3,092","$1,901/mo",$0/mo,$341/mo,$163/mo,$687/mo,Not included
"60 E 9th St APT 507, New York, NY 10003",https://www.zillow.com/homedetails/60-E-9th-St-APT-507-New-York-NY-10003/244899028_zpid/,"$685,000",Co-op for sale,Studio,1 ba,"140,370 sqft","$666,814",Cooperative,1954,No Data,No Data,No Data,$5,,Great solar potentialSun Number™: 81.39,"$4,571","$2,663/mo",$0/mo,$502/mo,$240/mo,"$1,166/mo",Not included
"272 Glenmore Ave # 5, Brooklyn, NY 11207",https://www.zillow.com/homedetails/272-Glenmore-Ave-5-Brooklyn-NY-11207/2082070930_zpid/,"$1,500,000",Apartment for sale,10 bds,6 ba,-- sqft,,Multi Family,1930,No Data,No Data,No Data,No Data,,,"$7,327","$5,989/mo",$0/mo,$813/mo,$525/mo,$0/mo,Not included
"121 Bay 23 St, Brooklyn, NY 11214",https://www.zillow.com/homedetails/121-Bay-23-St-Brooklyn-NY-11214/2086095646_zpid/,"$2,395,000",Apartment for sale,9 bds,6 ba,"2,392 sqft",,Multi Family,1899,No Data,No Data,No Data,"$1,001",,,"$11,698","$9,563/mo",$0/mo,"$1,297/mo",$838/mo,$0/mo,Not included
"165 28th Ave, Brooklyn, NY 11214",https://www.zillow.com/homedetails/165-28th-Ave-Brooklyn-NY-11214/30731634_zpid/,"$1,590,000",Apartment for sale,5 bds,3 ba,"3,120 sqft","$1,522,340",Multi Family,1935,No Data,No Data,Attached Garage,$510,,Great solar potentialSun Number™: 95,"$7,766","$6,349/mo",$0/mo,$861/mo,$557/mo,$0/mo,Not included
"6945 108th St APT 8D, Flushing, NY 11375",https://www.zillow.com/homedetails/6945-108th-St-APT-8D-Flushing-NY-11375/89072495_zpid/,"$898,000",Condo for sale,2 bds,1 ba,"1,082 sqft","$874,682",Condo,1955,No Data,No Data,No Data,$716/month,$830,Great solar potentialSun Number™: 91.8,"$5,150","$3,491/mo",$0/mo,$629/mo,$314/mo,$716/mo,Not included
"16007 111th Ave, Jamaica, NY 11433",https://www.zillow.com/homedetails/16007-111th-Ave-Jamaica-NY-11433/79740982_zpid/,"$850,000",For sale by owner,2 bds,1 ba,"1,360 sqft",,Single Family,2006,Other,Central,1 space,"2,265 sqft",$625,Great solar potentialSun Number™: 70.21,"$4,197","$3,305/mo",$0/mo,$595/mo,$298/mo,$0/mo,Not included
"14470 41st Ave # 5H&6H, Flushing, NY 11355",https://www.zillow.com/homedetails/14470-41st-Ave-5H6H-Flushing-NY-11355/2082071252_zpid/,"$550,000",Co-op for sale,2 bds,2 ba,"1,200 sqft",,Cooperative,1962,No Data,No Data,No Data,$458,,,"$2,826","$2,249/mo",$0/mo,$385/mo,$193/mo,$0/mo,Not included
"124 Nicholas Ave, Staten Island, NY 10302",https://www.zillow.com/homedetails/124-Nicholas-Ave-Staten-Island-NY-10302/32298032_zpid/,"$449,000",House for sale,7 bds,4 ba,"1,800 sqft","$434,769",Single Family,1997,Gas,No Data,No Data,"3,659 sqft",$249,Great solar potentialSun Number™: 85.42,"$2,318","$1,836/mo",$0/mo,$326/mo,$157/mo,$0/mo,Not included
"19912 Hollis Ave, Jamaica, NY 11412",https://www.zillow.com/homedetails/19912-Hollis-Ave-Jamaica-NY-11412/32156039_zpid/,"$416,802",Auction,-- bds,-- ba,"2,760 sqft",,Single Family,1930,No Data,No Data,No Data,"2,613 sqft",,Great solar potentialSun Number™: 95.01,"$2,142","$1,704/mo",$0/mo,$292/mo,$146/mo,$0/mo,Not included
"13438 161st St, Jamaica, NY 11434",https://www.zillow.com/homedetails/13438-161st-St-Jamaica-NY-11434/32188356_zpid/,"$559,860",Auction,5 bds,-- ba,"1,942 sqft",,Single Family,1987,No Data,No Data,No Data,"3,049 sqft",,Great solar potentialSun Number™: 93.41,"$2,877","$2,289/mo",$0/mo,$392/mo,$196/mo,$0/mo,Not included
"345 E 81st St APT 14A, New York, NY 10028",https://www.zillow.com/homedetails/345-E-81st-St-APT-14A-New-York-NY-10028/219698550_zpid/,"$999,999",Co-op for sale,1 bd,1 ba,925 sqft,"$973,152",Cooperative,1963,No Data,No Data,1 space,"$1,081",,Great solar potentialSun Number™: 93.39,"$6,632","$3,993/mo",$0/mo,$733/mo,$350/mo,"$1,556/mo",Not included
"8509 101st Ave, Jamaica, NY 11416",https://www.zillow.com/homedetails/8509-101st-Ave-Jamaica-NY-11416/32112564_zpid/,"$789,000",Apartment for sale,6 bds,3 ba,"2,000 sqft","$772,093",Multi Family,1910,Other,Central,No Data,$394,,Great solar potentialSun Number™: 85.39,"$3,896","$3,068/mo",$0/mo,$552/mo,$276/mo,$0/mo,Not included
"21110 99th Ave, Jamaica, NY 11429",https://www.zillow.com/homedetails/21110-99th-Ave-Jamaica-NY-11429/32154649_zpid/,"$649,000",Apartment for sale,4 bds,2 ba,"1,520 sqft","$633,307",Multi Family,1920,Radiant,No Data,On street,$427,,Great solar potentialSun Number™: 95.01,"$3,205","$2,523/mo",$0/mo,$454/mo,$227/mo,$0/mo,Not included
"15502 116th Rd, Jamaica, NY 11434",https://www.zillow.com/homedetails/15502-116th-Rd-Jamaica-NY-11434/32187211_zpid/,"$460,000",House for sale,2 bds,2 ba,960 sqft,,Single Family,1920,No Data,No Data,Attached Garage,"1,454 sqft",$479,Limited solar potentialSun Number™: 57.41,"$2,364","$1,881/mo",$0/mo,$322/mo,$161/mo,$0/mo,Not included
"13028 Lefferts Blvd, Jamaica, NY 11420",https://www.zillow.com/homedetails/13028-Lefferts-Blvd-Jamaica-NY-11420/32175618_zpid/,"$689,000",House for sale,3 bds,3 ba,"1,331 sqft","$675,622",Single Family,1920,No Data,No Data,Attached Garage,"2,186 sqft",$518,Great solar potentialSun Number™: 70.19,"$3,402","$2,679/mo",$0/mo,$482/mo,$241/mo,$0/mo,Not included
"264 Mallory Ave, Staten Island, NY 10305",https://www.zillow.com/homedetails/264-Mallory-Ave-Staten-Island-NY-10305/32325272_zpid/,"$750,000",Apartment for sale,3 bds,1 ba,"2,150 sqft","$721,044",Multi Family,1950,No Data,No Data,Off street,$349,,Great solar potentialSun Number™: 93.37,"$3,722","$2,916/mo",$0/mo,$544/mo,$263/mo,$0/mo,Not included
"2928 W 5th St # 14M, Brooklyn, NY 11224",https://www.zillow.com/homedetails/2928-W-5th-St-14M-Brooklyn-NY-11224/304064049_zpid/,"$283,000",Co-op for sale,1 bd,1 ba,700 sqft,"$271,679",Cooperative,1964,No Data,No Data,No Data,$404,,,"$1,988","$1,157/mo",$0/mo,$153/mo,$99/mo,$579/mo,Not included
"26 E 10th St APT 6F, New York, NY 10003",https://www.zillow.com/homedetails/26-E-10th-St-APT-6F-New-York-NY-10003/121306415_zpid/,"$1,595,000",Co-op for sale,1 bd,1 ba,850 sqft,"$1,538,705",Cooperative,1926,No Data,No Data,No Data,"$1,876",,Great solar potentialSun Number™: 93.38,"$9,586","$6,369/mo",$0/mo,"$1,170/mo",$558/mo,"$1,489/mo",Not included
"61-20 Grand Central Pkwy APT B400, Forest Hills, NY 11375",https://www.zillow.com/homedetails/61-20-Grand-Central-Pkwy-APT-B400-Forest-Hills-NY-11375/219852802_zpid/,"$329,000",Co-op for sale,2 bds,1 ba,900 sqft,"$317,996",Cooperative,1965,Other,No Data,No Data,$366,,Great solar potentialSun Number™: 90.2,"$1,690","$1,345/mo",$0/mo,$230/mo,$115/mo,$0/mo,Not included
"147 W 40th St, New York, NY 10018",https://www.zillow.com/homedetails/147-W-40th-St-New-York-NY-10018/2082072365_zpid/,"$26,000,000",Apartment for sale,Studio,-- ba,"5,190 sqft",,Multi Family,1900,No Data,No Data,No Data,"$5,010",,Candidate for a community solar programSun Number™: 22.99,"$131,981","$103,815/mo",$0/mo,"$19,067/mo","$9,100/mo",$0/mo,Not included
"2171 36th St, Long Island City, NY 11105",https://www.zillow.com/homedetails/2171-36th-St-Long-Island-City-NY-11105/31945234_zpid/,"$2,599,000",For sale by owner,5 bds,5 ba,"2,600 sqft",,Multi Family,1930,No Data,No Data,4 spaces,"$1,000",,Great solar potentialSun Number™: 89.39,"$13,106","$10,377/mo",$0/mo,"$1,819/mo",$910/mo,$0/mo,Not included
"289 Devoe St # 4R, Brooklyn, NY 11211",https://www.zillow.com/homedetails/289-Devoe-St-4R-Brooklyn-NY-11211/2083950351_zpid/,"$995,000",Condo for sale,2 bds,2 ba,-- sqft,,Condo,2019,No Data,Central,No Data,$353/month,No Data,,"$5,213","$3,973/mo",$0/mo,$539/mo,$348/mo,$353/mo,Not included
"315 Gates Ave APT 5S, Brooklyn, NY 11216",https://www.zillow.com/homedetails/315-Gates-Ave-APT-5S-Brooklyn-NY-11216/116082756_zpid/,"$899,000",Condo for sale,1 bd,1 ba,728 sqft,"$899,000",Condo,2009,No Data,Central,No Data,$467/month,"$1,235",Great solar potentialSun Number™: 91.05,"$4,764","$3,495/mo",$0/mo,$487/mo,$315/mo,$467/mo,Not included
"1096 Bushwick Ave, Brooklyn, NY 11221",https://www.zillow.com/homedetails/1096-Bushwick-Ave-Brooklyn-NY-11221/30627735_zpid/,"$1,875,000",Apartment for sale,7 bds,5 ba,"3,200 sqft","$1,821,351",Multi Family,1931,Forced air,Central,No Data,$586,,Great solar potentialSun Number™: 94.25,"$9,158","$7,487/mo",$0/mo,"$1,016/mo",$656/mo,$0/mo,Not included
"155 17th St, Brooklyn, NY 11215",https://www.zillow.com/homedetails/155-17th-St-Brooklyn-NY-11215/30573588_zpid/,"$1,995,000",Apartment for sale,6 bds,3 ba,"2,626 sqft","$1,946,396",Multi Family,1899,Radiant,Wall,On street,$760,,Great solar potentialSun Number™: 95.05,"$9,745","$7,966/mo",$0/mo,"$1,081/mo",$698/mo,$0/mo,Not included
"334 22nd St # 4B, Brooklyn, NY 11215",https://www.zillow.com/homedetails/334-22nd-St-4B-Brooklyn-NY-11215/2082072658_zpid/,"$1,750,000",Condo for sale,2 bds,2 ba,-- sqft,,Condo,2018,No Data,Central,No Data,$765/month,No Data,,"$9,313","$6,988/mo",$0/mo,$948/mo,$613/mo,$765/mo,Not included
"334 22nd St # 3B, Brooklyn, NY 11215",https://www.zillow.com/homedetails/334-22nd-St-3B-Brooklyn-NY-11215/2082072659_zpid/,"$1,350,000",Condo for sale,2 bds,2 ba,-- sqft,,Condo,2018,No Data,Central,No Data,$607/month,No Data,,"$7,201","$5,390/mo",$0/mo,$731/mo,$473/mo,$607/mo,Not included
"334 22nd St # 2A, Brooklyn, NY 11215",https://www.zillow.com/homedetails/334-22nd-St-2A-Brooklyn-NY-11215/2082072660_zpid/,"$1,200,000",Condo for sale,2 bds,2 ba,-- sqft,,Condo,2018,No Data,Central,No Data,$535/month,No Data,,"$6,396","$4,791/mo",$0/mo,$650/mo,$420/mo,$535/mo,Not included
"334 22nd St # 1A, Brooklyn, NY 11215",https://www.zillow.com/homedetails/334-22nd-St-1A-Brooklyn-NY-11215/2082072662_zpid/,"$1,750,000",Condo for sale,2 bds,3 ba,-- sqft,,Condo,2018,No Data,Central,No Data,$882/month,No Data,,"$9,430","$6,988/mo",$0/mo,$948/mo,$613/mo,$882/mo,Not included
"1220 Park Ave # MAISONETTE, New York, NY 10128",https://www.zillow.com/homedetails/1220-Park-Ave-MAISONETTE-New-York-NY-10128/2082072661_zpid/,"$6,500,000",Co-op for sale,6 bds,6 ba,"5,150 sqft",,Cooperative,1930,No Data,No Data,No Data,"$1,262",,,"$41,681","$25,954/mo",$0/mo,"$4,767/mo","$2,275/mo","$8,686/mo",Not included
"780 W End Ave APT 2A, New York, NY 10025",https://www.zillow.com/homedetails/780-W-End-Ave-APT-2A-New-York-NY-10025/31550795_zpid/,"$3,250,000",Condo for sale,4 bds,3 ba,"1,966 sqft","$3,180,428",Condo,1914,No Data,No Data,No Data,"$2,581/month","$1,653",Great solar potentialSun Number™: 94.99,"$19,079","$12,977/mo",$0/mo,"$2,383/mo","$1,138/mo","$2,581/mo",Not included
"40 E 88th St # 14B, New York, NY 10128",https://www.zillow.com/homedetails/40-E-88th-St-14B-New-York-NY-10128/244778509_zpid/,"$7,250,000",Co-op for sale,3 bds,4 ba,"181,011 sqft","$7,054,054",Cooperative,1930,No Data,Central,No Data,$40,,Great solar potentialSun Number™: 93.38,"$42,126","$28,948/mo",$0/mo,"$5,317/mo","$2,538/mo","$5,324/mo",Not included
"11150 75th Rd APT 56A, Forest Hills, NY 11375",https://www.zillow.com/homedetails/11150-75th-Rd-APT-56A-Forest-Hills-NY-11375/2146002781_zpid/,"$499,000",Co-op for sale,2 bds,1 ba,"1,000 sqft","$491,323",Cooperative,1939,No Data,No Data,No Data,$499,,,"$2,564","$2,040/mo",$0/mo,$349/mo,$175/mo,$0/mo,Not included
"6412 Asquith Cres, Flushing, NY 11374",https://www.zillow.com/homedetails/6412-Asquith-Cres-Flushing-NY-11374/32000458_zpid/,"$1,495,000",House for sale,4 bds,3 ba,"2,340 sqft","$1,433,630",Single Family,1942,No Data,No Data,Attached Garage,"4,905 sqft",$639,Great solar potentialSun Number™: 88.6,"$7,539","$5,969/mo",$0/mo,"$1,047/mo",$523/mo,$0/mo,Not included
"77 Pilot St, Bronx, NY 10464",https://www.zillow.com/homedetails/77-Pilot-St-Bronx-NY-10464/29850145_zpid/,"$590,000",Apartment for sale,4 bds,3 ba,"2,076 sqft","$576,888",Multi Family,1925,Baseboard,No Data,5 spaces,$284,,,"$2,967","$2,294/mo",$0/mo,$467/mo,$207/mo,$0/mo,Not included
"793 Jennings St, Bronx, NY 10459",https://www.zillow.com/homedetails/793-Jennings-St-Bronx-NY-10459/83178655_zpid/,"$785,000",Foreclosure,Studio,-- ba,"2,925 sqft",,Multi Family,2006,Baseboard,None,No Data,$268,,Candidate for a community solar programSun Number™: 23,"$3,948","$3,052/mo",$0/mo,$621/mo,$275/mo,$0/mo,Not included
"1453 Gillespie Ave, Bronx, NY 10461",https://www.zillow.com/homedetails/1453-Gillespie-Ave-Bronx-NY-10461/29842729_zpid/,"$699,000",Apartment for sale,Studio,-- ba,"1,966 sqft","$681,493",Multi Family,1920,Baseboard,Wall,No Data,$356,,Great solar potentialSun Number™: 87.8,"$3,516","$2,718/mo",$0/mo,$553/mo,$245/mo,$0/mo,Not included
"1606 Williamsbridge Rd, Bronx, NY 10461",https://www.zillow.com/homedetails/1606-Williamsbridge-Rd-Bronx-NY-10461/112498984_zpid/,"$1,300,000",Apartment for sale,6 bds,4 ba,"3,000 sqft",,Multi Family,2013,Baseboard,Central,No Data,$433,,Great solar potentialSun Number™: 95,"$6,675","$5,191/mo",$0/mo,"$1,029/mo",$455/mo,$0/mo,Not included
"1147 Pierce Ave, Bronx, NY 10461",https://www.zillow.com/homedetails/1147-Pierce-Ave-Bronx-NY-10461/112503472_zpid/,"$1,300,000",Apartment for sale,6 bds,4 ba,"3,000 sqft",,Multi Family,2013,Forced air,Central,No Data,$433,,Great solar potentialSun Number™: 95,"$6,675","$5,191/mo",$0/mo,"$1,029/mo",$455/mo,$0/mo,Not included
"26 Neptune St, Staten Island, NY 10306",https://www.zillow.com/homedetails/26-Neptune-St-Staten-Island-NY-10306/32335792_zpid/,"$400,000",For sale by owner,2 bds,1 ba,627 sqft,,Single Family,1920,No Data,No Data,1 space,"2,400 sqft",$638,Great solar potentialSun Number™: 79.77,"$2,065","$1,635/mo",$0/mo,$290/mo,$140/mo,$0/mo,Not included
"24619 Union Tpke # GV2D10, Bellerose, NY 11426",https://www.zillow.com/homedetails/24619-Union-Tpke-GV2D10-Bellerose-NY-11426/2082074115_zpid/,"$369,000",Co-op for sale,3 bds,1 ba,-- sqft,,Cooperative,1949,Other,No Data,No Data,No Data,,,"$1,896","$1,509/mo",$0/mo,$258/mo,$129/mo,$0/mo,Not included
"4B Plan, The Hayworth",https://www.zillow.com/community/hayworth/2083762113_zpid/,"$3,950,000+",New construction,2 bds,2.5 ba,"1,816 sqft","$3,809,329",Single Family,2019,No Data,No Data,No Data,No Data,"$2,175",,"$20,051",,,,,,
"3069 Hobart St # NUM-THREE, Woodside, NY 11377",https://www.zillow.com/homedetails/3069-Hobart-St-NUM-THREE-Woodside-NY-11377/2082074290_zpid/,"$449,000",Co-op for sale,2 bds,1 ba,-- sqft,,Cooperative,1940,Other,Other,"Off street, On street",No Data,,Great solar potentialSun Number™: 80.58,"$3,022","$1,836/mo",$0/mo,$314/mo,$157/mo,$715/mo,Not included
"445 Rutland Rd, Brooklyn, NY 11203",https://www.zillow.com/homedetails/445-Rutland-Rd-Brooklyn-NY-11203/30657207_zpid/,"$780,000",House for sale,2 bds,2 ba,"1,174 sqft","$773,215",Single Family,1910,No Data,Other,No Data,"2,000 sqft",$664,Great solar potentialSun Number™: 87.05,"$3,728","$3,033/mo",$0/mo,$423/mo,$273/mo,$0/mo,Not included
"3432 35th St APT 6E, Astoria, NY 11106",https://www.zillow.com/homedetails/3432-35th-St-APT-6E-Astoria-NY-11106/2084565349_zpid/,"$1,050,000",Condo for sale,2 bds,2 ba,973 sqft,"$993,548",Condo,2016,No Data,Central,No Data,$764/month,"$1,079",Great solar potentialSun Number™: 86.99,"$6,059","$4,193/mo",$0/mo,$735/mo,$368/mo,$764/mo,Not included
"428 E 13th St # 1, New York, NY 10009",https://www.zillow.com/homedetails/428-E-13th-St-1-New-York-NY-10009/2082074316_zpid/,"$8,500,000",Condo for sale,10 bds,6 ba,"8,000 sqft",,Condo,1901,No Data,No Data,No Data,No Data,"$1,062",,"$43,148","$33,939/mo",$0/mo,"$6,233/mo","$2,975/mo",$0/mo,Not included
"140 Sullivan St # 4/5, New York, NY 10012",https://www.zillow.com/homedetails/140-Sullivan-St-4-5-New-York-NY-10012/2082074315_zpid/,"$7,500,000",Co-op for sale,6 bds,5 ba,"4,100 sqft",,Cooperative,1868,No Data,No Data,No Data,"$1,829",,,"$43,930","$29,947/mo",$0/mo,"$5,500/mo","$2,625/mo","$5,858/mo",Not included
"14440 38th Ave APT E5, Flushing, NY 11354",https://www.zillow.com/homedetails/14440-38th-Ave-APT-E5-Flushing-NY-11354/72691378_zpid/,"$305,000",Co-op for sale,1 bd,1 ba,-- sqft,"$295,239",Cooperative,1954,Other,No Data,No Data,No Data,,Great solar potentialSun Number™: 89.4,"$1,567","$1,247/mo",$0/mo,$214/mo,$107/mo,$0/mo,Not included
"170 E 77th St APT 3B, New York, NY 10075",https://www.zillow.com/homedetails/170-E-77th-St-APT-3B-New-York-NY-10075/89333307_zpid/,"$1,675,000",Condo for sale,2 bds,2 ba,"1,115 sqft",,Condo,1942,No Data,Central,No Data,"$1,232/month","$1,502",,"$9,735","$6,688/mo",$0/mo,"$1,228/mo",$586/mo,"$1,232/mo",Not included
"6333 98th Pl # 2, Rego Park, NY 11374",https://www.zillow.com/homedetails/6333-98th-Pl-2-Rego-Park-NY-11374/2082074690_zpid/,"$348,000",Co-op for sale,1 bd,1 ba,900 sqft,"$336,774",Cooperative,1948,No Data,No Data,No Data,$387,,,"$1,788","$1,423/mo",$0/mo,$244/mo,$122/mo,$0/mo,Not included
"11410 135th St, Jamaica, NY 11420",https://www.zillow.com/homedetails/11410-135th-St-Jamaica-NY-11420/32173606_zpid/,"$425,000",House for sale,2 bds,1 ba,"2,700 sqft","$418,032",Single Family,1930,No Data,No Data,Attached Garage,"2,700 sqft",$157,Candidate for a community solar programSun Number™: 22.99,"$2,184","$1,738/mo",$0/mo,$298/mo,$149/mo,$0/mo,Not included
"176 73rd St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/176-73rd-St-Brooklyn-NY-11209/30694466_zpid/,"$1,295,000",Townhouse for sale,3 bds,2 ba,"1,680 sqft",,Townhouse,1925,No Data,No Data,2 spaces,"1,967 sqft",$771,Great solar potentialSun Number™: 88.6,"$6,325","$5,171/mo",$0/mo,$701/mo,$453/mo,$0/mo,Not included
"9 Barrow St APT 2D, New York, NY 10014",https://www.zillow.com/homedetails/9-Barrow-St-APT-2D-New-York-NY-10014/244742054_zpid/,"$1,795,000",Co-op for sale,2 bds,1 ba,"58,221 sqft","$1,753,376",Cooperative,1895,No Data,No Data,No Data,$31,,Great solar potentialSun Number™: 95.02,"$11,800","$7,167/mo",$0/mo,"$1,316/mo",$628/mo,"$2,688/mo",Not included
"9410 Ridge Blvd, Brooklyn, NY 11209",https://www.zillow.com/homedetails/9410-Ridge-Blvd-Brooklyn-NY-11209/30701566_zpid/,"$1,295,000",House for sale,4 bds,3 ba,"2,707 sqft","$1,240,281",Single Family,1925,No Data,No Data,No Data,"2,800 sqft",$478,Limited solar potentialSun Number™: 44.6,"$6,325","$5,171/mo",$0/mo,$701/mo,$453/mo,$0/mo,Not included
"21019 26th Ave APT 1H, Flushing, NY 11360",https://www.zillow.com/homedetails/21019-26th-Ave-APT-1H-Flushing-NY-11360/32056981_zpid/,"$483,000",For sale by owner,1 bd,1 ba,955 sqft,"$509,447",Condo,1983,No Data,No Data,1 space,$470/month,$506,Great solar potentialSun Number™: 94.21,"$2,952","$1,975/mo",$0/mo,$338/mo,$169/mo,$470/mo,Not included
"6082 Catalpa Ave, Flushing, NY 11385",https://www.zillow.com/homedetails/6082-Catalpa-Ave-Flushing-NY-11385/32010859_zpid/,"$1,599,000",Apartment for sale,7 bds,3 ba,"3,000 sqft","$1,494,046",Multi Family,1910,No Data,No Data,No Data,$533,,Great solar potentialSun Number™: 87,"$8,064","$6,385/mo",$0/mo,"$1,119/mo",$560/mo,$0/mo,Not included
