Address,Title_link,Sale price,list-card-type,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"520 Brickell Key Dr APT A1904, Miami, FL 33131",https://www.zillow.com/homedetails/520-Brickell-Key-Dr-APT-A1904-Miami-FL-33131/43872372_zpid/,"$598,000",Condo for sale,"2,010 sqft","$560,288",Condo,1982,Forced air,Central,2 spaces,"$1,499/month",$298,Great solar potentialSun Number™: 86.3,"$4,451","$2,184/mo",$0/mo,$558/mo,$209/mo,"$1,499/mo",Not included
"2020 N Bayshore Dr APT 3604, Miami, FL 33137",https://www.zillow.com/homedetails/2020-N-Bayshore-Dr-APT-3604-Miami-FL-33137/118950405_zpid/,"$749,000",Condo for sale,"1,135 sqft",,Condo,2010,No Data,Central,No Data,$759/month,$660,Great solar potentialSun Number™: 94.3,"$4,643","$2,923/mo",$0/mo,$699/mo,$262/mo,$759/mo,Not included
"888 Biscayne Blvd APT 4710, Miami, FL 33132",https://www.zillow.com/homedetails/888-Biscayne-Blvd-APT-4710-Miami-FL-33132/87937993_zpid/,"$569,000",Condo for sale,"1,255 sqft","$536,754",Condo,2008,Forced air,Central,No Data,$620/month,$453,Great solar potentialSun Number™: 94.3,"$3,428","$2,078/mo",$0/mo,$531/mo,$199/mo,$620/mo,Not included
"1300 S Miami Ave # 4001, Miami, FL 33130",https://www.zillow.com/homedetails/1300-S-Miami-Ave-4001-Miami-FL-33130/247650042_zpid/,"$840,000",Condo for sale,"1,279 sqft","$785,398",Condo,2016,Forced air,Central,1 space,$897/month,$657,Great solar potentialSun Number™: 94.3,"$5,253","$3,278/mo",$0/mo,$784/mo,$294/mo,$897/mo,Not included
"900 Biscayne Blvd APT 5007, Miami, FL 33132",https://www.zillow.com/homedetails/900-Biscayne-Blvd-APT-5007-Miami-FL-33132/92445992_zpid/,"$479,000",Condo for sale,938 sqft,"$458,081",Condo,2008,Forced air,Central,Attached Garage,$736/month,$511,Great solar potentialSun Number™: 94.3,"$3,137","$1,786/mo",$0/mo,$447/mo,$168/mo,$736/mo,Not included
"250 Shore Dr E, Miami, FL 33133",https://www.zillow.com/homedetails/250-Shore-Dr-E-Miami-FL-33133/43853805_zpid/,"$1,295,000",House for sale,"3,559 sqft","$1,191,465",Single Family,1955,Forced air,"Central, Other",2 spaces,"9,748 sqft",$364,Great solar potentialSun Number™: 92.63,"$7,407","$5,054/mo",$0/mo,"$1,209/mo",$453/mo,$692/mo,Not included
"(undisclosed Address), Miami, FL 33137",https://www.zillow.com/homedetails/(undisclosed-Address)-Miami-FL-33137/2109686136_zpid/,"$225,000",Condo for sale,659 sqft,"$214,025",Condo,2008,Forced air,Central,1 space,$443/month,$341,,"$1,590",$858/mo,$0/mo,$210/mo,$79/mo,$443/mo,Not included
"3159 Center St # 3159, Miami, FL 33133",https://www.zillow.com/homedetails/3159-Center-St-3159-Miami-FL-33133/2084091270_zpid/,"$759,000",Townhouse for sale,"2,300 sqft","$726,000",Townhouse,2004,Forced air,Central,No Data,No Data,$330,,"$3,936","$2,962/mo",$0/mo,$708/mo,$266/mo,$0/mo,Not included
"1723 SW 2nd Ave APT 804, Miami, FL 33129",https://www.zillow.com/homedetails/1723-SW-2nd-Ave-APT-804-Miami-FL-33129/82415155_zpid/,"$359,500",Condo for sale,846 sqft,"$340,076",Condo,2007,Forced air,Central,2 spaces,$334/month,$425,Great solar potentialSun Number™: 87.1,"$2,136","$1,341/mo",$0/mo,$336/mo,$126/mo,$334/mo,Not included
"1750 N Bayshore Dr APT 2504, Miami, FL 33132",https://www.zillow.com/homedetails/1750-N-Bayshore-Dr-APT-2504-Miami-FL-33132/82415595_zpid/,"$300,000",Condo for sale,791 sqft,"$265,655",Condo,2007,Forced air,Central,1 space,$648/month,$379,Great solar potentialSun Number™: 94.3,"$2,152","$1,119/mo",$0/mo,$280/mo,$105/mo,$648/mo,Not included
"1750 N Bayshore Dr APT 1508, Miami, FL 33132",https://www.zillow.com/homedetails/1750-N-Bayshore-Dr-APT-1508-Miami-FL-33132/82419925_zpid/,"$218,000",Condo for sale,503 sqft,"$211,399",Condo,2007,Forced air,Central,1 space,$403/month,$433,Great solar potentialSun Number™: 94.3,"$1,514",$832/mo,$0/mo,$203/mo,$76/mo,$403/mo,Not included
