Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"856 Briarcliff Rd NE APT 14, Atlanta, GA 30306",https://www.zillow.com/homedetails/856-Briarcliff-Rd-NE-APT-14-Atlanta-GA-30306/2082680652_zpid/,"$188,000",Condo for sale,1 bd,1 ba,673 sqft,"$175,168",Condo,1940,Forced air,Central,1 space,$21/month,$279,"{""targetDiv"":""gpt-ad-de444944-150f-4cf6-8445-41c7e25253bc"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 14"",""aamgnrc1"":""856 Briarcliff Rd NE"",""bd"":""1"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""2082680652"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""-5630131479125513393"",""sqftrange"":""500-999"",""price"":""188000"",""sqft"":""673"",""posting_url"":"""",""mlong"":""-84.34697"",""state"":""GA"",""prange"":""150-199k"",""zip"":""30306"",""mlat"":""33.77794"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvww3o72ar3j80000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""hood"":""Virginia_Highland"",""yrblt"":""1940-1959"",""zestimate"":""175168"",""premieragent"":""no""}}",$984,$0/mo,$724/mo,$174/mo,$66/mo,$21/mo,Not included
"4338 Town Commons Cir NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/4338-Town-Commons-Cir-NE-Atlanta-GA-30319/35903305_zpid/,"$1,975,000",House for sale,6 bds,8 ba,"6,133 sqft",,Single Family,1997,Forced air,Central,4 spaces,0.41 acres,$322,Great solar potentialSun Number™: 91.41,"$10,198",$0/mo,"$7,713/mo","$1,761/mo",$691/mo,$33/mo,Not included
"1726 Annie St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1726-Annie-St-NW-Atlanta-GA-30318/35920963_zpid/,"$299,000",Apartment for sale,Studio,-- ba,"1,076 sqft","$292,385",Multi Family,1923,Forced air,Central,2 spaces,$278,,Great solar potentialSun Number™: 76.21,"$1,469",$0/mo,"$1,098/mo",$267/mo,$105/mo,$0/mo,Not included
"2527 Ozella Pl SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/2527-Ozella-Pl-SW-Atlanta-GA-30331/171496227_zpid/,"$309,900",House for sale,5 bds,3 ba,"3,410 sqft","$304,265",Single Family,2015,Forced air,Central,2 spaces,"8,537 sqft",$91,Great solar potentialSun Number™: 89.83,"$1,560",$0/mo,"$1,138/mo",$276/mo,$108/mo,$37/mo,Not included
"2946 Hapeville Rd SW, Atlanta, GA 30354",https://www.zillow.com/homedetails/2946-Hapeville-Rd-SW-Atlanta-GA-30354/35886425_zpid/,"$124,900",For sale by owner,3 bds,2 ba,"1,388 sqft","$128,891",Single Family,1957,Forced air,Central,Off street,0.67 acres,$90,Limited solar potentialSun Number™: 58.62,$668,$0/mo,$513/mo,$111/mo,$44/mo,$0/mo,Not included
"11 Plantation Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/11-Plantation-Dr-NE-Atlanta-GA-30324/35938562_zpid/,"$265,000",Townhouse for sale,3 bds,3 ba,"1,583 sqft","$260,337",Townhouse,1980,Forced air,Central,No Data,"1,568 sqft",$167,Great solar potentialSun Number™: 78.61,"$1,812",$0/mo,$973/mo,$236/mo,$93/mo,$510/mo,Not included
"1122 Rosedale Dr NE # B3, Atlanta, GA 30306",https://www.zillow.com/homedetails/1122-Rosedale-Dr-NE-B3-Atlanta-GA-30306/2083985866_zpid/,"$289,000",Condo for sale,2 bds,1 ba,980 sqft,"$276,702",Condo,1930,Forced air,Central,No Data,$244/month,$295,,"$1,664",$0/mo,"$1,061/mo",$258/mo,$101/mo,$244/mo,Not included
"1742 Hosea L Williams Dr NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1742-Hosea-L-Williams-Dr-NE-Atlanta-GA-30317/14466806_zpid/,"$275,000",House for sale,3 bds,1 ba,"1,122 sqft","$269,999",Single Family,1991,Forced air,Central,No Data,"8,712 sqft",$245,Limited solar potentialSun Number™: 49.03,"$1,360",$0/mo,"$1,010/mo",$254/mo,$96/mo,$0/mo,Not included
"2626 Peachtree Rd NW UNIT 1706, Atlanta, GA 30305",https://www.zillow.com/homedetails/2626-Peachtree-Rd-NW-UNIT-1706-Atlanta-GA-30305/71755295_zpid/,"$217,500",Condo for sale,1 bd,1 ba,652 sqft,,Condo,2005,Forced air,Central,1 space,$550/month,$334,,"$1,657",$0/mo,$837/mo,$194/mo,$76/mo,$550/mo,Not included
"474 Kelly St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/474-Kelly-St-SE-Atlanta-GA-30312/35881857_zpid/,"$389,000",Apartment for sale,2 bds,2 ba,"1,368 sqft",,Multi Family,1920,Forced air,Central,"Off street, On street",$284,,Candidate for a community solar programSun Number™: 20.23,"$1,911",$0/mo,"$1,428/mo",$347/mo,$136/mo,$0/mo,Not included
