Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"2621 Forrest Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2621-Forrest-Ave-NW-Atlanta-GA-30318/35923540_zpid/,"$119,900",House for sale,2 bds,1 ba,964 sqft,"$194,202",Single Family,1925,Forced air,Central,No Data,"10,018 sqft",$124,Limited solar potentialSun Number™: 51.41,$642,$0/mo,$493/mo,$107/mo,$42/mo,$0/mo,Not included
"855 Peachtree St NE UNIT 2608, Atlanta, GA 30308",https://www.zillow.com/homedetails/855-Peachtree-St-NE-UNIT-2608-Atlanta-GA-30308/92193686_zpid/,"$359,000",Condo for sale,1 bd,1 ba,802 sqft,"$353,209",Condo,2008,Forced air,Central,Attached Garage,$384/month,$448,,"$2,148",$0/mo,"$1,318/mo",$320/mo,$126/mo,$384/mo,Not included
"1322 Avon Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1322-Avon-Ave-SW-Atlanta-GA-30310/35840902_zpid/,"$310,000",House for sale,4 bds,3 ba,"1,613 sqft","$309,335",Single Family,1920,Other,Central,3 spaces,"9,500 sqft",$192,Limited solar potentialSun Number™: 54.62,"$1,523",$0/mo,"$1,138/mo",$276/mo,$109/mo,$0/mo,Not included
"456 Parkway Dr NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/456-Parkway-Dr-NE-Atlanta-GA-30308/35879293_zpid/,"$550,000",For sale by owner,3 bds,3 ba,"2,010 sqft","$737,362",Townhouse,2019,No Data,Central,2 spaces,"10,000 sqft",$274,Candidate for a community solar programSun Number™: 20.23,"$2,802",$0/mo,"$2,019/mo",$490/mo,$193/mo,$100/mo,Not included
"1315 Eastridge Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1315-Eastridge-Rd-SW-Atlanta-GA-30311/35848819_zpid/,"$94,900",House for sale,3 bds,2 ba,"1,600 sqft","$91,994",Single Family,1947,None,Central,No Data,0.27 acres,$59,Great solar potentialSun Number™: 92.22,$508,$0/mo,$390/mo,$85/mo,$33/mo,$0/mo,Not included
"1520 Woodbine Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1520-Woodbine-Ave-SE-Atlanta-GA-30317/14467208_zpid/,"$499,900",House for sale,4 bds,3 ba,"2,300 sqft","$489,707",Single Family,2018,Forced air,Central,1 space,0.3 acres,$217,Great solar potentialSun Number™: 91.43,"$2,473",$0/mo,"$1,835/mo",$462/mo,$175/mo,$0/mo,Not included
"1011 Lindbergh Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1011-Lindbergh-Dr-NE-Atlanta-GA-30324/35929566_zpid/,"$445,000",House for sale,3 bds,2 ba,"1,552 sqft","$433,401",Single Family,1948,Other,Central,Detached Garage,0.3 acres,$287,Candidate for a community solar programSun Number™: 20.21,"$2,186",$0/mo,"$1,634/mo",$397/mo,$156/mo,$0/mo,Not included
"6 Paper Mill Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/6-Paper-Mill-Pl-NW-Atlanta-GA-30318/35920418_zpid/,"$339,000",Townhouse for sale,3 bds,3 ba,"1,560 sqft","$329,159",Townhouse,1972,Forced air,Central,2 spaces,"1,319 sqft",$217,Great solar potentialSun Number™: 85.81,"$2,005",$0/mo,"$1,245/mo",$302/mo,$119/mo,$339/mo,Not included
"401 10th St NW UNIT C208, Atlanta, GA 30318",https://www.zillow.com/homedetails/401-10th-St-NW-UNIT-C208-Atlanta-GA-30318/65470117_zpid/,"$339,000",Condo for sale,2 bds,3 ba,"2,701 sqft","$332,051",Condo,2001,Forced air,Central,2 spaces,$432/month,$126,,"$2,098",$0/mo,"$1,245/mo",$302/mo,$119/mo,$432/mo,Not included
"785 Piedmont Ave NE # E, Atlanta, GA 30308",https://www.zillow.com/homedetails/785-Piedmont-Ave-NE-E-Atlanta-GA-30308/2102347117_zpid/,"$1,400,000",Townhouse for sale,3 bds,4 ba,"2,250 sqft","$1,332,258",Townhouse,2015,No Data,Central,2 spaces,"2,247 sqft",$622,,"$7,697",$0/mo,"$5,467/mo","$1,248/mo",$490/mo,$491/mo,Not included
"706 Mercer St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/706-Mercer-St-SE-Atlanta-GA-30312/35867590_zpid/,"$209,900",House for sale,3 bds,1 ba,816 sqft,"$204,345",Single Family,1989,Forced air,Central,2 spaces,435 sqft,$257,Limited solar potentialSun Number™: 44.23,"$1,069",$0/mo,$808/mo,$187/mo,$73/mo,$0/mo,Not included
"1705 Monroe Dr NE APT A6, Atlanta, GA 30324",https://www.zillow.com/homedetails/1705-Monroe-Dr-NE-APT-A6-Atlanta-GA-30324/2084772716_zpid/,"$75,000",Condo for sale,2 bds,1 ba,900 sqft,,Condo,1958,Forced air,Central,1 space,$900/month,$83,"{""targetDiv"":""gpt-ad-26f05fbc-c1c3-4ad7-9acb-405faa77061b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt A6"",""zip"":""30324"",""aamgnrc1"":""1705 Monroe Dr NE"",""mlat"":""33.801354"",""bd"":""2"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj3ukkp181r2p0000000000.jpg"",""zusr"":""true"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""2084772716"",""hood"":""Piedmont_Heights"",""yrblt"":""1940-1959"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-7262532944073575906"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""75000"",""sqft"":""900"",""posting_url"":"""",""mlong"":""-84.371239"",""state"":""GA"",""prange"":""0-100k""}}","$1,301",$0/mo,$308/mo,$67/mo,$26/mo,$900/mo,Not included
"2805 Macon Dr SW APT 13F, Atlanta, GA 30354",https://www.zillow.com/homedetails/2805-Macon-Dr-SW-APT-13F-Atlanta-GA-30354/2088108518_zpid/,"$29,000",Townhouse for sale,3 bds,2 ba,"1,641 sqft",,Townhouse,1978,No Data,Other,No Data,No Data,$18,,$155,$0/mo,$119/mo,$26/mo,$10/mo,$0/mo,Not included
"1105 Faith Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1105-Faith-Ave-SE-Atlanta-GA-30316/35836509_zpid/,"$488,696",New construction,5 bds,4 ba,"4,000 sqft","$477,953",Single Family,2016,Other,Central,No Data,0.27 acres,$122,Great solar potentialSun Number™: 89.83,"$2,401",$0/mo,"$1,794/mo",$436/mo,$171/mo,$0/mo,Not included
"343 8th St NE APT A2, Atlanta, GA 30309",https://www.zillow.com/homedetails/343-8th-St-NE-APT-A2-Atlanta-GA-30309/2120447591_zpid/,"$259,000",Condo for sale,2 bds,1 ba,810 sqft,"$252,936",Condo,2019,Forced air,Central,No Data,$18/month,$320,,"$1,290",$0/mo,$951/mo,$231/mo,$91/mo,$18/mo,Not included
"571 Pelham Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/571-Pelham-Rd-NE-Atlanta-GA-30324/35931979_zpid/,"$1,150,000",House for sale,4 bds,5 ba,"3,420 sqft","$1,111,959",Single Family,2001,Forced air,Central,Attached Garage,"8,799 sqft",$336,Great solar potentialSun Number™: 90.61,"$5,919",$0/mo,"$4,491/mo","$1,025/mo",$403/mo,$0/mo,Not included
"948 Margaret Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/948-Margaret-Pl-NW-Atlanta-GA-30318/35921175_zpid/,"$110,000",House for sale,3 bds,1 ba,"1,016 sqft","$108,735",Single Family,1957,Forced air,Central,No Data,0.26 acres,$108,Candidate for a community solar programSun Number™: 20.22,$589,$0/mo,$452/mo,$98/mo,$39/mo,$0/mo,Not included
"1081 Lee Cir NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1081-Lee-Cir-NE-Atlanta-GA-30324/35938401_zpid/,"$699,000",House for sale,4 bds,4 ba,"2,253 sqft","$669,770",Single Family,1960,Forced air,Central,6 spaces,0.73 acres,$310,Candidate for a community solar programSun Number™: 20.21,"$3,598",$0/mo,"$2,730/mo",$623/mo,$245/mo,$0/mo,Not included
"836 Saint Charles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/836-Saint-Charles-Ave-NE-Atlanta-GA-30306/35854604_zpid/,"$285,000",Townhouse for sale,1 bd,2 ba,"1,061 sqft","$278,372",Townhouse,1983,Forced air,Other,1 space,"1,045 sqft",$269,Great solar potentialSun Number™: 85.83,"$1,520",$0/mo,"$1,046/mo",$254/mo,$100/mo,$120/mo,Not included
"1124 Park Overlook Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1124-Park-Overlook-Dr-NE-Atlanta-GA-30324/82616676_zpid/,"$650,000",House for sale,4 bds,4 ba,"2,623 sqft","$635,246",Single Family,2006,"Forced air, Heat pump",Central,4 spaces,"2,918 sqft",$248,"{""targetDiv"":""gpt-ad-27ab56d1-f164-451a-aee1-c33ac7b077d3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1124 Park Overlook Dr NE"",""bd"":""4"",""fsbid"":""14230"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""82616676"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-4944660825150686398"",""sqftrange"":""2500-2999"",""price"":""650000"",""sqft"":""2623"",""posting_url"":""http://www.bhhsgeorgia.com/mls=FRM6639260?s=zillow"",""mlong"":""-84.352216"",""state"":""GA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""30324"",""mlat"":""33.828177"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnaqx22fgpar90000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Pine_Hills"",""yrblt"":""2000-2009"",""zestimate"":""635246"",""premieragent"":""no""}}","$3,441",$0/mo,"$2,538/mo",$580/mo,$228/mo,$96/mo,Not included
"31 Rockmart Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/31-Rockmart-Dr-NW-Atlanta-GA-30314/35845037_zpid/,"$89,000",Apartment for sale,Studio,-- ba,768 sqft,"$85,214",Multi Family,1953,Forced air,Central,Detached Garage,$116,,Candidate for a community solar programSun Number™: 20.22,$476,$0/mo,$366/mo,$79/mo,$31/mo,$0/mo,Not included
"56 Mortimer St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-Atlanta-GA-30317/14467914_zpid/,"$324,900",House for sale,2 bds,1 ba,"1,002 sqft","$304,210",Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,Candidate for a community solar programSun Number™: 20.23,"$1,607",$0/mo,"$1,193/mo",$301/mo,$114/mo,$0/mo,Not included
"1001 Chastain Park Ct NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/1001-Chastain-Park-Ct-NE-Atlanta-GA-30342/65467789_zpid/,"$215,000",Condo for sale,2 bds,2 ba,913 sqft,"$211,557",Condo,1987,Forced air,Central,2 spaces,$357/month,$235,Great solar potentialSun Number™: 91.41,"$1,451",$0/mo,$828/mo,$192/mo,$75/mo,$357/mo,Not included
"1101 Juniper St NE APT 1008, Atlanta, GA 30309",https://www.zillow.com/homedetails/1101-Juniper-St-NE-APT-1008-Atlanta-GA-30309/55019561_zpid/,"$240,000",Condo for sale,1 bd,1 ba,723 sqft,"$236,571",Condo,1999,Forced air,Central,2 spaces,$296/month,$332,,"$1,518",$0/mo,$924/mo,$214/mo,$84/mo,$296/mo,Not included
"675 Albert St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/675-Albert-St-NW-Atlanta-GA-30318/35864685_zpid/,"$149,900",House for sale,4 bds,2 ba,"1,366 sqft","$147,089",Single Family,1963,Forced air,Central,3 spaces,"7,501 sqft",$110,Limited solar potentialSun Number™: 45.82,$763,$0/mo,$577/mo,$134/mo,$52/mo,$0/mo,Not included
"1307 Battleview Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1307-Battleview-Dr-NW-Atlanta-GA-30327/35917255_zpid/,"$724,900",House for sale,3 bds,2 ba,"1,731 sqft","$710,045",Single Family,1958,Forced air,Central,"Carport, Attached Garage",0.41 acres,$419,Candidate for a community solar programSun Number™: 20.21,"$3,731",$0/mo,"$2,831/mo",$646/mo,$254/mo,$0/mo,Not included
"1968 Sandtown Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1968-Sandtown-Rd-SW-Atlanta-GA-30311/35854068_zpid/,"$379,900",House for sale,4 bds,3 ba,"2,510 sqft","$372,178",Single Family,1949,"Forced air, Heat pump",Central,1 space,0.3 acres,$151,Candidate for a community solar programSun Number™: 20.22,"$1,866",$0/mo,"$1,395/mo",$339/mo,$133/mo,$0/mo,Not included
"640 Glen Iris Dr NE APT 610, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-APT-610-Atlanta-GA-30308/2084411432_zpid/,"$690,000",Condo for sale,2 bds,2 ba,"2,432 sqft",,Condo,2002,Forced air,Central,2 spaces,$669/month,$284,,"$4,220",$0/mo,"$2,695/mo",$615/mo,$242/mo,$669/mo,Not included
"860 Peachtree St NE UNIT 1301, Atlanta, GA 30308",https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-1301-Atlanta-GA-30308/2127972341_zpid/,"$859,900",Condo for sale,3 bds,3 ba,"1,875 sqft","$837,709",Condo,2005,No Data,Central,3 spaces,No Data,$459,,"$4,426",$0/mo,"$3,358/mo",$767/mo,$301/mo,$0/mo,Not included
"982 Northern Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/982-Northern-Ave-SE-Atlanta-GA-30316/2085517522_zpid/,"$785,000",House for sale,4 bds,4 ba,"2,603 sqft","$789,876",Single Family,2019,Forced air,Central,2 spaces,"4,007 sqft",$302,,"$4,040",$0/mo,"$3,066/mo",$700/mo,$275/mo,$0/mo,Not included
"1490 Kenwood Ave NW, Atlanta, GA 30309",https://www.zillow.com/homedetails/1490-Kenwood-Ave-NW-Atlanta-GA-30309/35908996_zpid/,"$395,000",House for sale,3 bds,2 ba,969 sqft,"$384,639",Single Family,1982,Forced air,Central,2 spaces,"7,492 sqft",$408,Limited solar potentialSun Number™: 57.82,"$1,941",$0/mo,"$1,450/mo",$352/mo,$138/mo,$0/mo,Not included
"30 5th St NE UNIT 1008, Atlanta, GA 30308",https://www.zillow.com/homedetails/30-5th-St-NE-UNIT-1008-Atlanta-GA-30308/2083831525_zpid/,"$424,000",Townhouse for sale,2 bds,3 ba,"1,480 sqft","$412,220",Townhouse,1924,Forced air,Central,2 spaces,"1,481 sqft",$286,,"$2,735",$0/mo,"$1,557/mo",$378/mo,$148/mo,$652/mo,Not included
"1060 Rosedale Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1060-Rosedale-Dr-NE-Atlanta-GA-30306/35895957_zpid/,"$1,250,000",House for sale,4 bds,4 ba,"3,500 sqft","$1,220,561",Single Family,1910,Forced air,Central,4 spaces,"6,359 sqft",$357,Limited solar potentialSun Number™: 49.03,"$6,434",$0/mo,"$4,881/mo","$1,115/mo",$438/mo,$0/mo,Not included
"36 Polo Dr NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/36-Polo-Dr-NE-Atlanta-GA-30309/35932029_zpid/,"$875,000",House for sale,4 bds,3 ba,"2,772 sqft",,Single Family,1925,Forced air,Central,2 spaces,"7,405 sqft",$316,Candidate for a community solar programSun Number™: 20.23,"$4,503",$0/mo,"$3,417/mo",$780/mo,$306/mo,$0/mo,Not included
"543 Hopkins St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/543-Hopkins-St-SW-Atlanta-GA-30310/35842836_zpid/,"$405,000",House for sale,3 bds,3 ba,"2,537 sqft","$396,697",Single Family,1920,Forced air,Central,"Off street, On street","7,492 sqft",$160,Great solar potentialSun Number™: 92.22,"$1,990",$0/mo,"$1,487/mo",$361/mo,$142/mo,$0/mo,Not included
"3491 Villa Cir SE, Atlanta, GA 30354",https://www.zillow.com/homedetails/3491-Villa-Cir-SE-Atlanta-GA-30354/35875468_zpid/,"Est. $39,000",Pre-foreclosure / Auction,3 bds,1 ba,"1,000 sqft","$39,000",Single Family,1961,Other,Central,1 space,"10,498 sqft",,Candidate for a community solar programSun Number™: 20.22,$209,$0/mo,$160/mo,$35/mo,$14/mo,$0/mo,Not included
"57 Forsyth St NW APT 13C, Atlanta, GA 30303",https://www.zillow.com/homedetails/57-Forsyth-St-NW-APT-13C-Atlanta-GA-30303/2084464049_zpid/,"$174,000",For sale by owner,1 bd,1 ba,860 sqft,"$173,359",Condo,1913,Forced air,Central,No Data,$507/month,$202,,"$1,393",$0/mo,$670/mo,$155/mo,$61/mo,$507/mo,Not included
"1636 Mary George Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1636-Mary-George-Ave-NW-Atlanta-GA-30318/35922492_zpid/,"$150,000",House for sale,3 bds,1 ba,792 sqft,"$146,511",Single Family,1960,Other,Central,2 spaces,"8,755 sqft",$189,Candidate for a community solar programSun Number™: 20.21,$764,$0/mo,$577/mo,$134/mo,$53/mo,$0/mo,Not included
"955 Juniper St NE UNIT 2228, Atlanta, GA 30309",https://www.zillow.com/homedetails/955-Juniper-St-NE-UNIT-2228-Atlanta-GA-30309/65469240_zpid/,"$250,000",House for sale,1 bd,1 ba,821 sqft,,Single Family,1996,Forced air,Central,No Data,819 sqft,$305,,"$5,113",$0/mo,$962/mo,$223/mo,$88/mo,"$3,840/mo",Not included
"2255 Rhinehill Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/2255-Rhinehill-Rd-SE-Atlanta-GA-30315/35883968_zpid/,"$100,000",House for sale,4 bds,2 ba,"1,482 sqft","$95,095",Single Family,1963,Forced air,Central,4 spaces,0.49 acres,$67,Candidate for a community solar programSun Number™: 20.22,$535,$0/mo,$411/mo,$89/mo,$35/mo,$0/mo,Not included
"2653 Brookwood Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2653-Brookwood-Dr-NE-Atlanta-GA-30305/35896124_zpid/,"$649,000",House for sale,4 bds,2 ba,"2,400 sqft","$637,998",Single Family,1920,Forced air,"Central, Other",1 space,"7,492 sqft",$270,Candidate for a community solar programSun Number™: 20.21,"$3,340",$0/mo,"$2,534/mo",$579/mo,$227/mo,$0/mo,Not included
"Bellview Plan, Summit At Stonewall Tell",https://www.zillow.com/community/summit-at-stonewall-tell/2085277702_zpid/,"$315,990+",New construction,4 bds,3 ba,"3,236 sqft","$303,523",Single Family,2019,No Data,No Data,2 spaces,No Data,$98,Great solar potentialSun Number™: 92.23,"$1,552",,,,,,
"1387 Summer Lane Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1387-Summer-Lane-Dr-SE-Atlanta-GA-30316/69382574_zpid/,"$350,000",House for sale,5 bds,4 ba,"2,189 sqft","$343,327",Single Family,2005,Forced air,Central,2 spaces,"6,969 sqft",$160,Great solar potentialSun Number™: 86.63,"$1,773",$0/mo,"$1,285/mo",$312/mo,$123/mo,$53/mo,Not included
"4061 N Ivy Rd NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/4061-N-Ivy-Rd-NE-Atlanta-GA-30342/35927892_zpid/,"$1,695,000",House for sale,7 bds,7 ba,"7,891 sqft","$1,609,233",Single Family,2005,Forced air,Central,2 spaces,0.4 acres,$215,Great solar potentialSun Number™: 86.61,"$8,724",$0/mo,"$6,619/mo","$1,511/mo",$593/mo,$0/mo,Not included
"785 Piedmont Ave NE # A, Atlanta, GA 30308",https://www.zillow.com/homedetails/785-Piedmont-Ave-NE-A-Atlanta-GA-30308/2082142641_zpid/,"$895,000",Townhouse for sale,3 bds,4 ba,"2,289 sqft",,Townhouse,1960,Forced air,Central,Attached Garage,No Data,$391,,"$4,606",$0/mo,"$3,495/mo",$798/mo,$313/mo,$0/mo,Not included
"165 6th St NE # 3, Atlanta, GA",https://www.zillow.com/homedetails/165-6th-St-NE-3-Atlanta-GA-30308/2086543003_zpid/,"$1,000,000",New construction,3 bds,4 ba,"2,654 sqft","$1,059,999",Townhouse,2019,"Forced air, Heat pump",Central,Attached Garage,No Data,$377,,"$5,397",$0/mo,"$3,905/mo",$892/mo,$350/mo,$250/mo,Not included
"42 W Brookhaven Dr NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/42-W-Brookhaven-Dr-NE-Atlanta-GA-30319/35900506_zpid/,"$6,600,000",House for sale,5 bds,7 ba,"10,000 sqft",,Single Family,1929,Forced air,Central,No Data,1.44 acres,$660,Great solar potentialSun Number™: 92.21,"$33,969",$0/mo,"$25,774/mo","$5,885/mo","$2,310/mo",$0/mo,Not included
"855 Peachtree St NE UNIT 601, Atlanta, GA 30308",https://www.zillow.com/homedetails/855-Peachtree-St-NE-UNIT-601-Atlanta-GA-30308/92193813_zpid/,"$360,000",Condo for sale,1 bd,1 ba,885 sqft,,Condo,2008,Forced air,Central,Attached Garage,"$3,564/month",$407,,"$5,333",$0/mo,"$1,322/mo",$321/mo,$126/mo,"$3,564/mo",Not included
"1406 Monroe Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1406-Monroe-Dr-NE-Atlanta-GA-30324/35931585_zpid/,"$550,000",House for sale,3 bds,1 ba,"1,536 sqft","$541,955",Single Family,1928,Forced air,Central,Carport,"7,492 sqft",$358,Great solar potentialSun Number™: 90.63,"$2,702",$0/mo,"$2,019/mo",$490/mo,$193/mo,$0/mo,Not included
"190 Central Park Cir NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/190-Central-Park-Cir-NE-Atlanta-GA-30312/2083425301_zpid/,"$679,500",House for sale,3 bds,4 ba,"2,709 sqft","$664,056",Single Family,2016,Forced air,Central,4 spaces,"1,045 sqft",$251,"{""targetDiv"":""gpt-ad-e43643c6-0f31-4af5-9a62-dda8d3bc6649"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""190 Central Park Cir NE"",""bd"":""3"",""fsbid"":""15050"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""2083425301"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2856886466639344210"",""sqftrange"":""2500-2999"",""price"":""679500"",""sqft"":""2709"",""posting_url"":"""",""mlong"":""-84.375268"",""state"":""GA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""30312"",""mlat"":""33.766417"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvwwj087l00rx1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Old_Fourth_Ward"",""yrblt"":""2010-2019"",""zestimate"":""664056"",""premieragent"":""no""}}","$3,747",$0/mo,"$2,654/mo",$606/mo,$238/mo,$250/mo,Not included
"935 Peachtree Battle Ave NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/935-Peachtree-Battle-Ave-NW-Atlanta-GA-30327/123479187_zpid/,"$1,625,000",House for sale,6 bds,8 ba,"6,800 sqft","$1,542,734",Single Family,2016,Forced air,Central,3 spaces,0.61 acres,$239,Great solar potentialSun Number™: 72.21,"$8,364",$0/mo,"$6,346/mo","$1,449/mo",$569/mo,$0/mo,Not included
"4086 Paran Trl NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/4086-Paran-Trl-NW-Atlanta-GA-30327/35918254_zpid/,"$1,420,000",House for sale,5 bds,7 ba,"6,886 sqft","$1,335,423",Single Family,1994,Forced air,Central,No Data,1.72 acres,$206,Candidate for a community solar programSun Number™: 20.21,"$7,308",$0/mo,"$5,545/mo","$1,266/mo",$497/mo,$0/mo,Not included
"4380 Danforth Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/4380-Danforth-Rd-SW-Atlanta-GA-30331/71753879_zpid/,"$275,000",House for sale,4 bds,3 ba,"2,809 sqft","$264,220",Single Family,1950,Forced air,Central,4 spaces,2.96 acres,$98,,"$1,351",$0/mo,"$1,010/mo",$245/mo,$96/mo,$0/mo,Not included
"260 Haas Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/260-Haas-Ave-SE-Atlanta-GA-30316/14456376_zpid/,"$400,000",House for sale,3 bds,2 ba,"2,300 sqft","$387,368",Single Family,1928,"Forced air, Heat pump",Central,Off street,"8,712 sqft",$174,Great solar potentialSun Number™: 70.63,"$1,979",$0/mo,"$1,469/mo",$370/mo,$140/mo,$0/mo,Not included
"1109 E Rock Springs Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1109-E-Rock-Springs-Rd-NE-Atlanta-GA-30306/35925689_zpid/,"$699,000",House for sale,4 bds,3 ba,"2,230 sqft",,Single Family,1935,"Forced air, Other",Central,3 spaces,No Data,$313,Good solar potentialSun Number™: 63.43,"$3,598",$0/mo,"$2,730/mo",$623/mo,$245/mo,$0/mo,Not included
"26 S Prado NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/26-S-Prado-NE-Atlanta-GA-30309/35931532_zpid/,"$1,397,000",House for sale,4 bds,3 ba,"4,022 sqft","$1,350,203",Single Family,1920,Forced air,Central,2 spaces,"7,884 sqft",$347,Great solar potentialSun Number™: 81.03,"$7,190",$0/mo,"$5,455/mo","$1,246/mo",$489/mo,$0/mo,Not included
"1755 Fairburn Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/1755-Fairburn-Rd-SW-Atlanta-GA-30331/35889321_zpid/,"$170,000",House for sale,3 bds,2 ba,"1,960 sqft","$161,447",Single Family,1960,Forced air,Central,No Data,1.02 acres,$87,Good solar potentialSun Number™: 66.61,$865,$0/mo,$654/mo,$152/mo,$60/mo,$0/mo,Not included
"1673 Langston Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1673-Langston-Ave-SW-Atlanta-GA-30310/69343730_zpid/,"$203,402",Auction,3 bds,3 ba,"1,604 sqft",,Single Family,2006,Other,"Central, Other",No Data,0.31 acres,,Great solar potentialSun Number™: 91.42,"$1,035",$0/mo,$783/mo,$181/mo,$71/mo,$0/mo,Not included
"3225 Saville St SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3225-Saville-St-SW-Atlanta-GA-30331/71752637_zpid/,"$183,000",House for sale,3 bds,3 ba,"1,376 sqft","$180,184",Single Family,2006,Forced air,Other,Attached Garage,"6,534 sqft",$133,Great solar potentialSun Number™: 91.43,$982,$0/mo,$704/mo,$163/mo,$64/mo,$50/mo,Not included
