Address,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"1705 Monroe Dr NE APT E10, Atlanta, GA 30324","$89,000 ",1 bd,1 ba,861 sqft,"$84,743 ",Condo,1958,Forced air,Central,1 space,$900/month,,"$1,376 ",$366/mo,$79/mo,$31/mo,$900/mo
"384 Ralph Mcgill Blvd NE UNIT 106, Atlanta, GA 30312","$270,000 ",2 bds,2 ba,"1,062 sqft","$264,809 ",Condo,2006,Forced air,Central,,$456/month,,"$1,783 ",$991/mo,$241/mo,$95/mo,$456/mo
"794 Ralph Mcgill Blvd NE UNIT 8, Atlanta, GA 30312","$395,000 ",2 bds,2 ba,"1,253 sqft","$386,902 ",Condo,1936,Forced air,Central,1 space,$353/month,,"$2,294 ","$1,450/mo",$352/mo,$138/mo,$353/mo
"943 Peachtree St NE UNIT 1415, Atlanta, GA 30309","$249,900 ",1 bd,1 ba,768 sqft,"$242,644 ",Condo,2002,,,1 space,$358/month,,"$1,630 ",$962/mo,$223/mo,$87/mo,$358/mo
"120 Peachtree Memorial Dr NW # 99-C1, Atlanta, GA","$294,900 ",2 bds,2 ba,827 sqft,,Condo,2019,Forced air,Central,,,,"$1,449 ","$1,083/mo",$263/mo,$103/mo,$0/mo
"301 10th St NE APT 12, Atlanta, GA 30309","$270,000 ",1 bd,1 ba,804 sqft,"$265,007 ",Condo,1930,Other,Other,1 space,$269/month,,"$1,596 ",$991/mo,$241/mo,$95/mo,$269/mo
"301 Atlanta Ave SE APT 1, Atlanta, GA 30315","$175,000 ",2 bds,1 ba,736 sqft,"$171,506 ",Condo,1920,Forced air,Central,2 spaces,$300/month,,"$1,191 ",$674/mo,$156/mo,$61/mo,$300/mo
"319 Lakemoore Dr NE APT B, Atlanta, GA 30342","$200,000 ",2 bds,2 ba,"1,168 sqft","$196,923 ",Condo,1952,Forced air,Central,2 spaces,,,"$1,018 ",$770/mo,$178/mo,$70/mo,$0/mo
"855 Peachtree St NE UNIT 2608, Atlanta, GA 30308","$359,000 ",1 bd,1 ba,802 sqft,"$353,209 ",Condo,2008,Forced air,Central,Attached Garage,$384/month,,"$2,148 ","$1,318/mo",$320/mo,$126/mo,$384/mo
"401 10th St NW UNIT C208, Atlanta, GA 30318","$339,000 ",2 bds,3 ba,"2,701 sqft","$332,051 ",Condo,2001,Forced air,Central,2 spaces,$432/month,,"$2,098 ","$1,245/mo",$302/mo,$119/mo,$432/mo
"1705 Monroe Dr NE APT A6, Atlanta, GA 30324","$75,000 ",2 bds,1 ba,900 sqft,,Condo,1958,Forced air,Central,1 space,$900/month,,"$1,301 ",$308/mo,$67/mo,$26/mo,$900/mo
"343 8th St NE APT A2, Atlanta, GA 30309","$259,000 ",2 bds,1 ba,810 sqft,"$252,936 ",Condo,2019,Forced air,Central,,$18/month,,"$1,290 ",$951/mo,$231/mo,$91/mo,$18/mo
"31 Rockmart Dr NW, Atlanta, GA 30314","$89,000 ",1 bds,#NAME?,768 sqft,"$85,214 ",Multi Family,1953,Forced air,Central,Detached Garage,$116 ,Candidate for a community solar programSun Numberâ„¢:Â 20.22,$476 ,$366/mo,$79/mo,$31/mo,$0/mo
"1001 Chastain Park Ct NE, Atlanta, GA 30342","$215,000 ",2 bds,2 ba,913 sqft,"$211,557 ",Condo,1987,Forced air,Central,2 spaces,$357/month,Great solar potentialSun Numberâ„¢:Â 91.41,"$1,451 ",$828/mo,$192/mo,$75/mo,$357/mo
"1101 Juniper St NE APT 1008, Atlanta, GA 30309","$240,000 ",1 bd,1 ba,723 sqft,"$236,571 ",Condo,1999,Forced air,Central,2 spaces,$296/month,,"$1,518 ",$924/mo,$214/mo,$84/mo,$296/mo
"640 Glen Iris Dr NE APT 610, Atlanta, GA 30308","$690,000 ",2 bds,2 ba,"2,432 sqft",,Condo,2002,Forced air,Central,2 spaces,$669/month,,"$4,220 ","$2,695/mo",$615/mo,$242/mo,$669/mo
"860 Peachtree St NE UNIT 1301, Atlanta, GA 30308","$859,900 ",3 bds,3 ba,"1,875 sqft","$837,709 ",Condo,2005,,Central,3 spaces,,,"$4,426 ","$3,358/mo",$767/mo,$301/mo,$0/mo
"57 Forsyth St NW APT 13C, Atlanta, GA 30303","$174,000 ",1 bd,1 ba,860 sqft,"$173,359 ",Condo,1913,Forced air,Central,,$507/month,,"$1,393 ",$670/mo,$155/mo,$61/mo,$507/mo
"855 Peachtree St NE UNIT 601, Atlanta, GA 30308","$360,000 ",1 bd,1 ba,885 sqft,,Condo,2008,Forced air,Central,Attached Garage,"$3,564/month",,"$5,333 ","$1,322/mo",$321/mo,$126/mo,"$3,564/mo"
"170 Boulevard SE, Atlanta, GA 30312","$535,000 ",2 bds,2 ba,"1,855 sqft","$523,380 ",Condo,2007,Forced air,Central,1 space,$508/month,,"$3,137 ","$1,964/mo",$477/mo,$187/mo,$508/mo
"(undisclosed Address), Atlanta, GA 30313","$255,000 ",1 bd,1 ba,"1,200 sqft","$200,533 ",Condo,2019,,,1 space,$310/month,,"$1,563 ",$936/mo,$227/mo,$89/mo,$310/mo
"860 Peachtree St NE UNIT 2111, Atlanta, GA 30308","$279,900 ",1 bd,1 ba,745 sqft,"$273,476 ",Condo,2005,,,1 space,$356/month,,"$1,731 ","$1,028/mo",$250/mo,$98/mo,$356/mo
"89 Mangum St SW UNIT 309, Atlanta, GA 30313","$238,000 ",2 bds,2 ba,"1,250 sqft","$233,442 ",Condo,2005,Forced air,Central,,$284/month,,"$1,496 ",$916/mo,$212/mo,$83/mo,$284/mo
"215 Piedmont Ave NE APT 206, Atlanta, GA 30308","$199,900 ",2 bds,2 ba,"1,256 sqft","$195,115 ",Condo,1963,Forced air,Central,,,,"$1,018 ",$769/mo,$178/mo,$70/mo,$0/mo
"199 12th St NE UNIT 7, Atlanta, GA 30309","$555,000 ",2 bds,2 ba,"1,653 sqft","$542,603 ",Condo,2003,"Forced air, Heat pump",Central,2 spaces,$278/month,,"$3,005 ","$2,038/mo",$495/mo,$194/mo,$278/mo
"88 W Paces Ferry Rd NW UNIT 1840, Atlanta, GA 30305","$5,700,000 ",3 bds,4 ba,"4,675 sqft",,Condo,2010,Forced air,Central,8 spaces,"$1,925/month",,"$31,262 ","$22,259/mo","$5,083/mo","$1,995/mo","$1,925/mo"
"115 Mcgill Park Ave NE, Atlanta, GA 30312","$220,000 ",1 bd,1 ba,"1,159 sqft","$218,385 ",Condo,1994,Forced air,Other,2 spaces,$315/month,Great solar potentialSun Numberâ„¢:Â 77.03,"$1,435 ",$847/mo,$196/mo,$77/mo,$315/mo
"916 Myrtle St NE APT 2, Atlanta, GA 30309","$169,500 ",1 bd,1 ba,520 sqft,"$167,753 ",Condo,1919,Forced air,Central,1 space,$210/month,,"$1,073 ",$652/mo,$151/mo,$59/mo,$210/mo
"3660 Peachtree Rd NE, Atlanta, GA 30319","$222,000 ",2 bds,2 ba,"1,200 sqft","$217,945 ",Condo,1955,Forced air,Other,1 space,$335/month,Great solar potentialSun Numberâ„¢:Â 73.81,"$1,465 ",$854/mo,$198/mo,$78/mo,$335/mo
"32 Peachtree St NW APT 1101, Atlanta, GA 30303","$149,900 ",1 bd,1 ba,591 sqft,"$145,955 ",Condo,1920,,,,$363/month,,"$1,126 ",$577/mo,$134/mo,$52/mo,$363/mo
"212 Berean Ave SE APT 6, Atlanta, GA 30316","$289,000 ",2 bds,1 ba,879 sqft,,Condo,1964,Forced air,Central,1 space,$158/month,,"$1,578 ","$1,061/mo",$258/mo,$101/mo,$158/mo
"174 Chester Ave SE UNIT 139, Atlanta, GA 30316","$349,900 ",2 bds,2 ba,"1,480 sqft","$343,518 ",Condo,1954,Forced air,Central,1 space,$275/month,,"$1,994 ","$1,285/mo",$312/mo,$122/mo,$275/mo
"2870 Pharr Court South NW APT 1905, Atlanta, GA 30305","$315,000 ",2 bds,2 ba,"1,228 sqft","$306,684 ",Condo,1988,Forced air,Central,2 spaces,$543/month,,"$2,091 ","$1,157/mo",$281/mo,$110/mo,$543/mo
"53 Saint Claire Ln NE, Atlanta, GA 30324","$270,000 ",3 bds,2 ba,"1,550 sqft",,Condo,1983,Forced air,Central,,$475/month,Great solar potentialSun Numberâ„¢:Â 73.81,"$1,802 ",$991/mo,$241/mo,$95/mo,$475/mo
"3298 Ferncliff Ln, Atlanta, GA 30324","$490,000 ",4 bds,4 ba,"2,398 sqft","$478,189 ",Condo,2012,Forced air,Central,Attached Garage,$275/month,Great solar potentialSun Numberâ„¢:Â 92.21,"$2,682 ","$1,799/mo",$437/mo,$172/mo,$275/mo
"3777 Peachtree Rd NE APT 823, Brookhaven, GA 30319","$190,000 ",1 bd,1 ba,775 sqft,"$189,301 ",Condo,1996,Forced air,Central,1 space,$319/month,,"$1,286 ",$731/mo,$169/mo,$67/mo,$319/mo
"878 Peachtree St NE APT 533, Atlanta, GA 30309","$289,900 ",1 bd,1 ba,956 sqft,"$284,148 ",Condo,1951,Forced air,Central,1 space,$385/month,,"$1,809 ","$1,064/mo",$258/mo,$101/mo,$385/mo
"3107 Peachtree Rd NE # 1105, Atlanta, GA 30305","$2,095,000 ",2 bds,3 ba,"2,481 sqft",,Condo,,Electric,Central,,,,"$10,783 ","$8,181/mo","$1,868/mo",$733/mo,$0/mo
"2632 Peachtree Rd NW APT B203, Atlanta, GA 30305","$349,000 ",3 bds,2 ba,"1,640 sqft","$339,260 ",Condo,1960,Forced air,Central,1 space,$713/month,,"$2,428 ","$1,281/mo",$311/mo,$122/mo,$713/mo
"655 Kennesaw Ave NE, Atlanta, GA 30308","$695,000 ",1 bds,#NAME?,"3,200 sqft","$678,560 ",Multi Family,1935,Forced air,Central,5 spaces,$217 ,Great solar potentialSun Numberâ„¢:Â 76.23,"$3,577 ","$2,714/mo",$620/mo,$243/mo,$0/mo
"520 Park Ave SE UNIT 1, Atlanta, GA 30312","$165,000 ",2 bds,1 ba,875 sqft,"$162,642 ",Condo,1960,Forced air,Central,Off street,$180/month,,"$1,020 ",$635/mo,$147/mo,$58/mo,$180/mo
"266 11th St NE UNIT 203, Atlanta, GA 30309","$324,900 ",1 bd,1 ba,833 sqft,"$318,892 ",Condo,1911,Forced air,Central,1 space,$351/month,,"$1,947 ","$1,193/mo",$290/mo,$114/mo,$351/mo
"950 W Peachtree St NW UNIT 1310, Atlanta, GA 30309","$316,900 ",1 bd,1 ba,866 sqft,"$307,866 ",Condo,2006,,,2 spaces,$345/month,,"$1,902 ","$1,163/mo",$283/mo,$111/mo,$345/mo
"943 Peachtree St NE UNIT 1704, Atlanta, GA 30309","$287,900 ",1 bd,1 ba,768 sqft,"$283,588 ",Condo,2002,Forced air,Central,,$358/month,,"$1,772 ","$1,057/mo",$257/mo,$101/mo,$358/mo
"3324 Peachtree Rd NE UNIT 2105, Atlanta, GA 30326","$439,000 ",2 bds,2 ba,"1,238 sqft","$431,773 ",Condo,2005,Forced air,Central,4 spaces,$540/month,,"$2,697 ","$1,612/mo",$391/mo,$154/mo,$540/mo
"250 Park Avenue West NW UNIT 903, Atlanta, GA 30313","$372,000 ",2 bds,2 ba,"1,525 sqft","$365,381 ",Condo,2002,Forced air,Central,1 space,$560/month,,"$2,388 ","$1,366/mo",$332/mo,$130/mo,$560/mo
"856 Briarcliff Rd NE APT 14, Atlanta, GA 30306","$188,000 ",1 bd,1 ba,673 sqft,"$175,168 ",Condo,1940,Forced air,Central,1 space,$21/month,,$984 ,$724/mo,$174/mo,$66/mo,$21/mo
"1726 Annie St NW, Atlanta, GA 30318","$299,000 ",1 bds,#NAME?,"1,076 sqft","$292,385 ",Multi Family,1923,Forced air,Central,2 spaces,$278 ,Great solar potentialSun Numberâ„¢:Â 76.21,"$1,469 ","$1,098/mo",$267/mo,$105/mo,$0/mo
"1122 Rosedale Dr NE # B3, Atlanta, GA 30306","$289,000 ",2 bds,1 ba,980 sqft,"$276,702 ",Condo,1930,Forced air,Central,,$244/month,,"$1,664 ","$1,061/mo",$258/mo,$101/mo,$244/mo
"2626 Peachtree Rd NW UNIT 1706, Atlanta, GA 30305","$217,500 ",1 bd,1 ba,652 sqft,,Condo,2005,Forced air,Central,1 space,$550/month,,"$1,657 ",$837/mo,$194/mo,$76/mo,$550/mo
