Address,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"2645 Howell Mill Rd NW, Atlanta, GA 30327","$5,250,000 ",6 bds,10 ba,"7,600 sqft",,Single Family,1938,Forced air,Central,Attached Garage,3.89 acres,Good solar potentialSun Numberâ„¢:Â 64.21,"$27,021 ","$20,502/mo","$4,681/mo","$1,838/mo",$0/mo
"3611 E Paces Way NE, Atlanta, GA 30326","$850,000 ",3 bds,4 ba,"3,373 sqft",,Single Family,2007,Forced air,Central,Attached Garage,"1,306 sqft",Great solar potentialSun Numberâ„¢:Â 85.01,"$4,375 ","$3,319/mo",$758/mo,$298/mo,$0/mo
"850 Forest Overlook Dr SW, Atlanta, GA 30331","$439,000 ",6 bds,4 ba,"4,305 sqft",,Single Family,1988,Gas,Central,,0.5 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$2,219 ","$1,612/mo",$391/mo,$154/mo,$62/mo
"2450 Macon Dr SW, Atlanta, GA 30315","$85,000 ",3 bds,2 ba,"1,319 sqft",,Single Family,1955,Forced air,Central,Off street,1 acre,Candidate for a community solar programSun Numberâ„¢:Â 37.82,$455 ,$349/mo,$76/mo,$30/mo,$0/mo
"538 Bismark Rd NE # 48, Atlanta, GA 30324","$485,000 ",3 bds,3 ba,"1,789 sqft","$469,897 ",Townhouse,2016,Forced air,Central,Attached Garage,,,"$2,568 ","$1,781/mo",$432/mo,$170/mo,$185/mo
"3502 Redwine Pkwy SW, Atlanta, GA 30331","$268,000 ",4 bds,3 ba,"2,490 sqft","$246,726 ",Single Family,2008,Forced air,Central,2 spaces,0.3 acres,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,367 ",$984/mo,$239/mo,$94/mo,$50/mo
"1816 Evans Dr SW, Atlanta, GA 30310","$299,900 ",4 bds,2 ba,"1,700 sqft","$293,946 ",Single Family,1960,Forced air,Central,,0.35 acres,,"$1,473 ","$1,101/mo",$267/mo,$105/mo,$0/mo
"915 W Wesley Rd NW, Atlanta, GA 30327","$2,650,000 ",5 bds,7 ba,"9,500 sqft","$2,479,032 ",Single Family,2005,Forced air,Central,Attached Garage,0.81 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$13,639 ","$10,349/mo","$2,363/mo",$928/mo,$0/mo
"923 Springdale Rd NE, Atlanta, GA 30306","$2,599,000 ",6 bds,6 ba,"5,012 sqft",,Single Family,1916,Forced air,Central,1 space,1.3 acres,,"$13,463 ","$10,149/mo","$2,404/mo",$910/mo,$0/mo
"3577 Parc Cir SW, Atlanta, GA 30311","$149,900 ",2 bds,3 ba,"2,614 sqft","$145,087 ",Townhouse,2005,Forced air,Central,2 spaces,"1,306 sqft",Great solar potentialSun Numberâ„¢:Â 77.02,$888 ,$577/mo,$134/mo,$52/mo,$125/mo
"6403 Celtic Dr SW, Atlanta, GA 30331","$218,500 ",4 bds,3 ba,"2,337 sqft","$213,644 ",Single Family,2005,Forced air,Central,,"10,018 sqft",Great solar potentialSun Numberâ„¢:Â 90.63,"$1,112 ",$841/mo,$195/mo,$76/mo,$0/mo
"1922 Wildwood Pl NE, Atlanta, GA 30324","$1,749,000 ",5 bds,6 ba,"6,335 sqft",,Single Family,2008,Forced air,Central,Attached Garage,0.34 acres,Great solar potentialSun Numberâ„¢:Â 91.41,"$9,002 ","$6,830/mo","$1,560/mo",$612/mo,$0/mo
"749 Lawton St SW, Atlanta, GA 30310","$435,000 ",5 bds,3 ba,"2,506 sqft","$425,297 ",Single Family,1930,Other,Central,,"7,492 sqft",Good solar potentialSun Numberâ„¢:Â 68.22,"$2,137 ","$1,597/mo",$388/mo,$152/mo,$0/mo
"1401 Mims St SW, Atlanta, GA 30314","$160,000 ",3 bds,2 ba,"1,697 sqft","$156,924 ",Single Family,1940,Forced air,Central,Off street,"7,492 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,$814 ,$616/mo,$143/mo,$56/mo,$0/mo
"267 The Prado NE, Atlanta, GA 30350","$3,200,000 ",5 bds,5 ba,"5,211 sqft","$3,034,271 ",Single Family,1926,Forced air,Other,"Off street, Detached Garage",0.32 acres,Great solar potentialSun Numberâ„¢:Â 84.23,"$16,470 ","$12,496/mo","$2,853/mo","$1,120/mo",$0/mo
"2730 Wyngate Dr NW, Atlanta, GA 30305","$1,295,000 ",4 bds,6 ba,"4,276 sqft",,Single Family,1965,Forced air,Central,,1.06 acres,Great solar potentialSun Numberâ„¢:Â 71.41,"$6,665 ","$5,057/mo","$1,155/mo",$453/mo,$0/mo
"Arbor Plan, Enclave at Chastain","$1,024,900 ",4 bds,5 ba,"3,572 sqft","$985,053 ",Single Family,2019,,,,,,"$5,275 ",,,,
"29 Avery Dr NE, Atlanta, GA 30309","$999,000 ",3 bds,3 ba,"2,376 sqft",,Single Family,1913,Forced air,Central,"Off street, On street","10,454 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.23,"$5,142 ","$3,901/mo",$891/mo,$350/mo,$0/mo
"139 Whitefoord Ave NE, Atlanta, GA 30307","$535,000 ",3 bds,3 ba,"1,728 sqft","$502,991 ",Townhouse,2008,Forced air,Central,3 spaces,"4,356 sqft",Great solar potentialSun Numberâ„¢:Â 92.23,"$2,646 ","$1,964/mo",$495/mo,$187/mo,$0/mo
"574 Holderness St SW, Atlanta, GA 30310","$459,900 ",4 bds,4 ba,"2,500 sqft","$451,504 ",Single Family,1915,Forced air,Central,,"6,298 sqft",Great solar potentialSun Numberâ„¢:Â 92.22,"$2,260 ","$1,688/mo",$410/mo,$161/mo,$0/mo
"1190 Regency Rd NW, Atlanta, GA 30327","$999,999 ",4 bds,4 ba,"4,956 sqft","$941,888 ",Single Family,1978,Forced air,Central,16 spaces,1.11 acres,Great solar potentialSun Numberâ„¢:Â 73.81,"$5,147 ","$3,905/mo",$892/mo,$350/mo,$0/mo
"1 Cherokee Rd NW, Atlanta, GA 30305","$4,999,999 ",6 bds,7 ba,"6,742 sqft","$4,670,639 ",Single Family,1923,Other,Central,6 spaces,1.6 acres,Great solar potentialSun Numberâ„¢:Â 90.61,"$25,734 ","$19,526/mo","$4,458/mo","$1,750/mo",$0/mo
"1986 W Paces Ferry Rd NW, Atlanta, GA 30327","$1,650,000 ",5 bds,5 ba,"5,250 sqft","$1,560,874 ",Single Family,1970,Forced air,Central,5 spaces,2.5 acres,Great solar potentialSun Numberâ„¢:Â 85.01,"$8,492 ","$6,443/mo","$1,471/mo",$578/mo,$0/mo
"630 W Wesley Rd NW, Atlanta, GA 30327","$1,700,000 ",5 bds,6 ba,"6,200 sqft",,Single Family,1950,Forced air,Central,3 spaces,1.11 acres,Good solar potentialSun Numberâ„¢:Â 69.01,"$8,750 ","$6,639/mo","$1,516/mo",$595/mo,$0/mo
"1184 John Collier Rd, Atlanta, GA 30318","$560,000 ",3 bds,4 ba,"2,530 sqft","$545,837 ",Townhouse,2015,Gas,Central,,"1,769 sqft",Great solar potentialSun Numberâ„¢:Â 88.21,"$2,951 ","$2,056/mo",$499/mo,$196/mo,$200/mo
"1006 Violet Ave SE, Atlanta, GA 30315","$275,000 ",3 bds,2 ba,"1,250 sqft","$267,948 ",Single Family,1978,Forced air,Central,Off street,"6,011 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.23,"$1,351 ","$1,010/mo",$245/mo,$96/mo,$0/mo
"3401 Landings South Dr, Atlanta, GA 30331","$280,000 ",5 bds,4 ba,"4,360 sqft","$276,626 ",Single Family,2008,Forced air,Central,1 space,0.43 acres,Great solar potentialSun Numberâ„¢:Â 86.63,"$1,403 ","$1,028/mo",$250/mo,$98/mo,$27/mo
"1030 Los Angeles Ave NE, Atlanta, GA 30306","$674,999 ",4 bds,2 ba,"1,893 sqft",,Single Family,1930,Forced air,Central,,"7,361 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.23,"$3,474 ","$2,636/mo",$602/mo,$236/mo,$0/mo
"1973 Cummings Dr SW, Atlanta, GA 30311","$179,900 ",3 bds,2 ba,"1,210 sqft","$176,240 ",Single Family,1955,"Forced air, Heat pump",Central,,0.28 acres,Candidate for a community solar programSun Numberâ„¢:Â 39.42,$916 ,$692/mo,$160/mo,$63/mo,$0/mo
"870 Stonehaven Rd SW, Atlanta, GA 30331","$268,000 ",5 bds,3 ba,"3,270 sqft","$263,333 ",Single Family,2009,Forced air,Central,Attached Garage,0.32 acres,Great solar potentialSun Numberâ„¢:Â 92.23,"$1,354 ",$984/mo,$239/mo,$94/mo,$37/mo
"389 E Side Ave SE, Atlanta, GA 30316","$295,900 ",1 bd,1 ba,"1,100 sqft","$282,317 ",Single Family,1925,Forced air,Central,2 spaces,"8,712 sqft",Limited solar potentialSun Numberâ„¢:Â 40.23,"$1,464 ","$1,086/mo",$274/mo,$104/mo,$0/mo
"278 Rumson Rd NE, Atlanta, GA 30305","$1,699,000 ",5 bds,5 ba,"3,124 sqft","$1,640,200 ",Single Family,1930,Other,Other,2 spaces,0.45 acres,Good solar potentialSun Numberâ„¢:Â 62.61,"$8,744 ","$6,635/mo","$1,515/mo",$595/mo,$0/mo
"2395 Hurst Dr NE, Atlanta, GA 30305","$625,000 ",3 bds,2 ba,"2,080 sqft","$613,827 ",Single Family,1937,Heat pump,Central,2 spaces,"7,753 sqft",Great solar potentialSun Numberâ„¢:Â 77.81,"$3,229 ","$2,441/mo",$557/mo,$219/mo,$12/mo
"1725 Childress Dr SW, Atlanta, GA 30311","$390,000 ",5 bds,5 ba,"5,451 sqft",,Single Family,1990,Forced air,Central,1 space,1.9 acres,,"$1,916 ","$1,432/mo",$348/mo,$137/mo,$0/mo
"349 N Highland Ave NE, Atlanta, GA 30307","$1,195,000 ",4 bds,4 ba,"3,268 sqft","$1,158,362 ",Single Family,2002,Forced air,Central,2 spaces,"7,797 sqft",Great solar potentialSun Numberâ„¢:Â 92.23,"$6,150 ","$4,667/mo","$1,066/mo",$418/mo,$0/mo
"511 Ross St SW, Atlanta, GA 30315","$188,900 ",4 bds,3 ba,"1,925 sqft","$190,231 ",Single Family,2007,Forced air,Other,,"10,454 sqft",Great solar potentialSun Numberâ„¢:Â 75.42,$962 ,$727/mo,$168/mo,$66/mo,$0/mo
"836 Winslow Way, Atlanta, GA","$384,900 ",3 bds,4 ba,"2,106 sqft","$375,625 ",Single Family,2019,,,2 spaces,,,"$1,891 ",,,,
"1199 Ewing Pl SW, Atlanta, GA 30310","$169,888 ",3 bds,2 ba,"1,123 sqft","$164,835 ",Single Family,1930,Forced air,Central,1 space,"10,018 sqft",Limited solar potentialSun Numberâ„¢:Â 53.82,$865 ,$654/mo,$151/mo,$59/mo,$0/mo
"1480 Everhart St SW, Atlanta, GA 30310","$325,000 ",3 bds,2 ba,"1,505 sqft","$325,000 ",Single Family,1925,Forced air,Central,3 spaces,"7,840 sqft",Candidate for a community solar programSun Numberâ„¢:Â 20.22,"$1,597 ","$1,193/mo",$290/mo,$114/mo,$0/mo
"2781 Mornington Dr NW, Atlanta, GA 30327","$649,000 ",3 bds,2 ba,"2,043 sqft","$624,962 ",Single Family,1960,Forced air,Central,,0.4 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$3,340 ","$2,534/mo",$579/mo,$227/mo,$0/mo
"Halton Plan, Hampshire Park","$247,600 ",5 bds,3 ba,"3,209 sqft","$240,064 ",Single Family,2019,,,2 spaces,,,"$1,260 ",,,,
