Address,Bedrooms,Bathrooms,Area,Zestimate,Year Built,Parking,HL,Monthcost,PI,PT,HI,HF,geo,label_0,label_1,label_2,label_3,label_4,Type_Apartment,Type_Condo,Type_Cooperative,Type_Miscellaneous,Type_Multi Family,Heating_Baseboard,"Heating_Baseboard, Forced air","Heating_Baseboard, Forced air, Other, Radiant","Heating_Baseboard, Heat pump","Heating_Baseboard, Other",Heating_Electric,"Heating_Electric, Gas",Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Heat pump, Wall","Heating_Forced air, Wall",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_Oil,Heating_Other,"Heating_Other, Radiant",Heating_Radiant,Heating_Wall,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Wall",Cooling_No Data,Cooling_None,Cooling_Other,"Cooling_Other, Refrigeration","Cooling_Other, Wall",Cooling_Wall,"Cooling_Wall, Refrigeration"
10307.0,2.0012865754048406,1.126782815345167,-0.08218894226381811,1.802965949015896,1.3869614682714426,0.0,-0.18326170259511743,0.8316060838245125,1.9630185416805277,2.061124315564697,1.876673798676246,-0.18249167664059435,"(40.509183, -74.237785)",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10011.0,-0.9495900587380113,-0.6310746393895946,-0.1740440785544427,1.3679840127134832,0.37889055007171274,0.0,0.9378904675226856,0.0,1.4617007152561106,1.5733971660318753,1.3777900017692526,0.2463040600001743,"(40.742039, -74.00062)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30312.0,-0.9495900587380113,-0.6310746393895946,-0.16422164125686547,-1.332280534955972,1.0957409807915206,-0.2473427997654477,-0.1552888440592441,-0.6292193535179192,-1.2361205968546205,-1.135705455464071,-1.2714549887023676,-0.07794782444102615,"(33.744725, -84.375231)",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30312.0,-0.9495900587380113,-0.6310746393895946,-0.1793901446877595,-1.6493193989133186,0.7821189173516048,-0.3138033304503464,-0.1922130173265969,-0.7714522063993792,-1.4898270348475244,-1.512585525557615,-1.5553026662528984,-0.08890003752859996,"(33.744725, -84.375231)",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11224.0,-0.21187090020229832,-0.6310746393895946,-0.16700978101060485,-0.5798137518496964,0.42369370199170076,0.0,-0.018781294404182247,-0.13640015045550566,-0.44909732223999593,-0.9007096470528023,-0.548933627664653,0.09064988005859496,"(40.577372, -73.98870600000001)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2108.0,-0.9495900587380113,-0.6310746393895946,-0.18077142493273127,0.30400467483495663,-1.4580386786477952,0.0,-0.08591615489027825,0.08488360619684822,0.1878353569253729,0.2787032781811121,0.27680507066416365,-0.0573709392461905,"(42.357768, -71.064858)",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11365.0,2.0012865754048406,2.005711542712548,-0.15948947745464728,2.2635789719539776,1.3645598923114486,-0.3138033304503464,0.6570429678225174,0.0,2.3866244861972086,2.3360250725741056,2.2809417030663957,-0.18249167664059435,"(40.739634, -73.79449)",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2114.0,-0.21187090020229832,-0.6310746393895946,-0.18228060149668196,-0.3143860912174824,-1.0324087354079092,0.0,0.0,-0.4999167599893194,-0.7690874242130281,-0.7809948012583825,-0.7467668574725986,-0.18249167664059435,"(42.363174, -71.068646)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2115.0,1.2635674168691275,-0.6310746393895946,-0.1607428613806402,0.3531338866664322,-0.7859913998479752,-0.3138033304503464,0.0,-0.02002781627976577,0.1992635748529812,0.2920049277138254,0.29400796021268066,-0.18249167664059435,"(42.337105, -71.105696)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2130.0,0.5258482583334146,0.24785408797778624,-0.16457975095000632,0.2842166098406056,-1.0100071594479152,0.0,-0.2839639933242614,-0.023848120179474405,0.0727912964541161,0.15455454920912112,0.15638484382454457,-0.1161146276249955,"(42.309174, -71.113835)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
