Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"98 W Springfield St # 3, Boston, MA 02118",https://www.zillow.com/homedetails/98-W-Springfield-St-3-Boston-MA-02118/2092047808_zpid/,"$1,299,000",Condo for sale,"1,370 sqft",2 bds,2 ba,"$1,299,001",Condo,1900,No Data,No Data,No Data,No Data,$948,,"$6,431","$5,067/mo",$0/mo,$909/mo,$455/mo,$0/mo,Not included
"Coming Soon Plan, The Quinn",https://www.zillow.com/community/quinn/2082550206_zpid/,$--,New construction,-- sqft,-- bds,-- ba,,Single Family,2019,No Data,No Data,No Data,No Data,No Data,Great solar potentialSun Number™: 94.38,$0,,,,,,
"41 Westmore Rd # 3, Boston, MA 02126",https://www.zillow.com/homedetails/41-Westmore-Rd-3-Boston-MA-02126/59136510_zpid/,"$299,000",Condo for sale,"1,055 sqft",3 bds,1 ba,"$303,602",Condo,1989,Other,No Data,1 space,$225/month,$283,Great solar potentialSun Number™: 90.22,"$1,648","$1,109/mo",$0/mo,$209/mo,$105/mo,$225/mo,Not included
"300 Commercial St APT 509, Boston, MA 02109",https://www.zillow.com/homedetails/300-Commercial-St-APT-509-Boston-MA-02109/59164501_zpid/,"$799,000",Condo for sale,739 sqft,1 bd,1 ba,"$777,385",Condo,1900,Forced air,Central,No Data,$671/month,"$1,081",Great solar potentialSun Number™: 94.38,"$4,460","$2,950/mo",$0/mo,$559/mo,$280/mo,$671/mo,Not included
"54 Pleasant St # 18, Boston, MA 02125",https://www.zillow.com/homedetails/54-Pleasant-St-18-Boston-MA-02125/2082233003_zpid/,"$799,000",Condo for sale,"1,148 sqft",2 bds,2 ba,"$784,098",Condo,2019,Forced air,Central,Attached Garage,$355/month,$696,,"$4,144","$2,950/mo",$0/mo,$559/mo,$280/mo,$355/mo,Not included
"6 Vinton St # 3, South Boston, MA 02127",https://www.zillow.com/homedetails/6-Vinton-St-3-South-Boston-MA-02127/67095642_zpid/,"$559,000",Condo for sale,753 sqft,1 bd,1 ba,"$553,749",Condo,1900,Forced air,Central,On street,$199/month,$742,Great solar potentialSun Number™: 93.26,"$2,859","$2,073/mo",$0/mo,$391/mo,$196/mo,$199/mo,Not included
"49 L St UNIT 8, South Boston, MA 02127",https://www.zillow.com/homedetails/49-L-St-UNIT-8-South-Boston-MA-02127/190072570_zpid/,"$889,000",Condo for sale,"1,014 sqft",2 bds,2 ba,"$877,545",Condo,2013,Forced air,Central,No Data,$395/month,$877,Candidate for a community solar programSun Number™: 22.86,"$4,796","$3,468/mo",$0/mo,$622/mo,$311/mo,$395/mo,Not included
"46 Rockvale Cir # 46, Boston, MA 02130",https://www.zillow.com/homedetails/46-Rockvale-Cir-46-Boston-MA-02130/2082766595_zpid/,"$589,900",Condo for sale,"1,720 sqft",3 bds,2 ba,"$602,507",Condo,1988,Baseboard,Central,No Data,$308/month,$343,,"$3,106","$2,178/mo",$0/mo,$413/mo,$206/mo,$308/mo,Not included
"21 Beacon St APT 3A, Boston, MA 02108",https://www.zillow.com/homedetails/21-Beacon-St-APT-3A-Boston-MA-02108/59180717_zpid/,"$699,900",Condo for sale,600 sqft,1 bd,1 ba,"$696,560",Condo,1899,Baseboard,No Data,No Data,$630/month,"$1,166",Great solar potentialSun Number™: 94.38,"$3,949","$2,585/mo",$0/mo,$490/mo,$245/mo,$630/mo,Not included
"59 Commercial Wharf APT 3, Boston, MA 02110",https://www.zillow.com/homedetails/59-Commercial-Wharf-APT-3-Boston-MA-02110/59174578_zpid/,"$1,399,000",Condo for sale,"1,230 sqft",2 bds,1 ba,"$1,367,816",Condo,1832,"Baseboard, Forced air",Central,Off street,"$1,117/month","$1,137",Great solar potentialSun Number™: 94.38,"$8,043","$5,457/mo",$0/mo,$979/mo,$490/mo,"$1,117/mo",Not included
