Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"12 Powellton Rd, Boston, MA 02121",https://www.zillow.com/homedetails/12-Powellton-Rd-Boston-MA-02121/59107523_zpid/,"$449,013",Auction,"4,119 sqft",8 bds,2 ba,"$608,460",Single Family,1915,Other,No Data,No Data,"3,920 sqft",,Great solar potentialSun Number™: 80.78,"$2,133","$1,662/mo",$0/mo,$314/mo,$157/mo,$0/mo,Not included
"199 Weld St, Boston, MA 02132",https://www.zillow.com/homedetails/199-Weld-St-Boston-MA-02132/59141911_zpid/,"$609,000",House for sale,"1,632 sqft",3 bds,1 ba,"$611,968",Single Family,1930,Baseboard,No Data,1 space,"4,791 sqft",$373,Great solar potentialSun Number™: 94.94,"$2,890","$2,251/mo",$0/mo,$426/mo,$213/mo,$0/mo,Not included
"401 Beacon St APT 4, Boston, MA 02115",https://www.zillow.com/homedetails/401-Beacon-St-APT-4-Boston-MA-02115/59167152_zpid/,"$6,300,000",Condo for sale,"2,877 sqft",3 bds,3 ba,,Condo,2019,Radiant,Central,No Data,"$2,575/month","$2,190",Great solar potentialSun Number™: 94.38,"$33,760","$24,570/mo",$0/mo,"$4,410/mo","$2,205/mo","$2,575/mo",Not included
"30 Jamaicaway APT 15, Boston, MA 02130",https://www.zillow.com/homedetails/30-Jamaicaway-APT-15-Boston-MA-02130/59131902_zpid/,"$400,000",Condo for sale,820 sqft,2 bds,1 ba,"$407,822",Condo,1920,Baseboard,No Data,No Data,$490/month,$488,Great solar potentialSun Number™: 83.98,"$2,390","$1,480/mo",$0/mo,$280/mo,$140/mo,$490/mo,Not included
"71 Marlborough St APT 1, Boston, MA 02116",https://www.zillow.com/homedetails/71-Marlborough-St-APT-1-Boston-MA-02116/59172039_zpid/,"$899,000",Condo for sale,942 sqft,2 bds,1 ba,"$875,193",Condo,1905,Baseboard,No Data,1 space,$243/month,$954,Great solar potentialSun Number™: 85.58,"$4,693","$3,506/mo",$0/mo,$629/mo,$315/mo,$243/mo,Not included
"10 Salem Street Ave # 2, Boston, MA 02129",https://www.zillow.com/homedetails/10-Salem-Street-Ave-2-Boston-MA-02129/102987788_zpid/,"$899,000",Condo for sale,"1,308 sqft",3 bds,1 ba,"$886,283",Condo,1860,Baseboard,No Data,No Data,$175/month,$687,Great solar potentialSun Number™: 92.4,"$4,625","$3,506/mo",$0/mo,$629/mo,$315/mo,$175/mo,Not included
"45 Catherine St # 1, Boston, MA 02131",https://www.zillow.com/homedetails/45-Catherine-St-1-Boston-MA-02131/123845287_zpid/,"$479,000",Condo for sale,"1,112 sqft",3 bds,2 ba,"$500,447",Condo,1910,Baseboard,Wall,1 space,$186/month,$431,Great solar potentialSun Number™: 85.78,"$2,461","$1,772/mo",$0/mo,$335/mo,$168/mo,$186/mo,Not included
"63 Melcher St STE 100, Boston, MA 02210",https://www.zillow.com/homedetails/63-Melcher-St-STE-100-Boston-MA-02210/2101878825_zpid/,"$635,000",Condo for sale,528 sqft,1 bd,1 ba,"$653,883",Condo,1916,"Forced air, Heat pump",Central,Attached Garage,$342/month,"$1,203",,"$3,355","$2,347/mo",$0/mo,$445/mo,$222/mo,$342/mo,Not included
"30 Monument Sq # U109, Boston, MA 02129",https://www.zillow.com/homedetails/30-Monument-Sq-U109-Boston-MA-02129/2082866019_zpid/,"$675,000",Condo for sale,"1,068 sqft",2 bds,1 ba,"$675,002",Condo,1908,Forced air,Central,No Data,$504/month,$632,,"$3,707","$2,494/mo",$0/mo,$473/mo,$236/mo,$504/mo,Not included
"20 Summit St, Boston, MA 02136",https://www.zillow.com/homedetails/20-Summit-St-Boston-MA-02136/59126981_zpid/,"$622,000",House for sale,"1,644 sqft",3 bds,2 ba,"$627,036",Single Family,1950,Baseboard,Central,3 spaces,"6,098 sqft",$378,Great solar potentialSun Number™: 77.42,"$2,952","$2,299/mo",$0/mo,$435/mo,$218/mo,$0/mo,Not included
"42 8th St APT 1306, Boston, MA 02129",https://www.zillow.com/homedetails/42-8th-St-APT-1306-Boston-MA-02129/67095750_zpid/,"$610,000",Condo for sale,909 sqft,2 bds,2 ba,"$592,885",Condo,1899,Forced air,Central,1 space,$645/month,$671,Great solar potentialSun Number™: 90.8,"$3,540","$2,254/mo",$0/mo,$427/mo,$214/mo,$645/mo,Not included
"51 Silver St # 601, Boston, MA 02127",https://www.zillow.com/homedetails/51-Silver-St-601-Boston-MA-02127/2082089310_zpid/,"$1,749,000",Condo for sale,"1,898 sqft",2 bds,2 ba,"$1,718,135",Condo,2019,Forced air,Central,No Data,$631/month,$921,,"$9,289","$6,821/mo",$0/mo,"$1,224/mo",$612/mo,$631/mo,Not included
"34 Mystic St # 1, Boston, MA 02129",https://www.zillow.com/homedetails/34-Mystic-St-1-Boston-MA-02129/102981460_zpid/,"$849,000",Coming soon,"1,527 sqft",3 bds,2 ba,"$889,006",Condo,1860,Forced air,Central,No Data,$220/month,$556,Great solar potentialSun Number™: 91.6,"$4,249","$3,137/mo",$0/mo,$594/mo,$297/mo,$220/mo,Not included
"78 Dedham St, Boston, MA 02136",https://www.zillow.com/homedetails/78-Dedham-St-Boston-MA-02136/59128149_zpid/,"$529,000",House for sale,"1,677 sqft",3 bds,2 ba,"$529,004",Single Family,1987,Baseboard,Central,2 spaces,"5,662 sqft",$315,Candidate for a community solar programSun Number™: 23.02,"$2,513","$1,958/mo",$0/mo,$370/mo,$185/mo,$0/mo,Not included
"190 Commonwealth Ave APT 6, Boston, MA 02116",https://www.zillow.com/homedetails/190-Commonwealth-Ave-APT-6-Boston-MA-02116/59176604_zpid/,"$649,000",Condo for sale,519 sqft,1 bd,1 ba,"$642,482",Condo,1880,Other,No Data,No Data,$385/month,"$1,250",Great solar potentialSun Number™: 87.98,"$3,465","$2,398/mo",$0/mo,$454/mo,$227/mo,$385/mo,Not included
"45 Lewis St UNIT 217, Boston, MA",https://www.zillow.com/homedetails/45-Lewis-St-UNIT-217-Boston-MA-02128/2082072199_zpid/,"$700,000",New construction,754 sqft,1 bd,1 ba,,Condo,No Data,Forced air,Central,On street,No Data,$928,,"$3,322",,,,,,
"2570 Centre St, Boston, MA 02132",https://www.zillow.com/homedetails/2570-Centre-St-Boston-MA-02132/59160701_zpid/,"$499,900",House for sale,"1,311 sqft",2 bds,2 ba,"$500,301",Single Family,1950,Baseboard,Central,2 spaces,"6,098 sqft",$381,Candidate for a community solar programSun Number™: 22.94,"$2,375","$1,850/mo",$0/mo,$350/mo,$175/mo,$0/mo,Not included
"15 Trenton St # 3, East Boston, MA 02128",https://www.zillow.com/homedetails/15-Trenton-St-3-East-Boston-MA-02128/59123788_zpid/,"$399,900",Condo for sale,893 sqft,2 bds,2 ba,"$388,680",Condo,1900,Forced air,Central,No Data,$235/month,$448,Great solar potentialSun Number™: 88.2,"$2,135","$1,480/mo",$0/mo,$280/mo,$140/mo,$235/mo,Not included
"10 Hancock St # 2, Boston, MA 02114",https://www.zillow.com/homedetails/10-Hancock-St-2-Boston-MA-02114/59180639_zpid/,"$1,049,000",Condo for sale,"1,028 sqft",2 bds,1 ba,"$1,031,903",Condo,1880,Baseboard,No Data,No Data,$513/month,"$1,020",,"$5,706","$4,091/mo",$0/mo,$734/mo,$367/mo,$513/mo,Not included
"27 Northbourne Rd, Boston, MA 02130",https://www.zillow.com/homedetails/27-Northbourne-Rd-Boston-MA-02130/59136251_zpid/,"$739,900",House for sale,"1,538 sqft",3 bds,2 ba,"$775,698",Single Family,1915,Baseboard,No Data,2 spaces,"4,356 sqft",$481,Candidate for a community solar programSun Number™: 22.38,"$3,511","$2,734/mo",$0/mo,$518/mo,$259/mo,$0/mo,Not included
"109 Anawan Ave, Boston, MA 02132",https://www.zillow.com/homedetails/109-Anawan-Ave-Boston-MA-02132/59156077_zpid/,"$825,000",House for sale,"2,585 sqft",6 bds,2 ba,"$824,812",Single Family,1908,Other,None,2 spaces,"5,662 sqft",$319,Good solar potentialSun Number™: 61.34,"$3,915","$3,049/mo",$0/mo,$578/mo,$289/mo,$0/mo,Not included
"52 Newburg St # 1, Boston, MA 02131",https://www.zillow.com/homedetails/52-Newburg-St-1-Boston-MA-02131/190073476_zpid/,"$530,000",Condo for sale,"1,325 sqft",2 bds,1 ba,"$554,780",Condo,1914,Forced air,Central,No Data,$215/month,$400,Great solar potentialSun Number™: 94.58,"$2,733","$1,961/mo",$0/mo,$371/mo,$186/mo,$215/mo,Not included
"177 Beacon St APT 4, Boston, MA 02116",https://www.zillow.com/homedetails/177-Beacon-St-APT-4-Boston-MA-02116/59171945_zpid/,"$1,998,500",Condo for sale,"1,690 sqft",3 bds,3 ba,"$1,969,903",Condo,1900,Forced air,Central,1 space,$626/month,"$1,183",Great solar potentialSun Number™: 91.18,"$10,519","$7,794/mo",$0/mo,"$1,399/mo",$699/mo,$626/mo,Not included
"21 Welles Ave, Boston, MA 02124",https://www.zillow.com/homedetails/21-Welles-Ave-Boston-MA-02124/59112470_zpid/,"$999,000",Apartment for sale,"3,859 sqft",8 bds,3 ba,"$979,282",Multi Family,1923,Forced air,None,4 spaces,$259,,Great solar potentialSun Number™: 84.2,"$4,945","$3,896/mo",$0/mo,$699/mo,$350/mo,$0/mo,Not included
"11 Parker St # 1, Boston, MA 02129",https://www.zillow.com/homedetails/11-Parker-St-1-Boston-MA-02129/71329917_zpid/,"$599,000",Condo for sale,940 sqft,2 bds,2 ba,"$590,886",Condo,1900,Forced air,Central,1 space,$185/month,$637,Great solar potentialSun Number™: 84.4,"$3,027","$2,214/mo",$0/mo,$419/mo,$210/mo,$185/mo,Not included
"126 Marlborough St, Boston, MA 02116",https://www.zillow.com/homedetails/126-Marlborough-St-Boston-MA-02116/59171277_zpid/,"$5,900,000",House for sale,"5,194 sqft",5 bds,6 ba,"$5,544,937",Single Family,1868,Forced air,Central,1 space,"2,178 sqft","$1,136",Great solar potentialSun Number™: 94.38,"$29,205","$23,010/mo",$0/mo,"$4,130/mo","$2,065/mo",$0/mo,Not included
"65 E India Row APT 8C, Boston, MA 02110",https://www.zillow.com/homedetails/65-E-India-Row-APT-8C-Boston-MA-02110/59174996_zpid/,"$885,000",Condo for sale,"1,224 sqft",2 bds,2 ba,"$878,006",Condo,1970,Forced air,Central,No Data,"$1,113/month",$723,Great solar potentialSun Number™: 94.38,"$5,494","$3,452/mo",$0/mo,$620/mo,$310/mo,"$1,113/mo",Not included
"67A Chestnut St, Boston, MA 02108",https://www.zillow.com/homedetails/67A-Chestnut-St-Boston-MA-02108/2083987824_zpid/,"$6,200,000",House for sale,"5,343 sqft",5 bds,5 ba,"$5,858,810",Single Family,1890,Radiant,Central,1 space,871 sqft,"$1,160",,"$30,690","$24,180/mo",$0/mo,"$4,340/mo","$2,170/mo",$0/mo,Not included
"3 Lawrence St, Boston, MA 02116",https://www.zillow.com/homedetails/3-Lawrence-St-Boston-MA-02116/59175909_zpid/,"$3,095,000",House for sale,"2,345 sqft",3 bds,3 ba,"$2,984,266",Single Family,1865,Forced air,Central,On street,871 sqft,"$1,320",Great solar potentialSun Number™: 88.78,"$15,320","$12,071/mo",$0/mo,"$2,167/mo","$1,083/mo",$0/mo,Not included
"159 Cottage St APT 3, East Boston, MA 02128",https://www.zillow.com/homedetails/159-Cottage-St-APT-3-East-Boston-MA-02128/59122592_zpid/,"$329,900",Condo for sale,578 sqft,1 bd,1 ba,"$321,652",Condo,1905,Other,None,1 space,$190/month,$571,Great solar potentialSun Number™: 93.8,"$1,757","$1,221/mo",$0/mo,$231/mo,$115/mo,$190/mo,Not included
"28 Larch St # 28, Boston, MA 02135",https://www.zillow.com/homedetails/28-Larch-St-28-Boston-MA-02135/2086423260_zpid/,"$580,000",Condo for sale,"1,700 sqft",3 bds,2 ba,"$584,867",Condo,1930,Baseboard,Other,On street,$12/month,$341,,"$2,764","$2,143/mo",$0/mo,$406/mo,$203/mo,$12/mo,Not included
"99 Fulton St APT 1-3, Boston, MA 02109",https://www.zillow.com/homedetails/99-Fulton-St-APT-1-3-Boston-MA-02109/59177695_zpid/,"$915,000",Condo for sale,"1,225 sqft",3 bds,2 ba,"$886,723",Condo,1979,Forced air,Wall,No Data,$246/month,$747,Great solar potentialSun Number™: 94.38,"$4,775","$3,569/mo",$0/mo,$641/mo,$320/mo,$246/mo,Not included
"15 Melrose St # 1, Boston, MA 02116",https://www.zillow.com/homedetails/15-Melrose-St-1-Boston-MA-02116/190072462_zpid/,"$1,444,000",Condo for sale,"1,250 sqft",2 bds,2 ba,"$1,428,528",Condo,1910,Radiant,Central,No Data,$166/month,"$1,155",Great solar potentialSun Number™: 90.38,"$7,314","$5,632/mo",$0/mo,"$1,011/mo",$505/mo,$166/mo,Not included
"29 Huckins St, Boston, MA 02119",https://www.zillow.com/homedetails/29-Huckins-St-Boston-MA-02119/81855171_zpid/,"$213,327",Auction,"1,384 sqft",3 bds,-- ba,,Single Family,1994,Other,No Data,1 space,"2,944 sqft",,Great solar potentialSun Number™: 90.42,"$1,052",$828/mo,$0/mo,$149/mo,$75/mo,$0/mo,Not included
"21 Beaver Pl, Boston, MA 02108",https://www.zillow.com/homedetails/21-Beaver-Pl-Boston-MA-02108/63710458_zpid/,"$10,750,000",Condo for sale,"5,000 sqft",5 bds,5 ba,"$10,173,697",Condo,1900,Forced air,Central,4 spaces,"$1,200/month","$2,150",Great solar potentialSun Number™: 94.38,"$54,413","$41,925/mo",$0/mo,"$7,525/mo","$3,763/mo","$1,200/mo",Not included
"545 E 3rd St # 2, Boston, MA 02127",https://www.zillow.com/homedetails/545-E-3rd-St-2-Boston-MA-02127/2106309390_zpid/,"$759,900",Condo for sale,948 sqft,2 bds,4 ba,"$749,966",Condo,2019,Forced air,Central,"Off street, On street",$325/month,$802,,"$3,931","$2,808/mo",$0/mo,$532/mo,$266/mo,$325/mo,Not included
"15 Saint George St APT 5, Boston, MA 02118",https://www.zillow.com/homedetails/15-Saint-George-St-APT-5-Boston-MA-02118/59183556_zpid/,"$599,000",Condo for sale,625 sqft,2 bds,1 ba,"$595,378",Condo,1899,Baseboard,No Data,1 space,$200/month,$958,Great solar potentialSun Number™: 93.58,"$3,042","$2,214/mo",$0/mo,$419/mo,$210/mo,$200/mo,Not included
"30 Saint Stephen St # 1, Boston, MA 02115",https://www.zillow.com/homedetails/30-Saint-Stephen-St-1-Boston-MA-02115/2082101535_zpid/,"$2,395,000",Townhouse for sale,"2,473 sqft",4 bds,3 ba,"$2,336,585",Townhouse,1886,Forced air,Central,2 spaces,"1,742 sqft",$968,,"$11,855","$9,341/mo",$0/mo,"$1,677/mo",$838/mo,$0/mo,Not included
"6 Wyman St # 2, Boston, MA 02130",https://www.zillow.com/homedetails/6-Wyman-St-2-Boston-MA-02130/71488616_zpid/,"$585,000",Condo for sale,"1,008 sqft",3 bds,2 ba,"$607,967",Condo,1905,Forced air,Central,No Data,$275/month,$580,Great solar potentialSun Number™: 92.78,"$3,051","$2,162/mo",$0/mo,$410/mo,$205/mo,$275/mo,Not included
"28 Sidlaw Rd APT 15, Boston, MA 02135",https://www.zillow.com/homedetails/28-Sidlaw-Rd-APT-15-Boston-MA-02135/59090180_zpid/,"$399,000",Condo for sale,574 sqft,1 bd,1 ba,"$393,060",Condo,1925,Baseboard,None,No Data,$347/month,$695,Great solar potentialSun Number™: 78.65,"$2,242","$1,476/mo",$0/mo,$279/mo,$140/mo,$347/mo,Not included
"26 Main St APT 9, Boston, MA 02129",https://www.zillow.com/homedetails/26-Main-St-APT-9-Boston-MA-02129/2082757571_zpid/,"$625,000",Condo for sale,800 sqft,2 bds,1 ba,"$616,715",Condo,1900,Baseboard,No Data,No Data,$462/month,$781,Great solar potentialSun Number™: 88.4,"$3,428","$2,310/mo",$0/mo,$438/mo,$219/mo,$462/mo,Not included
"21 Father Francis Gilday St APT 205, Boston, MA 02118",https://www.zillow.com/homedetails/21-Father-Francis-Gilday-St-APT-205-Boston-MA-02118/81856370_zpid/,"$1,249,000",Condo for sale,"1,144 sqft",2 bds,2 ba,"$1,215,212",Condo,2006,Heat pump,Central,1 space,$973/month,"$1,092",Great solar potentialSun Number™: 90.38,"$7,156","$4,871/mo",$0/mo,$874/mo,$437/mo,$973/mo,Not included
"216 Hamilton St, Boston, MA 02122",https://www.zillow.com/homedetails/216-Hamilton-St-Boston-MA-02122/59108306_zpid/,"Est. $207,194",Pre-foreclosure,"1,080 sqft",3 bds,1 ba,"$279,993",Single Family,1925,Baseboard,None,1 space,"3,110 sqft",,Candidate for a community solar programSun Number™: 22.38,$984,$767/mo,$0/mo,$145/mo,$73/mo,$0/mo,Not included
"2 Howe Ter APT 2, Boston, MA 02125",https://www.zillow.com/homedetails/2-Howe-Ter-APT-2-Boston-MA-02125/2083358289_zpid/,"$439,900",House for sale,"1,518 sqft",3 bds,2 ba,"$439,901",Single Family,1989,Baseboard,No Data,No Data,"2,178 sqft",$290,,"$2,371","$1,628/mo",$0/mo,$308/mo,$154/mo,$281/mo,Not included
"130 Coleridge St # 5, Boston, MA",https://www.zillow.com/homedetails/130-Coleridge-St-5-Boston-MA-02128/2083398191_zpid/,"$644,000",New construction,"1,018 sqft",2 bds,2 ba,"$632,361",Condo,2019,Forced air,Central,1 space,$387/month,$633,,"$3,443","$2,380/mo",$0/mo,$451/mo,$225/mo,$387/mo,Not included
"15 Waltham St APT B-301, Boston, MA 02118",https://www.zillow.com/homedetails/15-Waltham-St-APT-B-301-Boston-MA-02118/63709301_zpid/,"$1,200,000",Condo for sale,"1,103 sqft",2 bds,2 ba,"$1,161,290",Condo,2003,Forced air,Central,1 space,$578/month,"$1,088",Great solar potentialSun Number™: 90.38,"$6,518","$4,680/mo",$0/mo,$840/mo,$420/mo,$578/mo,Not included
"13 Lexington St # 2, Boston, MA 02129",https://www.zillow.com/homedetails/13-Lexington-St-2-Boston-MA-02129/87793494_zpid/,"$749,000",Condo for sale,947 sqft,2 bds,2 ba,"$749,004",Condo,1870,Forced air,Central,No Data,$186/month,$791,Great solar potentialSun Number™: 87.6,"$3,740","$2,768/mo",$0/mo,$524/mo,$262/mo,$186/mo,Not included
"220 W Springfield St APT 4, Boston, MA 02118",https://www.zillow.com/homedetails/220-W-Springfield-St-APT-4-Boston-MA-02118/59185179_zpid/,"$1,499,000",Condo for sale,"1,492 sqft",2 bds,2 ba,"$1,499,802",Condo,1890,Baseboard,Central,No Data,$885/month,"$1,005",Great solar potentialSun Number™: 89.58,"$8,305","$5,846/mo",$0/mo,"$1,049/mo",$525/mo,$885/mo,Not included
"47 Lexington Ave, Boston, MA 02136",https://www.zillow.com/homedetails/47-Lexington-Ave-Boston-MA-02136/59126016_zpid/,"Est. $388,366",Pre-foreclosure / Auction,"1,565 sqft",4 bds,2 ba,"$524,819",Single Family,1925,Other,No Data,1 space,"7,408 sqft",,Great solar potentialSun Number™: 91.82,"$1,845","$1,437/mo",$0/mo,$272/mo,$136/mo,$0/mo,Not included
"429 Columbus Ave APT 2, Boston, MA 02116",https://www.zillow.com/homedetails/429-Columbus-Ave-APT-2-Boston-MA-02116/190072512_zpid/,"$2,150,000",Condo for sale,"1,893 sqft",3 bds,3 ba,"$2,050,217",Condo,1899,Forced air,Central,1 space,$275/month,"$1,136",Great solar potentialSun Number™: 89.58,"$10,918","$8,385/mo",$0/mo,"$1,505/mo",$753/mo,$275/mo,Not included
"253 E Cottage St # 3, Boston, MA 02125",https://www.zillow.com/homedetails/253-E-Cottage-St-3-Boston-MA-02125/59212490_zpid/,"$525,000",Condo for sale,"1,063 sqft",2 bds,1 ba,"$524,140",Condo,1905,Forced air,Central,No Data,$250/month,$494,Great solar potentialSun Number™: 85.58,"$2,744","$1,943/mo",$0/mo,$368/mo,$184/mo,$250/mo,Not included
"13 Walnut St UNIT 1, Boston, MA 02108",https://www.zillow.com/homedetails/13-Walnut-St-UNIT-1-Boston-MA-02108/295324512_zpid/,"$2,995,000",Condo for sale,"2,095 sqft",3 bds,4 ba,"$2,863,023",Condo,2017,Forced air,Central,No Data,$400/month,"$1,430",,"$15,225","$11,681/mo",$0/mo,"$2,097/mo","$1,048/mo",$400/mo,Not included
"17 Snow Hill St APT 5, Boston, MA 02113",https://www.zillow.com/homedetails/17-Snow-Hill-St-APT-5-Boston-MA-02113/59163795_zpid/,"$729,000",Condo for sale,680 sqft,1 bd,1 ba,"$727,893",Condo,1899,"Baseboard, Heat pump",Other,On street,$181/month,"$1,072",Great solar potentialSun Number™: 94.38,"$3,640","$2,694/mo",$0/mo,$510/mo,$255/mo,$181/mo,Not included
"9 Hunnewell Ave # 1, Brighton, MA 02135",https://www.zillow.com/homedetails/9-Hunnewell-Ave-1-Brighton-MA-02135/2106635162_zpid/,"$489,900",Condo for sale,876 sqft,2 bds,1 ba,"$491,127",Condo,1925,Forced air,Central,On street,$221/month,$559,,"$2,548","$1,813/mo",$0/mo,$343/mo,$171/mo,$221/mo,Not included
"26 Chiswick Rd APT 1, Boston, MA 02135",https://www.zillow.com/homedetails/26-Chiswick-Rd-APT-1-Boston-MA-02135/59094008_zpid/,"$343,000",For sale by owner,590 sqft,1 bd,1 ba,"$355,340",Condo,1920,Radiant,No Data,On street,$400/month,$581,Great solar potentialSun Number™: 90.65,"$2,029","$1,269/mo",$0/mo,$240/mo,$120/mo,$400/mo,Not included
"40 Bradford St, Boston, MA 02118",https://www.zillow.com/homedetails/40-Bradford-St-Boston-MA-02118/59182193_zpid/,"$3,175,000",House for sale,"2,184 sqft",3 bds,4 ba,"$3,073,160",Single Family,1890,Forced air,Central,Detached Garage,871 sqft,"$1,454",Great solar potentialSun Number™: 89.58,"$15,716","$12,383/mo",$0/mo,"$2,223/mo","$1,111/mo",$0/mo,Not included
"149 Gallivan Blvd, Boston, MA 02124",https://www.zillow.com/homedetails/149-Gallivan-Blvd-Boston-MA-02124/59116889_zpid/,"$449,900",For sale by owner,"1,855 sqft",3 bds,2 ba,"$561,599",Single Family,1955,"Heat pump, Other, Stove","Wall, Refrigeration",1 space,"5,662 sqft",$243,Great solar potentialSun Number™: 91.4,"$501,137","$1,665/mo",$0/mo,$315/mo,$157/mo,"$499,000/mo",Not included
"120 Commercial St APT 1-2, Boston, MA 02109",https://www.zillow.com/homedetails/120-Commercial-St-APT-1-2-Boston-MA-02109/59177730_zpid/,"$899,000",Condo for sale,"1,135 sqft",2 bds,2 ba,"$887,922",Condo,1870,Forced air,No Data,No Data,$600/month,$792,Great solar potentialSun Number™: 89.58,"$5,050","$3,506/mo",$0/mo,$629/mo,$315/mo,$600/mo,Not included
"41 Upton St # 3, Boston, MA 02118",https://www.zillow.com/homedetails/41-Upton-St-3-Boston-MA-02118/59182521_zpid/,"$1,600,000",Condo for sale,"1,750 sqft",2 bds,2 ba,"$1,600,005",Condo,1890,Baseboard,Central,1 space,$559/month,$914,Great solar potentialSun Number™: 83.98,"$8,479","$6,240/mo",$0/mo,"$1,120/mo",$560/mo,$559/mo,Not included
"40 Battery St PH 6, Boston, MA 02109",https://www.zillow.com/homedetails/40-Battery-St-PH-6-Boston-MA-02109/2109001426_zpid/,"$6,499,900",Condo for sale,"3,542 sqft",3 bds,6 ba,"$6,110,678",Condo,1992,Forced air,Central,No Data,"$3,476/month","$1,835",,"$35,651","$25,350/mo",$0/mo,"$4,550/mo","$2,275/mo","$3,476/mo",Not included
"160 Commonwealth Ave APT 410, Boston, MA 02116",https://www.zillow.com/homedetails/160-Commonwealth-Ave-APT-410-Boston-MA-02116/59176741_zpid/,"Est. $392,218",Pre-foreclosure / Auction,435 sqft,Studio,1 ba,"$530,025",Condo,1881,Other,No Data,No Data,$373/month,,Great solar potentialSun Number™: 94.38,"$2,236","$1,451/mo",$0/mo,$275/mo,$137/mo,$373/mo,Not included
"241 Bunker Hill St, Boston, MA 02129",https://www.zillow.com/homedetails/241-Bunker-Hill-St-Boston-MA-02129/59099838_zpid/,"$1,100,000",For sale by owner,"2,494 sqft",5 bds,3 ba,"$1,295,825",Single Family,1890,Baseboard,Wall,No Data,"1,306 sqft",$441,Great solar potentialSun Number™: 92.4,"$5,445","$4,290/mo",$0/mo,$770/mo,$385/mo,$0/mo,Not included
"1 Fairfield St, Boston, MA 02116",https://www.zillow.com/homedetails/1-Fairfield-St-Boston-MA-02116/59169543_zpid/,"$5,950,000",House for sale,"4,856 sqft",5 bds,4 ba,"$5,633,657",Single Family,1870,Baseboard,Central,Off street,"2,178 sqft","$1,225",Great solar potentialSun Number™: 87.18,"$29,453","$23,205/mo",$0/mo,"$4,165/mo","$2,083/mo",$0/mo,Not included
"13 Marion St APT D, Boston, MA 02131",https://www.zillow.com/homedetails/13-Marion-St-APT-D-Boston-MA-02131/59141171_zpid/,"$320,000",Condo for sale,"1,074 sqft",2 bds,2 ba,"$330,316",Condo,1987,Forced air,Central,1 space,$328/month,$298,Great solar potentialSun Number™: 90.58,"$1,848","$1,184/mo",$0/mo,$224/mo,$112/mo,$328/mo,Not included
"158-160 Roslindale Ave, Boston, MA 02131",https://www.zillow.com/homedetails/158-160-Roslindale-Ave-Boston-MA-02131/190036548_zpid/,"$700,000",Apartment for sale,"1,894 sqft",6 bds,2 ba,"$700,002",Multi Family,1900,Other,No Data,1 space,$370,,,"$3,322","$2,587/mo",$0/mo,$490/mo,$245/mo,$0/mo,Not included
"53 Fulton St APT 4, Boston, MA 02109",https://www.zillow.com/homedetails/53-Fulton-St-APT-4-Boston-MA-02109/59177668_zpid/,"$869,000",Condo for sale,"1,150 sqft",2 bds,1 ba,"$848,818",Condo,1890,Baseboard,Central,No Data,$176/month,$756,Great solar potentialSun Number™: 94.38,"$4,478","$3,389/mo",$0/mo,$608/mo,$304/mo,$176/mo,Not included
"47 Sargent St # 1, Boston, MA 02125",https://www.zillow.com/homedetails/47-Sargent-St-1-Boston-MA-02125/2082773894_zpid/,"$545,500",Condo for sale,"1,213 sqft",2 bds,2 ba,"$537,380",Condo,2019,Forced air,Central,1 space,$195/month,$450,,"$2,786","$2,019/mo",$0/mo,$382/mo,$191/mo,$195/mo,Not included
"417 E 7th St # 1, Boston, MA 02127",https://www.zillow.com/homedetails/417-E-7th-St-1-Boston-MA-02127/2082782221_zpid/,"$799,000",Condo for sale,"1,184 sqft",3 bds,2 ba,"$790,460",Condo,1890,Forced air,Central,No Data,$150/month,$675,,"$3,942","$2,953/mo",$0/mo,$559/mo,$280/mo,$150/mo,Not included
"88 Glen Rd, Boston, MA 02130",https://www.zillow.com/homedetails/88-Glen-Rd-Boston-MA-02130/71333557_zpid/,"$885,000",House for sale,"2,518 sqft",3 bds,4 ba,"$898,210",Single Family,2004,Forced air,Central,2 spaces,"2,178 sqft",$351,Great solar potentialSun Number™: 89.58,"$4,649","$3,452/mo",$0/mo,$620/mo,$310/mo,$268/mo,Not included
"473 Beacon St APT 1R, Boston, MA 02115",https://www.zillow.com/homedetails/473-Beacon-St-APT-1R-Boston-MA-02115/59169247_zpid/,"$499,900",Condo for sale,404 sqft,1 bd,1 ba,"$493,388",Condo,1880,Baseboard,No Data,No Data,$254/month,"$1,237",Great solar potentialSun Number™: 86.38,"$2,629","$1,850/mo",$0/mo,$350/mo,$175/mo,$254/mo,Not included
"18 Garden St APT B, Boston, MA 02114",https://www.zillow.com/homedetails/18-Garden-St-APT-B-Boston-MA-02114/59174237_zpid/,"$650,000",Condo for sale,665 sqft,1 bd,1 ba,"$643,932",Condo,1890,Baseboard,Central,No Data,$198/month,$977,Great solar potentialSun Number™: 84.21,"$3,283","$2,402/mo",$0/mo,$455/mo,$228/mo,$198/mo,Not included
