Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"26 Main St APT 9, Boston, MA 02129","$625,000 ",2 bds,1 ba,800 sqft,"$616,715 ",Condo,1900,Baseboard,No Data,No Data,$462/month,Great solar potentialSun Number™: 88.4,"$3,428 ","$2,310/mo",$438/mo,$219/mo,$462/mo
"21 Father Francis Gilday St APT 205, Boston, MA 02118","$1,249,000 ",2 bds,2 ba,"1,144 sqft","$1,215,212 ",Condo,2006,Heat pump,Central,1 space,$973/month,Great solar potentialSun Number™: 90.38,"$7,156 ","$4,871/mo",$874/mo,$437/mo,$973/mo
"130 Coleridge St # 5, Boston, MA","$644,000 ",2 bds,2 ba,"1,018 sqft","$632,361 ",Condo,2019,Forced air,Central,1 space,$387/month,,"$3,443 ","$2,380/mo",$451/mo,$225/mo,$387/mo
"15 Waltham St APT B-301, Boston, MA 02118","$1,200,000 ",2 bds,2 ba,"1,103 sqft","$1,161,290 ",Condo,2003,Forced air,Central,1 space,$578/month,Great solar potentialSun Number™: 90.38,"$6,518 ","$4,680/mo",$840/mo,$420/mo,$578/mo
"13 Lexington St # 2, Boston, MA 02129","$749,000 ",2 bds,2 ba,947 sqft,"$749,004 ",Condo,1870,Forced air,Central,No Data,$186/month,Great solar potentialSun Number™: 87.6,"$3,740 ","$2,768/mo",$524/mo,$262/mo,$186/mo
"220 W Springfield St APT 4, Boston, MA 02118","$1,499,000 ",2 bds,2 ba,"1,492 sqft","$1,499,802 ",Condo,1890,Baseboard,Central,No Data,$885/month,Great solar potentialSun Number™: 89.58,"$8,305 ","$5,846/mo","$1,049/mo",$525/mo,$885/mo
"429 Columbus Ave APT 2, Boston, MA 02116","$2,150,000 ",3 bds,3 ba,"1,893 sqft","$2,050,217 ",Condo,1899,Forced air,Central,1 space,$275/month,Great solar potentialSun Number™: 89.58,"$10,918 ","$8,385/mo","$1,505/mo",$753/mo,$275/mo
"253 E Cottage St # 3, Boston, MA 02125","$525,000 ",2 bds,1 ba,"1,063 sqft","$524,140 ",Condo,1905,Forced air,Central,No Data,$250/month,Great solar potentialSun Number™: 85.58,"$2,744 ","$1,943/mo",$368/mo,$184/mo,$250/mo
"13 Walnut St UNIT 1, Boston, MA 02108","$2,995,000 ",3 bds,4 ba,"2,095 sqft","$2,863,023 ",Condo,2017,Forced air,Central,No Data,$400/month,,"$15,225 ","$11,681/mo","$2,097/mo","$1,048/mo",$400/mo
"17 Snow Hill St APT 5, Boston, MA 02113","$729,000 ",1 bd,1 ba,680 sqft,"$727,893 ",Condo,1899,"Baseboard, Heat pump",Other,On street,$181/month,Great solar potentialSun Number™: 94.38,"$3,640 ","$2,694/mo",$510/mo,$255/mo,$181/mo
