Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"887 Proctor Oaks St NW, Atlanta, GA 30318","$415,000 ",4 bds,4 ba,"2,492 sqft","$408,491 ",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",,"$2,239 ","$1,523/mo",$370/mo,$145/mo,$200/mo
"1905 Whittier Ave NW, Atlanta, GA 30318","$330,000 ",2 bds,2 ba,"1,192 sqft","$321,242 ",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",Good solar potentialSun Number™: 66.61,"$1,621 ","$1,211/mo",$294/mo,$116/mo,$0/mo
"1290 1290 Graymont Dr, Atlanta, GA 30310","$130,000 ",3 bds,2 ba,"1,050 sqft","$127,327 ",Single Family,1950,Forced air,No Data,No Data,"5,662 sqft",Candidate for a community solar programSun Number™: 20.22,$652 ,$490/mo,$116/mo,$46/mo,$0/mo
"1321 Lorenzo Dr SW, Atlanta, GA 30310","$229,900 ",5 bds,2 ba,"2,192 sqft","$221,385 ",Single Family,1949,Forced air,Central,2 spaces,0.32 acres,Great solar potentialSun Number™: 80.22,"$1,153 ",$867/mo,$205/mo,$80/mo,$0/mo
"338 Dargan Pl SW, Atlanta, GA 30310","$25,000 ",4 bds,3 ba,"1,400 sqft",,Single Family,1935,Forced air,Central,No Data,"5,135 sqft",Candidate for a community solar programSun Number™: 20.22,$134 ,$103/mo,$22/mo,$9/mo,$0/mo
"3374 Collier Dr NW, Atlanta, GA 30331","$77,000 ",3 bds,2 ba,"1,126 sqft",,Single Family,1968,Forced air,Central,No Data,"10,498 sqft",Good solar potentialSun Number™: 65.02,$411 ,$316/mo,$69/mo,$27/mo,$0/mo
"1290 N Morningside Dr NE, Atlanta, GA 30306","$749,000 ",2 bds,2 ba,"1,569 sqft","$735,319 ",Single Family,1925,Forced air,Central,Detached Garage,"8,015 sqft",Limited solar potentialSun Number™: 55.43,"$3,847 ","$2,917/mo",$668/mo,$262/mo,$0/mo
"385 Lindbergh Dr NE, Atlanta, GA 30305","$369,900 ",3 bds,2 ba,"1,474 sqft",,Single Family,1957,Forced air,Central,No Data,0.3 acres,Candidate for a community solar programSun Number™: 20.21,"$1,817 ","$1,358/mo",$330/mo,$129/mo,$0/mo
"2987 Northside Dr NW, Atlanta, GA 30305","$1,200,000 ",3 bds,4 ba,"2,736 sqft",,Single Family,2004,"Forced air, Radiant",Central,2 spaces,0.54 acres,Great solar potentialSun Number™: 73.01,"$6,164 ","$4,674/mo","$1,070/mo",$420/mo,$0/mo
"634 Delmar Ave SE, Atlanta, GA 30312","$765,000 ",5 bds,3 ba,"3,108 sqft","$750,665 ",Single Family,1920,Forced air,Central,No Data,"8,102 sqft",Great solar potentialSun Number™: 80.23,"$3,929 ","$2,980/mo",$682/mo,$268/mo,$0/mo
"563 Angier Ave NE, Atlanta, GA 30308","$649,900 ",4 bds,3 ba,"2,412 sqft","$640,607 ",Single Family,1920,Forced air,Central,2 spaces,"3,607 sqft",Great solar potentialSun Number™: 90.63,"$3,338 ","$2,531/mo",$579/mo,$227/mo,$0/mo
"226 Lampkin St NE, Atlanta, GA 30312","$689,000 ",3 bds,3 ba,"1,823 sqft","$670,716 ",Single Family,2005,Forced air,Central,3 spaces,"4,356 sqft",Great solar potentialSun Number™: 92.23,"$3,539 ","$2,684/mo",$614/mo,$241/mo,$0/mo
"247 Stovall St SE, Atlanta, GA 30316","$450,000 ",3 bds,2 ba,"1,200 sqft","$442,592 ",Single Family,1925,"Baseboard, Forced air",Central,2 spaces,"5,000 sqft",Great solar potentialSun Number™: 92.23,"$2,210 ","$1,652/mo",$401/mo,$158/mo,$0/mo
"857 Mcwilliams Rd SE, Atlanta, GA 30315","$125,000 ",4 bds,2 ba,"2,108 sqft","$118,871 ",Single Family,1945,Forced air,None,Carport,0.58 acres,Candidate for a community solar programSun Number™: 20.22,$669 ,$514/mo,$111/mo,$44/mo,$0/mo
"3003 Rivermeade Dr NW, Atlanta, GA 30327","$1,050,000 ",4 bds,5 ba,"5,315 sqft","$1,005,747 ",Single Family,1968,Forced air,Central,Attached Garage,1 acre,Great solar potentialSun Number™: 92.21,"$5,452 ","$4,098/mo",$936/mo,$368/mo,$50/mo
"439 Blackland Rd NW, Atlanta, GA 30342","$9,750,000 ",6 bds,12 ba,"15,198 sqft",,Single Family,2010,Forced air,Central,4 spaces,1.91 acres,Great solar potentialSun Number™: 92.21,"$50,163 ","$38,057/mo","$8,694/mo","$3,413/mo",$0/mo
"676 Park Village Dr NE, Atlanta, GA 30306","$349,900 ",2 bds,2 ba,"1,024 sqft","$340,008 ",Townhouse,1987,Forced air,Central,2 spaces,"1,023 sqft",Great solar potentialSun Number™: 73.03,"$1,969 ","$1,284/mo",$312/mo,$122/mo,$250/mo
"1022 Mayson Turner Rd NW, Atlanta, GA 30314","Est. $55,535",5 bds,3 ba,"3,400 sqft","$55,535 ",Single Family,1928,"Forced air, Heat pump",Central,No Data,"5,619 sqft",Limited solar potentialSun Number™: 41.02,$297 ,$228/mo,$50/mo,$19/mo,$0/mo
"1185 Mount Paran Rd NW, Atlanta, GA 30327","$3,795,000 ",6 bds,9 ba,"13,500 sqft","$3,496,271 ",Single Family,2012,Forced air,Central,3 spaces,1.33 acres,Great solar potentialSun Number™: 91.41,"$19,525 ","$14,813/mo","$3,384/mo","$1,328/mo",$0/mo
"4076 Glen Devon Dr NW, Atlanta, GA 30327","$3,680,000 ",7 bds,12 ba,"11,895 sqft",,Single Family,2005,Forced air,Central,Attached Garage,1.01 acres,Great solar potentialSun Number™: 92.21,"$18,933 ","$14,364/mo","$3,281/mo","$1,288/mo",$0/mo
"360 Joseph E Lowery Blvd NW, Atlanta, GA 30314","$267,400 ",3 bds,3 ba,"1,584 sqft","$266,393 ",Single Family,1930,Forced air,Central,Off street,"3,920 sqft",Good solar potentialSun Number™: 65.02,"$1,314 ",$981/mo,$238/mo,$94/mo,$0/mo
"1823 Monroe Dr NE, Atlanta, GA 30324","$569,900 ",3 bds,4 ba,"2,033 sqft","$555,472 ",Single Family,1987,"Forced air, Heat pump",Central,2 spaces,"3,484 sqft",Great solar potentialSun Number™: 76.21,"$2,802 ","$2,094/mo",$508/mo,$199/mo,$0/mo
