Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"1012 Westmoor Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1012-Westmoor-Dr-NW-Atlanta-GA-30314/35834248_zpid/,"$115,000",House for sale,3 bds,1 ba,"1,148 sqft","$110,366",Single Family,1930,Forced air,Central,No Data,"5,662 sqft",$100,$614
"1540 Alder Ln SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1540-Alder-Ln-SW-Atlanta-GA-30311/35853571_zpid/,"$129,000",House for sale,4 bds,2 ba,"1,296 sqft","$118,878",Single Family,1950,Forced air,Central,No Data,0.38 acres,$100,$660
"Opus Place B Plan, No. 2 Opus Place",https://www.zillow.com/community/no-2-opus-place/2085110483_zpid/,"$647,900+",New construction,1 bd,2 ba,852 sqft,"$623,603",Condo,2019,No Data,No Data,2 spaces,No Data,$760,"$3,285"
"173 Albright Way # 13, Atlanta, GA",https://www.zillow.com/homedetails/173-Albright-Way-13-Atlanta-GA-30317/2082154548_zpid/,"$599,900",New construction,3 bds,4 ba,"2,413 sqft","$573,139",Single Family,2019,Forced air,Central,Attached Garage,No Data,$249,"$3,082"
"1122 W Ave Sw, Atlanta, GA 30315",https://www.zillow.com/homedetails/1122-W-Ave-Sw-Atlanta-GA-30315/35888079_zpid/,"$80,000",House for sale,3 bds,1 ba,"1,424 sqft","$77,976",Single Family,1925,Forced air,Central,No Data,"4,255 sqft",$56,$427
"173 Albright Way, Atlanta, GA",https://www.zillow.com/homedetails/173-Albright-Way-Atlanta-GA-30317/2082155035_zpid/,"$599,900",New construction,3 bds,4 ba,"2,412 sqft","$574,372",Single Family,2018,No Data,No Data,No Data,No Data,$249,"$3,082"
"170 Boulevard SE APT H220, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-H220-Atlanta-GA-30312/2091262365_zpid/,"$329,000",Condo for sale,1 bd,1 ba,994 sqft,"$317,992",Condo,2006,Forced air,Central,1 space,$257/month,$331,"$1,873"
"The Atkinson Plan, Plateau West",https://www.zillow.com/community/plateau-west/2082434176_zpid/,"$669,900+",New construction,3 bds,4 ba,"2,466 sqft","$659,007",Townhouse,2019,No Data,No Data,No Data,No Data,$272,"$3,397"
"300 W Peachtree St # 7-L, Atlanta, GA 30308",https://www.zillow.com/homedetails/300-W-Peachtree-St-7-L-Atlanta-GA-30308/35889035_zpid/,"$210,000",Condo for sale,1 bd,1 ba,609 sqft,"$205,333",Condo,1962,Forced air,Central,No Data,$499/month,$345,"$1,574"
"390 17th St NW UNIT 4068, Atlanta, GA 30363",https://www.zillow.com/homedetails/390-17th-St-NW-UNIT-4068-Atlanta-GA-30363/88813666_zpid/,"$345,000",Condo for sale,3 bds,3 ba,"1,596 sqft","$336,275",Condo,2007,Forced air,Central,6 spaces,$818/month,$216,"$2,513"
"A202 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593731_zpid/,"$359,900+",New construction,1 bd,1 ba,739 sqft,"$349,726",Condo,2019,No Data,No Data,2 spaces,No Data,$487,"$1,768"
"C-2 Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118304_zpid/,"$916,900+",New construction,3 bds,3 ba,"1,930 sqft","$889,358",Condo,2019,Heat pump,Central,Attached Garage,No Data,$475,"$4,649"
"Hilmar Plan, Broadview Place Terrace",https://www.zillow.com/community/broadview-place-terrace/2088071971_zpid/,"$574,490+",New construction,3 bds,3 ba,"1,805 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$318,"$2,818"
"The Abernathy Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336536_zpid/,"$389,900+",New construction,2 bds,2 ba,"1,493 sqft","$379,005",Townhouse,2019,No Data,No Data,1 space,No Data,$261,"$1,915"
"0 SW Campbellton Rd, Atlanta, GA",https://www.zillow.com/homedetails/0-SW-Campbellton-Rd-Atlanta-GA-27000/2082159220_zpid/,"$125,000",New construction,1 bd,1 ba,-- sqft,"$118,085",Single Family,1986,No Data,Other,No Data,No Data,No Data,$667
"591 Woodlawn Ave NW, Atlanta, GA",https://www.zillow.com/homedetails/591-Woodlawn-Ave-NW-Atlanta-GA-30318/35845070_zpid/,"$215,000",New construction,3 bds,2 ba,"1,200 sqft","$207,181",Single Family,2019,None,Central,3 spaces,"5,349 sqft",$179,"$1,101"
"813 Canterbury Overlook, Atlanta, GA 30324",https://www.zillow.com/homedetails/813-Canterbury-Overlook-Atlanta-GA-30324/2098273082_zpid/,"$619,999",Townhouse for sale,4 bds,4 ba,"2,319 sqft","$526,575",Townhouse,2015,No Data,No Data,No Data,"2,178 sqft",$267,"$3,430"
"3706 Clovis Ct NW, Atlanta, GA",https://www.zillow.com/homedetails/3706-Clovis-Ct-NW-Atlanta-GA-30331/35850595_zpid/,"$189,900",New construction,3 bds,2 ba,"1,200 sqft",,Single Family,2019,Other,Central,3 spaces,"9,099 sqft",$158,$972
"238 Whitworth Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/238-Whitworth-Dr-SW-Atlanta-GA-30331/35871567_zpid/,"$249,000",House for sale,5 bds,3 ba,"2,064 sqft","$235,525",Single Family,1964,Forced air,Central,No Data,0.34 acres,$121,"$1,275"
"Carlene Plan, Broadview Place Manor",https://www.zillow.com/community/broadview-place-manor/2088071984_zpid/,"$673,990+",New construction,3 bds,4 ba,"2,677 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$252,"$3,417"
"211 Racine St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/211-Racine-St-SW-Atlanta-GA-30314/35846461_zpid/,"$135,000",House for sale,3 bds,2 ba,"1,659 sqft","$123,806",Single Family,1925,Other,Central,3 spaces,"9,840 sqft",$81,$691
"686 Alex Way SW # 34, Atlanta, GA 30331",https://www.zillow.com/homedetails/686-Alex-Way-SW-34-Atlanta-GA-30331/2093210303_zpid/,"$123,000",House for sale,3 bds,2 ba,-- sqft,"$117,068",Single Family,1986,Forced air,Central,Attached Garage,0.49 acres,No Data,$656
"2499 Peachtree Rd NE APT 405, Atlanta, GA 30305",https://www.zillow.com/homedetails/2499-Peachtree-Rd-NE-APT-405-Atlanta-GA-30305/35896843_zpid/,"$349,000",Condo for sale,2 bds,2 ba,"1,323 sqft","$339,438",Condo,1984,Forced air,Central,1 space,$495/month,$264,"$2,209"
"56 Vinson Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Vinson-Dr-SE-Atlanta-GA-30317/14467414_zpid/,"$249,000",House for sale,2 bds,1 ba,896 sqft,"$233,630",Single Family,1947,Forced air,None,Detached Garage,"7,200 sqft",$278,"$1,283"
"313 Delmont Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/313-Delmont-Dr-NE-Atlanta-GA-30305/35932802_zpid/,"$1,275,000",House for sale,5 bds,5 ba,"3,804 sqft","$1,206,658",Single Family,2004,Forced air,Central,4 spaces,"10,193 sqft",$335,"$6,465"
"456 Parkway Dr NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/456-Parkway-Dr-NE-Atlanta-GA-30308/35879293_zpid/,"$550,000",For sale by owner,3 bds,3 ba,"2,010 sqft","$735,519",Townhouse,2019,No Data,Central,2 spaces,"10,000 sqft",$274,"$2,801"
"Hillgrove Plan, Hillgrove",https://www.zillow.com/community/hillgrove/2084514040_zpid/,"$973,353+",New construction,3 bds,3.5 ba,"3,375 sqft","$943,745",Townhouse,2019,No Data,No Data,2 spaces,No Data,$288,"$4,935"
"237 Joseph E Lowery Blvd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/237-Joseph-E-Lowery-Blvd-NW-Atlanta-GA-30314/35831973_zpid/,"$106,000",Lot / Land for sale,"7,501 sqft lot",,,,,,,,,,,$566
"56 Mortimer St SE # NA, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-NA-Atlanta-GA-30317/2082163286_zpid/,"$324,900",House for sale,2 bds,1 ba,"1,002 sqft","$305,156",Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,"$1,607"
"1834 Marietta Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1834-Marietta-Rd-NW-Atlanta-GA-30318/35920921_zpid/,"$349,900",House for sale,4 bds,4 ba,"2,277 sqft","$335,762",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",$154,"$1,719"
"220 Renaissance Pkwy NE APT 1219, Atlanta, GA 30308",https://www.zillow.com/homedetails/220-Renaissance-Pkwy-NE-APT-1219-Atlanta-GA-30308/2082164223_zpid/,"$224,900",Condo for sale,1 bd,1 ba,940 sqft,"$216,416",Condo,1990,No Data,No Data,No Data,$416/month,$239,"$1,567"
"The Reynolds Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390354_zpid/,"$699,900+",New construction,3 bds,5 ba,"2,907 sqft","$683,993",Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,549"
"923 Peachtree St NE UNIT 825, Atlanta, GA 30309",https://www.zillow.com/homedetails/923-Peachtree-St-NE-UNIT-825-Atlanta-GA-30309/69372503_zpid/,"$259,900",Condo for sale,1 bd,1 ba,754 sqft,"$254,693",Condo,2002,Forced air,Central,1 space,$352/month,$345,"$1,629"
"1213 Allene Ave SW APT 110, Atlanta, GA 30310",https://www.zillow.com/homedetails/1213-Allene-Ave-SW-APT-110-Atlanta-GA-30310/2082164781_zpid/,"$295,000",Condo for sale,2 bds,2 ba,"1,351 sqft",,Condo,2005,Forced air,Central,No Data,No Data,$218,"$1,449"
"607 Pickett St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/607-Pickett-St-SE-Atlanta-GA-30316/35862582_zpid/,"$419,000",House for sale,3 bds,1 ba,"1,144 sqft","$412,621",Single Family,1989,Forced air,Central,2 spaces,"3,920 sqft",$366,"$2,058"
"2232 Bohler Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/2232-Bohler-Rd-NW-Atlanta-GA-30327/35916725_zpid/,"$405,000",Townhouse for sale,3 bds,3 ba,"1,849 sqft","$403,264",Townhouse,1980,Forced air,Central,2 spaces,"1,846 sqft",$219,"$2,384"
"140 Woodmere Sq NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/140-Woodmere-Sq-NW-Atlanta-GA-30327/35915622_zpid/,"$219,000",Condo for sale,2 bds,2 ba,"1,200 sqft","$212,409",Condo,1970,"Forced air, Heat pump",Central,2 spaces,$405/month,$182,"$1,526"
"390 17th St NW UNIT 4009, Atlanta, GA 30363",https://www.zillow.com/homedetails/390-17th-St-NW-UNIT-4009-Atlanta-GA-30363/88828122_zpid/,"$251,500",Condo for sale,2 bds,2 ba,"1,117 sqft","$246,053",Condo,2007,Forced air,Central,4 spaces,$564/month,$225,"$1,799"
"1290 Graymont Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1290-Graymont-Dr-SW-Atlanta-GA-30310/35840787_zpid/,"$130,000",House for sale,3 bds,2 ba,"1,050 sqft",,Single Family,1950,Forced air,Central,2 spaces,"5,998 sqft",$124,$666
"1189 Mclendon Ave NE APT 2, Atlanta, GA 30307",https://www.zillow.com/homedetails/1189-Mclendon-Ave-NE-APT-2-Atlanta-GA-30307/14468537_zpid/,"$147,000",Condo for sale,1 bd,1 ba,684 sqft,"$134,599",Condo,1925,No Data,Central,No Data,$225/month,$215,$982
"3557 Bolfair Dr NW, Atlanta, GA",https://www.zillow.com/homedetails/3557-Bolfair-Dr-NW-Atlanta-GA-30331/35871969_zpid/,"$99,900",New construction,3 bds,2 ba,"1,000 sqft","$96,976",Single Family,1960,Other,Central,1 space,"9,748 sqft",$100,$541
"1100 Howell Mill Rd NW UNIT 404, Atlanta, GA 30318",https://www.zillow.com/homedetails/1100-Howell-Mill-Rd-NW-UNIT-404-Atlanta-GA-30318/108598898_zpid/,"$324,900",Condo for sale,1 bd,1 ba,940 sqft,,Condo,2009,Forced air,Central,No Data,$52/month,$346,"$1,648"
"979 Cato St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/979-Cato-St-NW-Atlanta-GA-30318/35921094_zpid/,"$66,000",For sale by owner,3 bds,1 ba,"1,323 sqft",,Single Family,1930,Forced air,Central,No Data,"8,451 sqft",$50,$352
"75 Weatherby St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/75-Weatherby-St-SE-Atlanta-GA-30316/35839077_zpid/,"$315,000",House for sale,2 bds,1 ba,756 sqft,"$303,333",Single Family,1955,Other,Central,No Data,"4,573 sqft",$417,"$1,547"
"Richmond Plan, The Swift",https://www.zillow.com/community/swift/2092491240_zpid/,"$443,000+",New construction,3 bds,4 ba,"2,071 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$214,"$2,176"
"1661 La France St NE UNIT 401, Atlanta, GA 30307",https://www.zillow.com/homedetails/1661-La-France-St-NE-UNIT-401-Atlanta-GA-30307/70831683_zpid/,"$345,000",Condo for sale,2 bds,2 ba,"1,368 sqft","$329,319",Condo,2004,Forced air,Central,2 spaces,$312/month,$252,"$2,018"
"400 Village Pkwy NE APT 112, Atlanta, GA 30306",https://www.zillow.com/homedetails/400-Village-Pkwy-NE-APT-112-Atlanta-GA-30306/82627765_zpid/,"$395,000",Condo for sale,1 bd,2 ba,"1,160 sqft","$385,481",Condo,2001,Forced air,Central,No Data,$258/month,$341,"$2,198"
"1706 Browning St SW, Atlanta, GA",https://www.zillow.com/homedetails/1706-Browning-St-SW-Atlanta-GA-30314/35846423_zpid/,"$365,000",New construction,3 bds,3 ba,"1,700 sqft","$357,193",Single Family,2019,Forced air,Central,3 spaces,"7,492 sqft",$215,"$1,793"
"Opus Place M1 Plan, No. 2 Opus Place",https://www.zillow.com/community/no-2-opus-place/2085110479_zpid/,"$2,340,900+",New construction,3 bds,4 ba,"2,926 sqft","$2,258,103",Condo,2019,No Data,No Data,2 spaces,No Data,$800,"$11,869"
"1406 Summit North Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1406-Summit-North-Dr-NE-Atlanta-GA-30324/65466920_zpid/,"$135,000",Condo for sale,1 bd,1 ba,998 sqft,"$131,142",Condo,1982,Forced air,Central,No Data,$241/month,$135,$932
"2603 Habersham Rd NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/2603-Habersham-Rd-NW-Atlanta-GA-30305/35901454_zpid/,"$1,475,000",House for sale,4 bds,5 ba,"4,519 sqft","$1,364,028",Single Family,1930,Forced air,Central,3 spaces,0.74 acres,$326,"$7,479"
"733 Frederica St NE APT 16, Atlanta, GA 30306",https://www.zillow.com/homedetails/733-Frederica-St-NE-APT-16-Atlanta-GA-30306/2082712740_zpid/,"$218,000",Condo for sale,1 bd,1 ba,717 sqft,"$207,741",Condo,1929,Forced air,Other,1 space,$200/month,$304,"$1,316"
"D206 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593732_zpid/,"$564,900+",New construction,2 bds,2 ba,"1,172 sqft","$549,848",Condo,2019,No Data,No Data,2 spaces,No Data,$482,"$2,775"
"188 Hemphill School Rd NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/188-Hemphill-School-Rd-NW-Atlanta-GA-30331/35872484_zpid/,"$143,500",House for sale,2 bds,2 ba,950 sqft,"$135,767",Single Family,1963,Forced air,Central,1 space,"7,840 sqft",$151,$735
"Niskey Plan, Cascades",https://www.zillow.com/community/cascades/2083205647_zpid/,"$230,900+",New construction,3 bds,3 ba,"1,966 sqft","$225,921",Single Family,2019,No Data,No Data,2 spaces,No Data,$117,"$1,182"
"141 Wellington St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/141-Wellington-St-SW-Atlanta-GA-30314/35846514_zpid/,"$149,900",House for sale,3 bds,1 ba,"1,190 sqft","$144,348",Single Family,1920,Other,Central,No Data,"7,501 sqft",$126,$767
"PH-10 Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118317_zpid/,"$1,236,900+",New construction,3 bds,3 ba,"2,189 sqft","$1,197,544",Condo,2019,Heat pump,Central,Attached Garage,No Data,$565,"$6,271"
"Oak St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/Oak-St-SW-Atlanta-GA-30310/2117087866_zpid/,"$105,000",Condo for sale,1 bd,1 ba,679 sqft,"$100,692",Condo,2006,No Data,No Data,2 spaces,$253/month,$155,$813
"677 Ira St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/677-Ira-St-SW-Atlanta-GA-30310/35890172_zpid/,"$75,000",Lot / Land for sale,"3,179 sqft lot",,,,,,,,,,,$400
"425 Chapel St SW APT 1105, Atlanta, GA 30313",https://www.zillow.com/homedetails/425-Chapel-St-SW-APT-1105-Atlanta-GA-30313/82614189_zpid/,"$167,000",Condo for sale,1 bd,1 ba,860 sqft,"$162,621",Condo,2006,Forced air,Central,No Data,$267/month,$194,"$1,122"
"Felice Plan, Broadview Place Terrace",https://www.zillow.com/community/broadview-place-terrace/2088071968_zpid/,"$586,490+",New construction,3 bds,4 ba,"1,997 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$294,"$2,876"
"425 Chapel St SW APT 1101, Atlanta, GA 30313",https://www.zillow.com/homedetails/425-Chapel-St-SW-APT-1101-Atlanta-GA-30313/82625863_zpid/,"$175,000",Condo for sale,1 bd,1 ba,860 sqft,"$170,330",Condo,2006,Forced air,Central,No Data,$267/month,$203,"$1,163"
"The Lochner Plan, Plateau West",https://www.zillow.com/community/plateau-west/2082434170_zpid/,"$848,900+",New construction,2 bds,4 ba,"2,466 sqft","$828,494",Townhouse,2019,No Data,No Data,No Data,No Data,$344,"$4,304"
"640 Glen Iris Dr NE APT 506, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-APT-506-Atlanta-GA-30308/82612609_zpid/,"$479,900",Condo for sale,2 bds,2 ba,"1,273 sqft","$470,674",Condo,2001,Heat pump,Central,4 spaces,$450/month,$377,"$2,807"
"Aviana Plan, Broadview Place Manor",https://www.zillow.com/community/broadview-place-manor/2088071987_zpid/,"$586,990+",New construction,3 bds,3 ba,"2,015 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$291,"$2,879"
"244 Peters St SW UNIT 16, Atlanta, GA 30313",https://www.zillow.com/homedetails/244-Peters-St-SW-UNIT-16-Atlanta-GA-30313/69372092_zpid/,"$190,000",Condo for sale,1 bd,1 ba,797 sqft,"$184,663",Condo,1950,Forced air,Central,1 space,$185/month,$238,"$1,158"
"311 Peachtree Hills Ave NE APT 15C, Atlanta, GA 30305",https://www.zillow.com/homedetails/311-Peachtree-Hills-Ave-NE-APT-15C-Atlanta-GA-30305/65467110_zpid/,"$199,900",Condo for sale,2 bds,1 ba,"1,020 sqft","$196,057",Condo,1960,Forced air,Central,2 spaces,$350/month,$196,"$1,373"
"1881 Lake Cove Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/1881-Lake-Cove-Dr-SW-Atlanta-GA-30331/35878423_zpid/,"$375,000",House for sale,5 bds,4 ba,"3,379 sqft","$365,126",Single Family,1995,Forced air,Central,Attached Garage,0.53 acres,$111,"$1,887"
"1290 Westboro Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1290-Westboro-Dr-SW-Atlanta-GA-30310/35842409_zpid/,"$199,900",House for sale,2 bds,2 ba,"1,000 sqft","$189,082",Single Family,1950,Forced air,Central,3 spaces,"7,200 sqft",$200,"$1,023"
"1581 Gilstrap Ln NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1581-Gilstrap-Ln-NW-Atlanta-GA-30318/69379274_zpid/,"$475,000",House for sale,4 bds,3 ba,"2,216 sqft","$462,299",Single Family,2005,Forced air,Central,2 spaces,"3,920 sqft",$214,"$2,449"
"2376 Defoors Ferry Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2376-Defoors-Ferry-Rd-NW-Atlanta-GA-30318/35917034_zpid/,"$475,000",House for sale,3 bds,4 ba,356 sqft,"$461,211",Single Family,1984,Forced air,Central,2 spaces,"3,833 sqft","$1,334","$2,553"
"The Lochner Plan, Plateau West",https://www.zillow.com/community/plateau-west/2082434177_zpid/,"$649,900+",New construction,2 bds,4 ba,"2,466 sqft","$638,758",Townhouse,2019,No Data,No Data,No Data,No Data,$264,"$3,295"
"1312 Axis Cir NE # 2, Atlanta, GA 30307",https://www.zillow.com/homedetails/1312-Axis-Cir-NE-2-Atlanta-GA-30307/2082176627_zpid/,"$579,900",Townhouse for sale,3 bds,4 ba,"2,310 sqft",,Townhouse,2016,Forced air,Central,Attached Garage,No Data,$251,"$2,863"
"785 Piedmont Ave NE # E, Atlanta, GA 30308",https://www.zillow.com/homedetails/785-Piedmont-Ave-NE-E-Atlanta-GA-30308/2102347117_zpid/,"$1,400,000",Townhouse for sale,3 bds,4 ba,"2,250 sqft","$1,311,036",Townhouse,2015,No Data,Central,2 spaces,"2,247 sqft",$622,"$7,589"
"1445 Meridian St SE, Atlanta, GA",https://www.zillow.com/homedetails/1445-Meridian-St-SE-Atlanta-GA-30317/2082176926_zpid/,"$699,900",New construction,4 bds,4 ba,"3,714 sqft","$684,727",Single Family,2019,Forced air,Central,Attached Garage,"7,492 sqft",$188,"$3,572"
"140 Alden Ave NW APT 202, Atlanta, GA 30309",https://www.zillow.com/homedetails/140-Alden-Ave-NW-APT-202-Atlanta-GA-30309/82628076_zpid/,"$324,900",Condo for sale,2 bds,2 ba,888 sqft,,Condo,2006,Forced air,Central,2 spaces,$342/month,$366,"$1,938"
"1611 Belmont Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1611-Belmont-Ave-SW-Atlanta-GA-30310/35829979_zpid/,"$249,000",House for sale,3 bds,2 ba,"1,516 sqft","$238,505",Single Family,1950,Forced air,Central,1 space,"9,230 sqft",$164,"$1,275"
"2921 Lenox Rd NE APT 410, Atlanta, GA 30324",https://www.zillow.com/homedetails/2921-Lenox-Rd-NE-APT-410-Atlanta-GA-30324/65465137_zpid/,"$200,000",Condo for sale,1 bd,1 ba,848 sqft,"$194,875",Condo,1987,Forced air,Central,1 space,$269/month,$236,"$1,293"
"664 Florence Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/664-Florence-Pl-NW-Atlanta-GA-30318/35845524_zpid/,"$175,000",House for sale,2 bds,1 ba,"1,462 sqft","$169,316",Single Family,1940,Forced air,Central,Carport,"8,145 sqft",$120,$896
"1209 Pine Heights Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1209-Pine-Heights-Dr-NE-Atlanta-GA-30324/55017159_zpid/,"$235,000",Condo for sale,2 bds,2 ba,"1,510 sqft","$228,774",Condo,1986,Forced air,Central,No Data,$512/month,$156,"$1,715"
"250 15th St NE # 14, Atlanta, GA 30309",https://www.zillow.com/homedetails/250-15th-St-NE-14-Atlanta-GA-30309/2082179314_zpid/,"$845,000",Condo for sale,2 bds,3 ba,"1,928 sqft","$822,031",Condo,1965,No Data,No Data,No Data,No Data,$438,"$4,284"
"664 Clover St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/664-Clover-St-SW-Atlanta-GA-30310/35854804_zpid/,"$194,900",Foreclosure,3 bds,3 ba,850 sqft,"$143,170",Single Family,1955,Forced air,Central,No Data,"5,850 sqft",$229,$998
"101 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082180853_zpid/,"$219,900+",New construction,1 bd,1 ba,731 sqft,"$208,172",Condo,2019,Heat pump,Central,"Carport, Off street, On street",$195/month,$301,"$1,321"
"6 Paper Mill Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/6-Paper-Mill-Pl-NW-Atlanta-GA-30318/35920418_zpid/,"$339,000",Townhouse for sale,3 bds,3 ba,"1,560 sqft","$329,159",Townhouse,1972,Forced air,Central,2 spaces,"1,319 sqft",$217,"$2,004"
"869 Ira St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/869-Ira-St-SW-Atlanta-GA-30310/69346666_zpid/,"$135,000",House for sale,3 bds,3 ba,"1,512 sqft","$130,423",Single Family,2005,Forced air,Other,No Data,"4,791 sqft",$89,$691
"2965 Pharr Court South NW APT 202, Atlanta, GA 30305",https://www.zillow.com/homedetails/2965-Pharr-Court-South-NW-APT-202-Atlanta-GA-30305/35894574_zpid/,"$124,900",Condo for sale,1 bd,1 ba,658 sqft,"$121,273",Condo,1958,Forced air,Central,Attached Garage,$25/month,$190,$692
"850 Ralph Mcgill Blvd NE APT 11, Atlanta, GA 30306",https://www.zillow.com/homedetails/850-Ralph-Mcgill-Blvd-NE-APT-11-Atlanta-GA-30306/82611104_zpid/,"$499,000",Condo for sale,2 bds,3 ba,"1,742 sqft","$489,698",Condo,2000,Forced air,Central,4 spaces,$587/month,$286,"$3,038"
"Jackson Plan, The Swift",https://www.zillow.com/community/swift/2092491243_zpid/,"$410,000+",New construction,3 bds,4 ba,"1,789 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$229,"$2,014"
"1421 Peachtree St NE APT 514, Atlanta, GA 30309",https://www.zillow.com/homedetails/1421-Peachtree-St-NE-APT-514-Atlanta-GA-30309/35898088_zpid/,"$235,000",Condo for sale,1 bd,1 ba,871 sqft,"$231,879",Condo,1960,Heat pump,Central,1 space,$347/month,$270,"$1,550"
"1078 Park Row North SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1078-Park-Row-North-SE-Atlanta-GA-30312/69381080_zpid/,"$235,000",Townhouse for sale,1 bd,2 ba,"1,022 sqft","$230,917",Townhouse,2004,Forced air,Central,Attached Garage,"1,742 sqft",$230,"$1,391"
"1004 Wylie St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1004-Wylie-St-SE-Atlanta-GA-30316/171406934_zpid/,"$629,900",Apartment for sale,4 bds,4 ba,"2,210 sqft","$606,470",Multi Family,1915,Forced air,Central,Off street,$285,,"$3,194"
"1175 Gilbert St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1175-Gilbert-St-SE-Atlanta-GA-30316/35828933_zpid/,"$365,000",House for sale,3 bds,2 ba,"1,218 sqft","$364,532",Single Family,1920,Forced air,Central,3 spaces,"9,583 sqft",$300,"$1,793"
"1080 Peachtree St NE UNIT 904, Atlanta, GA 30309",https://www.zillow.com/homedetails/1080-Peachtree-St-NE-UNIT-904-Atlanta-GA-30309/92193745_zpid/,"$549,900",Condo for sale,2 bds,2 ba,"1,213 sqft","$540,349",Condo,2008,Forced air,Other,4 spaces,$479/month,$453,"$3,180"
"544 Montgomery Ferry Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/544-Montgomery-Ferry-Rd-NE-Atlanta-GA-30324/35931932_zpid/,"$640,000",House for sale,3 bds,2 ba,"1,780 sqft","$617,611",Single Family,1935,Forced air,Central,2 spaces,0.26 acres,$360,"$3,245"
"1092 Hobson St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1092-Hobson-St-SW-Atlanta-GA-30310/35890884_zpid/,"$224,900",House for sale,3 bds,2 ba,"1,044 sqft","$217,390",Single Family,1930,Forced air,Central,4 spaces,"5,924 sqft",$215,"$1,151"
"920 Memorial Dr SE UNIT 33, Atlanta, GA 30316",https://www.zillow.com/homedetails/920-Memorial-Dr-SE-UNIT-33-Atlanta-GA-30316/2082184014_zpid/,"$429,900",Townhouse for sale,2 bds,2 ba,-- sqft,"$417,644",Townhouse,2005,Forced air,Central,2 spaces,871 sqft,No Data,"$2,112"
"Robie Plan, Hampshire Park",https://www.zillow.com/community/hampshire-park/2082898947_zpid/,"$222,600+",New construction,5 bds,3 ba,"2,361 sqft","$218,612",Single Family,2019,No Data,No Data,2 spaces,No Data,$94,"$1,140"
