Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"1816 Evans Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1816-Evans-Dr-SW-Atlanta-GA-30310/35837562_zpid/,"$299,900",House for sale,4 bds,2 ba,"1,700 sqft","$290,672",Single Family,1960,Forced air,Central,No Data,0.35 acres,$176,"$1,473"
"1463 La France St NE APT 9, Atlanta, GA 30307",https://www.zillow.com/homedetails/1463-La-France-St-NE-APT-9-Atlanta-GA-30307/2090648789_zpid/,"$589,850",Townhouse for sale,3 bds,4 ba,"2,124 sqft","$568,783",Townhouse,2017,Forced air,Central,4 spaces,No Data,$278,"$3,088"
"2692 Baker Ridge Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2692-Baker-Ridge-Dr-NW-Atlanta-GA-30318/35865152_zpid/,"$179,900",House for sale,3 bds,1 ba,972 sqft,"$173,999",Single Family,1948,"Forced air, Heat pump",Central,No Data,"10,802 sqft",$185,$921
"30 Grove Park Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/30-Grove-Park-Pl-NW-Atlanta-GA-30318/35845556_zpid/,"$185,000",House for sale,3 bds,1 ba,"1,092 sqft","$179,541",Single Family,1940,Other,Central,No Data,0.33 acres,$169,$947
"788 W Marietta St # 1809, Atlanta, GA",https://www.zillow.com/homedetails/788-W-Marietta-St-1809-Atlanta-GA-30318/2082285175_zpid/,"$1,328,400",New construction,3 bds,3 ba,"2,189 sqft","$1,274,056",Condo,2018,No Data,No Data,2 spaces,$686/month,$607,"$7,401"
"1740 W Sussex Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1740-W-Sussex-Rd-NE-Atlanta-GA-30306/35925429_zpid/,"$1,995,000",House for sale,5 bds,6 ba,"3,310 sqft","$1,909,368",Single Family,1985,Forced air,Central,2 spaces,0.56 acres,$603,"$10,085"
"685 Elbert St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/685-Elbert-St-SW-Atlanta-GA-30310/35831144_zpid/,"$475,000",House for sale,4 bds,3 ba,"1,902 sqft","$463,823",Single Family,1920,Forced air,Central,No Data,"9,252 sqft",$250,"$2,333"
"870 Mayson Turner Rd NW UNIT 1220, Atlanta, GA 30314",https://www.zillow.com/homedetails/870-Mayson-Turner-Rd-NW-UNIT-1220-Atlanta-GA-30314/88822094_zpid/,"$89,900",Condo for sale,1 bd,1 ba,768 sqft,"$87,299",Condo,2007,Forced air,Central,2 spaces,$26/month,$117,$506
"749 Lawton St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/749-Lawton-St-SW-Atlanta-GA-30310/35835599_zpid/,"$435,000",House for sale,5 bds,3 ba,"2,506 sqft","$423,808",Single Family,1930,Other,Central,No Data,"7,492 sqft",$174,"$2,137"
"788 W Marietta St # 1311, Atlanta, GA",https://www.zillow.com/homedetails/788-W-Marietta-St-1311-Atlanta-GA-30318/2084600510_zpid/,"$348,900",New construction,Studio,1 ba,685 sqft,"$332,481",Condo,No Data,No Data,No Data,1 space,$199/month,$509,"$1,913"
"11 Plantation Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/11-Plantation-Dr-NE-Atlanta-GA-30324/35938562_zpid/,"$265,000",Townhouse for sale,3 bds,3 ba,"1,583 sqft","$260,196",Townhouse,1980,Forced air,Central,No Data,"1,568 sqft",$167,"$1,812"
"1858 Calloway Dr NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1858-Calloway-Dr-NW-Atlanta-GA-30314/35855664_zpid/,"$39,900",Lot / Land for sale,"9,461 sqft lot",,,,,,,,,,,$213
"2430 Clarissa Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2430-Clarissa-Dr-NW-Atlanta-GA-30318/35922702_zpid/,"$89,000",House for sale,3 bds,1 ba,864 sqft,"$84,458",Single Family,1960,Other,Central,No Data,0.29 acres,$103,$475
