Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"1204 Liberty Pkwy NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1204-Liberty-Pkwy-NW-Atlanta-GA-30318/71760161_zpid/,Sold 05/28/2019,"$274,500 ",3 bds,3 ba,"1,326 sqft",Townhouse,2005,2005,Forced air,Central,1 space,653 sqft,,"$276,153 ","$254,000 - $301,000",+$322 (+0.1 %)
"2639 Forrest Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2639-Forrest-Ave-NW-Atlanta-GA-30318/35923536_zpid/,Sold 05/28/2019,"$317,000 ",3 bds,2.5 ba,"1,700 sqft",Single Family,1925,2005,Forced air,Central,3 spaces,"8,197 sqft",Great solar potentialSun Number™: 78.61,"$323,160 ","$288,000 - $372,000","-$4,273 (-1.3 %)"
"973 Wendover Dr NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/973-Wendover-Dr-NE-Atlanta-GA-30319/35894905_zpid/,Sold 05/28/2019,"$699,000 ",3 bds,3 ba,"2,405 sqft",Single Family,1955,1980,Forced air,Central,2 spaces,0.55 acres,,"$632,934 ","$601,000 - $665,000","+$12,943 (+2.1 %)"
"648 Channing Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/648-Channing-Dr-NW-Atlanta-GA-30318/35910142_zpid/,Sold 05/24/2019,"$475,000 ",3 bds,2 ba,"1,927 sqft",Single Family,1950,,Forced air,Central,1 space,"8,415 sqft",,"$478,080 ","$440,000 - $521,000",+$692 (+0.1 %)
"1600 Waysome Way NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1600-Waysome-Way-NW-Atlanta-GA-30318/2088796512_zpid/,Sold 05/24/2019,"$439,900 ",3 bds,2.5 ba,"2,005 sqft",Single Family,2019,,,,2 spaces,,,"$442,753 ","$407,000 - $483,000",+$642 (+0.1 %)
"2710 Ridgemore Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2710-Ridgemore-Rd-NW-Atlanta-GA-30318/35920338_zpid/,Sold 05/24/2019,"$534,000 ",3 bds,2 ba,"1,523 sqft",Single Family,1954,1985,Forced air,Central,,0.85 acres,,"$537,463 ","$494,000 - $586,000",+$779 (+0.1 %)
"3685 Bolfair Dr NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3685-Bolfair-Dr-NW-Atlanta-GA-30331/35854331_zpid/,Sold 05/24/2019,"$131,500 ",3 bds,2 ba,925 sqft,Single Family,1961,1961,Forced air,Central,1 space,"10,001 sqft",,"$132,352 ","$122,000 - $144,000",+$191 (+0.1 %)
"1987 Ruth St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1987-Ruth-St-NW-Atlanta-GA-30318/35921022_zpid/,Sold 05/24/2019,"$60,000 ",3 bds,1 ba,"1,080 sqft",Single Family,1930,1970,Heat pump,Central,,"7,501 sqft",,"$67,530 ","$61,000 - $75,000",+$258 (+0.4 %)
"1628 Waysome Way # 5, Atlanta, GA 30318",https://www.zillow.com/homedetails/1628-Waysome-Way-5-Atlanta-GA-30318/2089497472_zpid/,Sold 05/24/2019,"$474,900 ",3 bds,3 ba,"2,314 sqft",Single Family,2019,,Forced air,Central,2 spaces,0.3 acres,,"$477,980 ","$440,000 - $521,000",+$693 (+0.1 %)
"1600 Waysome Way # 12, Atlanta, GA 30318",https://www.zillow.com/homedetails/1600-Waysome-Way-12-Atlanta-GA-30318/2089496554_zpid/,Sold 05/24/2019,"$439,900 ",3 bds,3 ba,"2,005 sqft",Single Family,2019,,Forced air,Central,2 spaces,0.3 acres,,"$442,753 ","$407,000 - $483,000",+$642 (+0.1 %)
