Address,Bedrooms,Bathrooms,Area,Zestimate,Year Built,Parking,HL,Monthcost,PI,PT,HI,HF,lat,lng,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,"Heating_Baseboard, Forced air","Heating_Baseboard, Radiant",Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Heat pump, Other","Heating_Forced air, Other",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other, Stove",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Solar",Cooling_No Data,Cooling_None,Cooling_Other,Cooling_Wall,"Cooling_Wall, Refrigeration"
30318.0,-2.4122612616156305,-0.8336057201889725,-1.3014725997689216,-1.31729437359062,1.068146224338476,-1.644039916712949e-14,-0.49730805385001386,-0.12897170162446875,-0.8605695269150939,-0.9141553484756586,-0.8782311913933439,-0.02698913503747018,33.792303000000004,-84.447862,-0.66111696,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30310.0,1.3706976771529236,0.01935713657367655,0.40655971086662507,-0.3237574644212862,-0.8170696748949887,-1.644039916712949e-14,-0.14657388203548322,-0.068800435889368,-0.27928727044349794,-0.14320610865112554,-0.2449276686671659,-0.041078579635787246,33.726586,-84.425995,-1.0021195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30318.0,-0.5207817922313535,0.44583856495500107,-0.7577835164874738,-0.8748016587733631,1.093622114868658,-1.4743104145053652,-0.5041576358046617,-0.09394119830290923,-0.6069789674345676,-0.5682541686304309,-0.5953966084282547,-0.024579787634040492,33.792303000000004,-84.447862,-0.66111696,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30308.0,0.42495794246078505,0.01935713657367655,0.04146903788271274,0.31306862060525986,0.6350560853253828,1.6988742524763454,-0.23085899695357728,-0.015343783718132305,0.1620261707304049,0.32581244029155615,0.1424327384371954,-0.041078579635787246,33.771126,-84.378108,0.31026712,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2125.0,1.3706976771529236,-0.407124291807648,0.10461985699344352,1.7311840378588275,-1.4539669381495377,-1.644039916712949e-14,-0.2194606402832871,0.09026823892591564,1.0896626328994294,0.8710465034374236,1.0770165778000989,-0.041078579635787246,42.315682,-71.055555,1.0629357,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11229.0,-0.5207817922313535,-0.407124291807648,-1.3557428349422058,-0.45397061657996457,-1.0718285801968082,-1.4743104145053652,-0.44674768950618904,-7.574456385473366e-16,-0.2578802751626743,-0.6474010487645084,-0.3187106033537109,-0.041078579635787246,40.601293,-73.94449300000001,0.8718684,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11378.0,-0.5207817922313535,-0.8336057201889725,-0.8426424296675182,0.46886109276950383,-1.1992080328477182,-1.644039916712949e-14,-0.4337807662693743,0.01245159336019278,0.44251269864068393,0.2554596579501539,0.43141589929283003,-0.041078579635787246,40.724744,-73.909639,0.4239927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10308.0,-0.5207817922313535,-0.407124291807648,-0.6452961199464845,0.14711735536344908,0.4057730705537452,-1.644039916712949e-14,-0.4166308470167632,-0.03075095902746606,0.07694708692200322,-0.0494023988625892,0.0686498037506504,-0.041078579635787246,40.551884,-74.147646,0.37059745,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2128.0,0.42495794246078505,0.01935713657367655,-0.3048737356777014,0.5197488316319,5.792546865036901e-15,-1.644039916712949e-14,-6.321543189388702e-17,-0.04402403235138534,-0.03887024652040163,-0.15200020644380083,0.007164024845196225,-0.041078579635787246,42.361129,-71.006975,1.0629357,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30311.0,0.42495794246078505,-0.407124291807648,-0.24270964811557577,-0.7524168551947995,-0.1801724116404398,-1.644039916712949e-14,0.46383310266688227,-0.09951068397216163,-0.5213509863112731,-0.45686226325654394,-0.5031679400700734,-0.041078579635787246,33.723262,-84.475994,-1.0021195,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
