Address,Soldprice,Bedrooms,Bathrooms,Area,Year built,LRY,Parking,Lot,Zestimate,lat,lng,label,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,Heating_Electric,Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Other","Heating_Forced air, Radiant",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Heating_Stove,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Refrigeration",Cooling_No Data,Cooling_None,Cooling_Other
30306,1.0208097217597374,0.0,-0.5571011354628996,-0.2864994111575131,-1.2250228746328375,1.361392263221922,-0.3282727912850851,-0.24494734868161777,1.0629897753560538,33.78932189941406,-84.35150146484375,1,0.525583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30318,-0.41410320931884725,0.0,-0.5571011354628996,-0.5481028911369803,-0.6180701626489454,0.2749819621488961,1.1400511632580099e-14,-0.1174164721322615,-0.4470970702307318,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.3978711625871891,0.0,-0.47189743239210324,-0.30219561995628114,0.2923589053268929,-0.2682231883876168,-1.6118562897931037,-0.8362836593996272,-0.4263382308569941,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.5178823870716047,0.0,-0.6423048385336961,-1.5421961150589554,-0.31459380665699926,-5.804995925067511e-13,1.1400511632580099e-14,-0.3075079816145072,-1.4940175761434769,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30342,0.5598195945806447,0.0,-0.5571011354628996,0.13860624380912107,-0.9215465186408914,-0.2682231883876168,0.9553107072229334,0.32616608126236496,0.5756997648280883,33.882179260253906,-84.37528991699219,3,0.2691243,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30363,-0.551264004201359,0.0,2.254621065873382,-0.9535882851051544,0.9903545241083689,-5.804995925067511e-13,1.1400511632580099e-14,-0.9412355913954586,-0.5906960024018401,33.7910041809082,-84.39897918701172,1,0.525583,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30306,1.2902616975052636,0.0,-0.47189743239210324,1.6114338360935212,-1.0429370610376698,0.8725076277390603,-0.3282727912850851,0.1706658718154799,1.0471696402516235,33.78932189941406,-84.35150146484375,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30306,-0.13491200553432625,0.0,-0.6423048385336961,-0.7521536055209647,-1.0732846966368645,-1.0830309141923862,1.1400511632580099e-14,-0.17149884525256237,-0.15494354178311798,33.78932189941406,-84.35150146484375,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30309,-0.8442524477077895,0.0,-0.5571011354628996,-1.1654871038885228,0.14062072733091985,0.5465845374171525,1.1400511632580099e-14,-0.8968809058496013,-0.8972857433289682,33.79988479614258,-84.38580322265625,1,0.525583,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30327,0.18648251975250607,0.0,-0.5571011354628996,0.09936572181220099,-0.49667962025216694,0.0033793868806396574,2.238894205730952,0.9870419714116259,0.33500916301092337,33.869693756103516,-84.41729736328125,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30306,0.28387480014245525,0.0,-0.5571011354628996,0.46953464598314704,-1.3767610526288105,-5.804995925067511e-13,-0.3282727912850851,-0.1792631463440907,0.28750127015658195,33.78932189941406,-84.35150146484375,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.0698778972778384,0.0,-0.5571011354628996,-0.46308176014365343,-0.9215465186408914,-2.4410437905336684,3.5224777042389706,0.7537916572412985,-1.1345199305510614,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30318,-1.6477387609248704,0.0,-0.6423048385336961,-1.578820602256081,-0.31459380665699926,-1.3546334894606427,1.1400511632580099e-14,-0.1772997598611755,-1.5227475384793525,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30305,0.39749912726406267,0.0,-0.47189743239210324,0.35704514959197614,-1.0429370610376698,-0.2682231883876168,-0.3282727912850851,1.492417652114002,0.40190214851574035,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30307,1.7934551461866677,0.0,-0.47189743239210324,1.5564971052978331,-0.6180701626489454,-1.8978386399971554,1.1400511632580099e-14,4.446921631604815,1.8602377502585528,33.771080017089844,-84.33360290527344,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
