Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"90 Elm St # 2, Charlestown, MA 02129",https://www.zillow.com/homedetails/90-Elm-St-2-Charlestown-MA-02129/2114171783_zpid/,Sold 05/22/2019,$1.02M,3 bds,3.5 ba,"1,587 sqft",Condo,2011,,,,,,,"$1,027,422 ","$945,000 - $1.11M",+$543 (+0.1 %)
"662 Tremont St APT 1, Boston, MA 02118",https://www.zillow.com/homedetails/662-Tremont-St-APT-1-Boston-MA-02118/59211086_zpid/,Sold 05/22/2019,$1.10M,3 bds,2.5 ba,"2,100 sqft",Condo,1899,2005,Forced air,Central,,$289/month,Great solar potentialSun Number™: 92.78,"$2,248,779 ",$2.02M - $2.45M,"+$13,659 (+0.6 %)"
"1 Huntington Ave APT 1404, Boston, MA 02116",https://www.zillow.com/homedetails/1-Huntington-Ave-APT-1404-Boston-MA-02116/59211800_zpid/,Sold 05/22/2019,$2.65M,3 bds,2.5 ba,"1,974 sqft",Condo,2000,1999,Other,,2 spaces,$223/month,,"$2,664,247 ",$2.45M - $2.88M,"+$1,410 (+0.1 %)"
"90 Elm St # 2, Boston, MA 02129",https://www.zillow.com/homedetails/90-Elm-St-2-Boston-MA-02129/118323838_zpid/,Sold 05/22/2019,$1.02M,3 bds,4 ba,"1,349 sqft",Condo,1885,2010,Forced air,Central,,$280/month,,"$1,027,422 ","$945,000 - $1.11M",+$543 (+0.1 %)
"303 Columbus Ave # 502, Boston, MA 02116",https://www.zillow.com/homedetails/303-Columbus-Ave-502-Boston-MA-02116/2137715862_zpid/,Play video iconVideo Walkthrough,$2.98M,3 bds,3 ba,"2,167 sqft",Condo,2009,,,,,"$1,854/month",,"$2,997,067 ",$2.76M - $3.24M,"+$1,614 (+0.1 %)"
"39 Fenton St UNIT 4, Boston, MA 02122",https://www.zillow.com/homedetails/39-Fenton-St-UNIT-4-Boston-MA-02122/68006073_zpid/,Sold 05/20/2019,"$449,350 ",3 bds,2 ba,"1,492 sqft",Condo,2004,2004,Forced air,Central,"Off street, On street",$400/month,,"$452,746 ","$417,000 - $489,000",+$248 (+0.1 %)
"342-346 Dorchester St # 1, South Boston, MA 02127",https://www.zillow.com/homedetails/342-346-Dorchester-St-1-South-Boston-MA-02127/239894501_zpid/,Sold 05/20/2019,"$712,000 ",3 bds,2 ba,"1,455 sqft",Condo,1899,,Forced air,Other,,,,"$717,381 ","$660,000 - $775,000",+$393 (+0.1 %)
"5 Sutton St APT 2B, Boston, MA 02126",https://www.zillow.com/homedetails/5-Sutton-St-APT-2B-Boston-MA-02126/87793944_zpid/,Sold 05/17/2019,"$280,000 ",3 bds,1 ba,835 sqft,Condo,1920,,Forced air,,1 space,$195/month,,"$282,234 ","$260,000 - $305,000",+$163 (+0.1 %)
"2 Fernboro St # 2, Boston, MA 02121",https://www.zillow.com/homedetails/2-Fernboro-St-2-Boston-MA-02121/2086340814_zpid/,Sold 05/17/2019,"$369,000 ",3 bds,1 ba,944 sqft,Condo,1890,,,,,$250/month,,"$382,024 ","$351,000 - $413,000",+$220 (+0.1 %)
"3 Dorchester St # J, Boston, MA 02127",https://www.zillow.com/homedetails/3-Dorchester-St-J-Boston-MA-02127/2093047686_zpid/,Sold 05/17/2019,$1.06M,3 bds,2 ba,"1,100 sqft",Condo,,,Forced air,Central,Off street,,,"$1,068,458 ","$983,000 - $1.15M","+$29,969 (+2.9 %)"
"25 Brighton St UNIT 2, Charlestown, MA 02129",https://www.zillow.com/homedetails/25-Brighton-St-UNIT-2-Charlestown-MA-02129/295324561_zpid/,Sold 05/17/2019,"$735,000 ",3 bds,2 ba,"1,333 sqft",Condo,2017,,Forced air,,,,,"$740,555 ","$681,000 - $800,000",+$406 (+0.1 %)
