Title,Title_link,list-card-price,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"B-2 Terrace Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118309_zpid/,"$549,900+",2 bds,2 ba,"1,129 sqft","$532,966",Condo,2019,Heat pump,Central,Attached Garage,No Data,$487,"$2,704"
"955 Juniper St NE UNIT 2228, Atlanta, GA 30309",https://www.zillow.com/homedetails/955-Juniper-St-NE-UNIT-2228-Atlanta-GA-30309/65469240_zpid/,"$250,000",1 bd,1 ba,821 sqft,,Single Family,1996,Forced air,Central,No Data,819 sqft,$305,"$5,130"
"2780 Glenlocke Way NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2780-Glenlocke-Way-NW-Atlanta-GA-30318/69374215_zpid/,"Est. $234,343",4 bds,3 ba,"2,612 sqft","$234,343",Single Family,2004,Forced air,Central,Attached Garage,"9,147 sqft",,"$1,190"
"1032 Seaboard Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1032-Seaboard-Ave-NW-Atlanta-GA-30318/35916060_zpid/,"$995,000",6 bds,4 ba,"4,048 sqft","$969,448",Single Family,2015,Other,None,2 spaces,0.28 acres,$246,"$5,058"
"3325 Piedmont Rd NE UNIT 1708, Atlanta, GA 30305",https://www.zillow.com/homedetails/3325-Piedmont-Rd-NE-UNIT-1708-Atlanta-GA-30305/92191522_zpid/,"$385,000",1 bd,1 ba,928 sqft,"$378,810",Condo,2008,"Forced air, Other",Central,1 space,$450/month,$415,"$2,343"
"878 Peachtree St NE APT 633, Atlanta, GA 30309",https://www.zillow.com/homedetails/878-Peachtree-St-NE-APT-633-Atlanta-GA-30309/55016346_zpid/,"$299,000",1 bd,1 ba,956 sqft,"$296,440",Condo,1951,Forced air,Central,1 space,$385/month,$313,"$1,855"
"751 Piedmont Ave NE APT 5, Atlanta, GA 30308",https://www.zillow.com/homedetails/751-Piedmont-Ave-NE-APT-5-Atlanta-GA-30308/35881028_zpid/,"$380,000",2 bds,3 ba,"1,250 sqft","$374,287",Townhouse,1990,Forced air,Central,2 spaces,479 sqft,$304,"$1,885"
"1026 Saint Charles Ave NE APT 11, Atlanta, GA 30306",https://www.zillow.com/homedetails/1026-Saint-Charles-Ave-NE-APT-11-Atlanta-GA-30306/65460796_zpid/,"$215,000",1 bd,1 ba,706 sqft,"$212,862",Condo,1920,Forced air,Central,2 spaces,$224/month,$305,"$1,333"
"3820 Roswell Rd NE UNIT 804, Atlanta, GA 30342",https://www.zillow.com/homedetails/3820-Roswell-Rd-NE-UNIT-804-Atlanta-GA-30342/2087046729_zpid/,"$295,000",1 bd,1 ba,964 sqft,,Condo,2005,Forced air,Central,Attached Garage,No Data,$306,"$1,451"
"1820 Peachtree St NW UNIT 1809, Atlanta, GA 30309",https://www.zillow.com/homedetails/1820-Peachtree-St-NW-UNIT-1809-Atlanta-GA-30309/112434488_zpid/,"$699,000",2 bds,3 ba,"1,689 sqft","$680,492",Condo,2010,Forced air,Central,4 spaces,$619/month,$414,"$4,172"
